project_id,publication_date,parsed_project_id,mw,poi_str,n_facilities_stated,n_findings_parsed,n_fid_resolved,total_cost_usd,n_queue_ahead,warnings,template
Q12-0129,2013-04-26,Q12-0129,90.0,,16.0,16,16,56935000.0,109.0,,B
Q11-0034,2013-05-27,Q11-0034,95.7,,,0,0,0.0,,,B
Q11-0046,2013-06-02,Q11-0046,514.7,,25.0,25,21,26012000.0,,,B
Q11-0064,2013-05-30,Q11-0064,288.7,,12.0,12,12,34185000.0,52.0,,C
Q11-0066,2013-05-26,Q11-0066,64.6,,5.0,5,5,27319000.0,54.0,,A
Q12-0113,2013-05-24,Q12-0113,173.6,,5.0,5,5,16348000.0,93.0,,B
Q12-0125,2013-05-16,Q12-0125,505.6,,15.0,15,13,49831000.0,,,B
Q11-0047,2013-06-21,Q11-0047,198.2,,,0,0,0.0,37.0,,B
Q11-0072,2013-07-04,Q11-0072,183.2,,7.0,7,5,14372000.0,,,C
Q11-0083,2013-07-01,Q11-0083,112.2,,3.0,3,3,5317000.0,,,C
Q11-0087,2013-07-02,Q11-0087,109.9,,8.0,8,7,18956000.0,,,C
Q12-0096,2013-06-27,Q12-0096,103.5,,2.0,2,2,86000.0,,,B
Q12-0110,2013-06-24,Q12-0110,61.9,,,0,0,0.0,,,B
Q12-0134,2013-06-24,Q12-0134,211.3,,11.0,11,10,29642000.0,111.0,,B
Q11-0055,2013-07-28,Q11-0055,844.0,,3.0,3,3,75356000.0,,,B
Q11-0057,2013-07-31,Q11-0057,41.0,,,0,0,0.0,,,C
Q11-0088,2013-08-18,Q11-0088,786.0,,4.0,4,4,4810000.0,,,B
Q12-0128,2013-08-28,Q12-0128,1500.0,,19.0,19,15,66827000.0,,,B
Q12-0139,2013-08-30,Q12-0139,77.4,,,0,0,0.0,,,B
Q12-0149,2013-08-21,Q12-0149,37.2,,,0,0,0.0,119.0,,A
Q12-0161,2013-08-19,Q12-0161,135.8,,8.0,8,7,13848000.0,,,B
Q12-0164,2013-08-20,Q12-0164,406.5,,20.0,20,15,160606000.0,,,C
Q11-0058,2013-10-01,Q11-0058,373.3,,7.0,7,7,47062000.0,,,C
Q11-0065,2013-10-03,Q11-0065,59.2,,2.0,2,2,3150000.0,,,B
Q11-0086,2013-09-15,Q11-0086,267.8,,,0,0,0.0,64.0,,B
Q12-0158,2013-09-28,Q12-0158,969.9,,7.0,7,7,118670000.0,,,B
Q12-0168,2013-10-01,Q12-0168,256.6,,8.0,8,8,26521000.0,131.0,,B
Q12-0105,2013-10-20,Q12-0105,178.9,,2.0,2,2,6868000.0,,,B
Q12-0107,2013-10-30,Q12-0107,74.7,,8.0,8,5,8060000.0,80.0,,B
Q12-0138,2013-10-27,Q12-0138,84.2,,1.0,1,1,147000.0,103.0,,A
Q12-0189,2013-10-19,Q12-0189,339.7,,25.0,25,25,185520000.0,,,B
Q11-0085,2013-11-20,Q11-0085,173.2,,11.0,11,11,42457000.0,,,A
Q12-0093,2013-11-16,Q12-0093,100.3,,4.0,4,4,7575000.0,67.0,,B
Q12-0109,2013-12-04,Q12-0109,228.3,,8.0,8,8,17753000.0,79.0,,A
Q12-0133,2013-11-29,Q12-0133,114.9,,1.0,1,1,1340000.0,95.0,,C
Q12-0162,2013-11-17,Q12-0162,407.6,,5.0,5,5,21289000.0,,,A
Q12-0098,2013-12-20,Q12-0098,176.4,,3.0,3,3,20883000.0,71.0,,C
Q12-0148,2013-12-24,Q12-0148,49.2,,,0,0,0.0,,,C
Q12-0165,2013-12-31,Q12-0165,333.6,,1.0,1,1,20827000.0,,,B
Q12-0177,2014-01-01,Q12-0177,201.0,,13.0,13,13,72723000.0,,,C
Q12-0094,2014-01-19,Q12-0094,151.4,,4.0,4,3,1161000.0,,,A
Q12-0115,2014-01-25,Q12-0115,171.0,,20.0,20,20,81006000.0,,,C
Q12-0117,2014-01-28,Q12-0117,398.4,,7.0,7,7,58688000.0,,,C
Q12-0126,2014-01-27,Q12-0126,80.0,,4.0,4,4,3403000.0,89.0,,C
Q12-0170,2014-01-20,Q12-0170,186.0,,26.0,26,26,34526000.0,,,C
Q12-0171,2014-01-17,Q12-0171,557.6,,25.0,25,25,165583000.0,,,A
Q12-0174,2014-02-02,Q12-0174,1195.2,,17.0,17,17,74947000.0,,,B
Q12-0178,2014-01-28,Q12-0178,164.8,,6.0,6,6,10338000.0,,,B
Q12-0179,2014-01-23,Q12-0179,233.8,,25.0,25,25,158347000.0,137.0,,A
Q12-0181,2014-01-25,Q12-0181,132.6,,3.0,3,3,799000.0,,,C
Q13-0203,2014-01-16,Q13-0203,108.2,,17.0,17,17,19431000.0,,,B
Q12-0116,2014-02-23,Q12-0116,143.8,,1.0,1,1,8511000.0,81.0,,B
Q12-0146,2014-03-05,Q12-0146,60.0,,11.0,11,11,26946000.0,104.0,,B
Q12-0147,2014-02-15,Q12-0147,58.1,,2.0,2,2,1440000.0,106.0,,B
Q12-0154,2014-03-03,Q12-0154,199.1,,4.0,4,4,1950000.0,113.0,,B
Q12-0167,2014-02-15,Q12-0167,82.0,,12.0,12,11,4513000.0,,,C
Q13-0191,2014-02-23,Q13-0191,370.6,,5.0,5,5,19758000.0,,,B
Q13-0232,2014-03-03,Q13-0232,197.3,,25.0,25,25,95509000.0,186.0,,A
Q12-0097,2014-03-31,Q12-0097,405.2,,1.0,1,1,685000.0,64.0,,C
Q12-0135,2014-03-26,Q12-0135,211.1,,20.0,20,19,5509000.0,,,C
Q12-0153,2014-04-01,Q12-0153,541.0,,15.0,15,15,50838000.0,,,C
Q12-0159,2014-03-27,Q12-0159,53.9,,12.0,12,12,8771000.0,,,A
Q13-0202,2014-03-25,Q13-0202,286.3,,25.0,25,25,239826000.0,151.0,,B
Q12-0106,2014-04-30,Q12-0106,76.4,,,0,0,0.0,,,B
Q12-0120,2014-04-24,Q12-0120,247.6,,,0,0,0.0,81.0,,B
Q12-0157,2014-05-04,Q12-0157,248.8,,10.0,10,10,93306000.0,,,B
Q12-0173,2014-04-28,Q12-0173,389.5,,4.0,4,4,15278000.0,,,B
Q13-0204,2014-04-30,Q13-0204,179.9,,25.0,25,25,44594000.0,,,B
Q13-0215,2014-04-30,Q13-0215,60.5,,25.0,25,25,21982000.0,163.0,,B
Q13-0230,2014-04-26,Q13-0230,256.0,,25.0,25,25,54753000.0,178.0,,B
Q12-0124,2014-05-25,Q12-0124,141.4,,1.0,1,1,3271000.0,81.0,,B
Q12-0127,2014-05-17,Q12-0127,330.2,,1.0,1,1,25280000.0,84.0,,B
Q12-0136,2014-06-01,Q12-0136,562.0,,19.0,19,19,161001000.0,,,A
Q12-0144,2014-05-16,Q12-0144,169.5,,7.0,7,7,9164000.0,97.0,,B
Q13-0206,2014-05-16,Q13-0206,96.0,,25.0,25,25,16850000.0,151.0,,B
Q12-0130,2014-06-28,Q12-0130,97.5,,1.0,1,1,46000.0,,,A
Q12-0137,2014-06-26,Q12-0137,105.3,,17.0,17,17,33681000.0,91.0,,B
Q12-0140,2014-06-24,Q12-0140,204.7,,8.0,8,8,57080000.0,94.0,,B
Q12-0151,2014-07-01,Q12-0151,117.1,,,0,0,0.0,103.0,,B
Q12-0152,2014-06-25,Q12-0152,334.5,,6.0,6,6,26083000.0,,,C
Q12-0176,2014-06-26,Q12-0176,119.6,,1.0,1,1,595000.0,125.0,,B
Q13-0200,2014-06-17,Q13-0200,239.8,,14.0,14,14,4451000.0,146.0,,B
Q13-0213,2014-06-22,Q13-0213,103.1,,4.0,4,4,3994000.0,158.0,,C
Q13-0229,2014-06-22,Q13-0229,106.8,,18.0,18,18,11495000.0,,,C
Q13-0250,2014-06-28,Q13-0250,460.1,,25.0,25,25,205457000.0,195.0,,A
Q13-0260,2014-06-15,Q13-0260,199.1,,3.0,3,3,2632000.0,,,C
Q12-0145,2014-07-30,Q12-0145,1347.7,,25.0,25,25,149856000.0,,,C
Q13-0211,2014-07-28,Q13-0211,256.8,,12.0,12,12,14927000.0,150.0,,C
Q13-0231,2014-07-29,Q13-0231,132.4,,7.0,7,7,3966000.0,,,C
Q13-0261,2014-07-20,Q13-0261,259.8,,25.0,25,25,87564000.0,200.0,,B
Q12-0142,2014-08-29,Q12-0142,751.0,,25.0,25,25,142966000.0,92.0,,A
Q12-0143,2014-08-18,Q12-0143,1014.5,,14.0,14,14,38776000.0,,,C
Q12-0156,2014-08-26,Q12-0156,560.8,,,0,0,0.0,,,A
Q12-0166,2014-08-18,Q12-0166,406.9,,9.0,9,9,34962000.0,,,B
Q12-0169,2014-08-23,Q12-0169,137.2,,4.0,4,4,8085000.0,114.0,,B
Q12-0180,2014-08-30,Q12-0180,115.9,,25.0,25,25,23135000.0,,,A
Q12-0190,2014-08-25,Q12-0190,1212.5,,23.0,23,22,51466000.0,131.0,,B
Q13-0195,2014-08-20,Q13-0195,1455.7,,25.0,25,25,106164000.0,,,C
Q13-0209,2014-08-20,Q13-0209,74.3,,19.0,19,15,20907000.0,146.0,,B
Q13-0212,2014-08-30,Q13-0212,47.7,,17.0,17,17,19511000.0,150.0,,B
Q13-0216,2014-08-16,Q13-0216,70.0,,47.0,47,47,75706000.0,,,B
Q13-0242,2014-08-26,Q13-0242,38.1,,7.0,7,7,27000.0,,,B
Q13-0248,2014-08-23,Q13-0248,149.7,,1.0,1,1,1430000.0,184.0,,B
Q12-0150,2014-09-19,Q12-0150,576.6,,1.0,1,1,599000.0,,,B
Q12-0182,2014-09-15,Q12-0182,240.0,,3.0,3,3,3002000.0,,,A
Q13-0194,2014-09-30,Q13-0194,181.8,,1.0,1,1,198000.0,,,B
Q13-0197,2014-09-23,Q13-0197,183.7,,13.0,13,9,14052000.0,131.0,,C
Q13-0201,2014-09-20,Q13-0201,112.6,,14.0,14,12,31281000.0,,,B
Q13-0214,2014-09-25,Q13-0214,170.6,,,0,0,0.0,146.0,,C
Q13-0268,2014-09-29,Q13-0268,219.3,,7.0,7,7,7464000.0,,,B
Q13-0281,2014-09-18,Q13-0281,113.3,,19.0,19,18,2510000.0,205.0,,A
Q13-0282,2014-10-01,Q13-0282,76.2,,7.0,7,7,16687000.0,,,B
Q13-0289,2014-09-19,Q13-0289,743.0,,12.0,12,12,70447000.0,,,B
Q12-0163,2014-10-21,Q12-0163,246.0,,25.0,25,25,35969000.0,,,B
Q12-0175,2014-10-23,Q12-0175,95.3,,25.0,25,25,22356000.0,111.0,,C
Q12-0185,2014-10-18,Q12-0185,36.8,,4.0,4,4,5102000.0,120.0,,B
Q13-0221,2014-10-18,Q13-0221,354.2,,,0,0,0.0,,,C
Q13-0223,2014-10-20,Q13-0223,31.3,,,0,0,0.0,153.0,,A
Q13-0258,2014-10-17,Q13-0258,30.6,,15.0,15,15,3810000.0,185.0,,C
Q13-0278,2014-10-30,Q13-0278,160.4,,15.0,15,15,146390000.0,201.0,,B
Q13-0294,2014-10-31,Q13-0294,58.3,,25.0,25,25,10502000.0,,,B
Q12-0188,2014-12-01,Q12-0188,152.7,,10.0,10,10,4386000.0,121.0,,C
Q13-0207,2014-11-30,Q13-0207,291.6,,,0,0,0.0,136.0,,C
Q13-0224,2014-11-27,Q13-0224,19.4,,7.0,7,7,492000.0,151.0,,A
Q13-0227,2014-11-27,Q13-0227,185.1,,11.0,11,10,60821000.0,154.0,,C
Q13-0238,2014-12-04,Q13-0238,659.1,,3.0,3,3,15083000.0,,,B
Q13-0295,2014-11-17,Q13-0295,536.2,,15.0,15,15,69224000.0,,,B
Q12-0172,2014-12-28,Q12-0172,370.6,,12.0,12,12,34733000.0,,,B
Q13-0192,2015-01-01,Q13-0192,192.8,,3.0,3,3,10277000.0,,,A
Q13-0193,2014-12-27,Q13-0193,244.1,,16.0,16,16,44151000.0,123.0,,B
Q13-0228,2014-12-18,Q13-0228,184.5,,,0,0,0.0,,,B
Q13-0244,2015-01-01,Q13-0244,322.1,,1.0,1,1,1150000.0,,,C
Q13-0247,2014-12-25,Q13-0247,252.0,,14.0,14,14,22713000.0,,,C
Q13-0218,2015-01-30,Q13-0218,305.2,,,0,0,0.0,,,B
Q13-0241,2015-01-17,Q13-0241,390.7,,8.0,8,8,9144000.0,163.0,,B
Q13-0243,2015-01-16,Q13-0243,30.6,,1.0,1,1,272000.0,165.0,,B
Q13-0263,2015-01-25,Q13-0263,26.5,,3.0,3,2,262000.0,182.0,,C
Q13-0276,2015-01-28,Q13-0276,81.2,,17.0,17,17,3562000.0,,,B
Q13-0285,2015-01-29,Q13-0285,62.4,,8.0,8,8,1056000.0,,,B
Q12-0186,2015-02-25,Q12-0186,555.7,,21.0,21,17,32008000.0,,,C
Q12-0187,2015-02-28,Q12-0187,291.6,,3.0,3,3,7903000.0,,,B
Q13-0208,2015-02-20,Q13-0208,408.2,,15.0,15,15,56578000.0,,,A
Q13-0219,2015-02-26,Q13-0219,164.1,,7.0,7,7,17487000.0,,,B
Q13-0235,2015-03-03,Q13-0235,1500.0,,11.0,11,11,107373000.0,,,C
Q13-0236,2015-03-01,Q13-0236,484.8,,4.0,4,4,22398000.0,152.0,,B
Q13-0293,2015-02-19,Q13-0293,252.1,,20.0,20,20,15788000.0,,,C
Q14-0307,2015-02-28,Q14-0307,47.1,,10.0,10,9,2362000.0,213.0,,B
Q13-0198,2015-04-01,Q13-0198,142.5,,5.0,5,5,10387000.0,,,B
Q13-0199,2015-04-02,Q13-0199,223.9,,,0,0,0.0,,,C
Q13-0210,2015-03-22,Q13-0210,106.3,,6.0,6,6,35416000.0,128.0,,A
Q13-0222,2015-03-31,Q13-0222,66.7,,10.0,10,10,50190000.0,,,B
Q13-0225,2015-03-20,Q13-0225,491.0,,20.0,20,20,87090000.0,,,C
Q14-0319,2015-03-21,Q14-0319,264.5,,,0,0,0.0,,,B
Q14-0327,2015-03-21,Q14-0327,126.8,,5.0,5,2,4160000.0,229.0,,C
Q13-0220,2015-04-20,Q13-0220,91.5,,1.0,1,1,1374000.0,,,C
Q13-0226,2015-04-27,Q13-0226,95.6,,,0,0,0.0,134.0,,B
Q13-0233,2015-05-02,Q13-0233,447.2,,14.0,14,13,31499000.0,141.0,,B
Q13-0239,2015-04-30,Q13-0239,241.5,,3.0,3,3,7926000.0,146.0,,B
Q13-0253,2015-04-26,Q13-0253,446.4,,9.0,9,9,22407000.0,158.0,,C
Q13-0256,2015-04-19,Q13-0256,575.2,,23.0,23,23,73655000.0,,,B
Q13-0274,2015-04-20,Q13-0274,220.8,,,0,0,0.0,173.0,,B
Q13-0275,2015-04-19,Q13-0275,1500.0,,25.0,25,25,221620000.0,,,B
Q13-0284,2015-04-20,Q13-0284,39.9,,11.0,11,11,77294000.0,,,B
Q14-0304,2015-04-29,Q14-0304,105.3,,1.0,1,1,486000.0,200.0,,B
Q14-0305,2015-04-28,Q14-0305,617.6,,2.0,2,2,1606000.0,,,B
Q13-0217,2015-05-17,Q13-0217,199.9,,,0,0,0.0,117.0,,C
Q13-0237,2015-05-24,Q13-0237,866.0,,12.0,12,12,101919000.0,,,B
Q13-0245,2015-05-22,Q13-0245,47.4,,,0,0,0.0,144.0,,B
Q13-0249,2015-05-19,Q13-0249,550.3,,6.0,6,6,8362000.0,,,C
Q13-0283,2015-05-23,Q13-0283,54.9,,1.0,1,1,134000.0,,,B
Q13-0287,2015-05-26,Q13-0287,62.3,,,0,0,0.0,,,A
Q14-0301,2015-05-21,Q14-0301,167.0,,13.0,13,13,18476000.0,189.0,,B
Q14-0313,2015-06-01,Q14-0313,60.2,,16.0,16,16,43879000.0,201.0,,C
Q14-0324,2015-05-24,Q14-0324,76.6,,,0,0,0.0,209.0,,B
Q14-0336,2015-06-03,Q14-0336,66.7,,,0,0,0.0,,,C
Q14-0339,2015-05-24,Q14-0339,1207.5,,25.0,25,25,122804000.0,,,B
Q14-0341,2015-05-28,Q14-0341,229.1,,6.0,6,6,10774000.0,224.0,,B
Q14-0352,2015-05-24,Q14-0352,160.7,,1.0,1,1,186000.0,234.0,,A
Q13-0240,2015-06-18,Q13-0240,46.3,,,0,0,0.0,137.0,,C
Q13-0251,2015-06-21,Q13-0251,133.2,,1.0,1,1,787000.0,146.0,,C
Q13-0272,2015-06-29,Q13-0272,210.7,,,0,0,0.0,162.0,,C
Q13-0279,2015-07-03,Q13-0279,127.5,,1.0,1,1,8793000.0,168.0,,B
Q13-0300,2015-06-23,Q13-0300,294.7,,4.0,4,4,12158000.0,,,B
Q14-0302,2015-06-27,Q14-0302,229.5,,11.0,11,11,33604000.0,188.0,,C
Q14-0303,2015-06-15,Q14-0303,279.8,,2.0,2,2,10022000.0,189.0,,B
Q14-0328,2015-06-27,Q14-0328,84.4,,,0,0,0.0,,,B
Q13-0252,2015-07-31,Q13-0252,124.0,,,0,0,0.0,,,A
Q13-0264,2015-07-31,Q13-0264,220.2,,17.0,17,17,36821000.0,154.0,,C
Q13-0290,2015-07-25,Q13-0290,228.1,,4.0,4,4,5001000.0,,,B
Q14-0306,2015-07-30,Q14-0306,116.0,,4.0,4,4,11113000.0,,,C
Q14-0335,2015-07-25,Q14-0335,107.5,,,0,0,0.0,213.0,,C
Q14-0343,2015-07-26,Q14-0343,24.0,,3.0,3,3,138000.0,220.0,,C
Q13-0255,2015-08-16,Q13-0255,318.8,,1.0,1,1,5351000.0,,,B
Q13-0277,2015-08-24,Q13-0277,34.0,,1.0,1,1,85000.0,156.0,,B
Q13-0286,2015-08-19,Q13-0286,113.4,,3.0,3,2,5944000.0,,,C
Q13-0292,2015-08-22,Q13-0292,389.0,,3.0,3,3,21527000.0,168.0,,A
Q13-0297,2015-08-27,Q13-0297,936.8,,7.0,7,7,54890000.0,,,B
Q13-0299,2015-08-19,Q13-0299,168.3,,4.0,4,4,8968000.0,174.0,,B
Q14-0318,2015-08-23,Q14-0318,160.1,,17.0,17,17,9324000.0,189.0,,A
Q14-0325,2015-08-18,Q14-0325,165.4,,1.0,1,1,161000.0,,,C
Q13-0254,2015-09-18,Q13-0254,214.7,,,0,0,0.0,136.0,,C
Q13-0257,2015-09-16,Q13-0257,203.4,,20.0,20,19,62941000.0,139.0,,B
Q13-0259,2015-10-04,Q13-0259,21.8,,,0,0,0.0,141.0,,C
Q13-0265,2015-09-18,Q13-0265,170.0,,7.0,7,7,26461000.0,144.0,,B
Q14-0308,2015-09-21,Q14-0308,29.8,,2.0,2,2,1338000.0,,,B
Q14-0326,2015-09-26,Q14-0326,204.6,,3.0,3,3,1422000.0,193.0,,A
Q14-0348,2015-09-27,Q14-0348,105.5,,3.0,3,3,372000.0,,,C
Q14-0363,2015-09-25,Q14-0363,153.2,,,0,0,0.0,,,B
Q14-0370,2015-09-25,Q14-0370,556.5,,25.0,25,25,34714000.0,,,B
Q14-0376,2015-09-26,Q14-0376,229.0,,13.0,13,10,21289000.0,,,C
Q14-0387,2015-10-02,Q14-0387,325.6,,1.0,1,1,3813000.0,,,B
Q14-0395,2015-09-21,Q14-0395,242.5,,11.0,11,11,16697000.0,256.0,,B
Q13-0288,2015-10-15,Q13-0288,169.0,,1.0,1,1,3074000.0,154.0,,B
Q14-0312,2015-10-18,Q14-0312,1129.2,,25.0,25,25,134024000.0,,,A
Q14-0314,2015-10-23,Q14-0314,141.2,,3.0,3,3,1312000.0,175.0,,A
Q14-0320,2015-10-20,Q14-0320,175.0,,3.0,3,3,1863000.0,,,B
Q14-0332,2015-10-22,Q14-0332,41.7,,,0,0,0.0,188.0,,C
Q14-0347,2015-10-28,Q14-0347,88.7,,2.0,2,2,766000.0,201.0,,B
Q14-0362,2015-10-19,Q14-0362,295.3,,17.0,17,17,15190000.0,215.0,,A
Q14-0377,2015-10-28,Q14-0377,277.4,,25.0,25,25,30310000.0,,,C
Q14-0386,2015-10-28,Q14-0386,243.4,,8.0,8,8,9060000.0,,,A
Q14-0391,2015-10-20,Q14-0391,130.0,,17.0,17,17,5967000.0,,,B
Q13-0269,2015-12-01,Q13-0269,820.4,,24.0,24,24,142321000.0,,,B
Q13-0296,2015-11-30,Q13-0296,785.9,,16.0,16,16,65184000.0,155.0,,B
Q14-0310,2015-11-28,Q14-0310,959.8,,22.0,22,21,111390000.0,,,A
Q14-0321,2015-11-19,Q14-0321,159.4,,6.0,6,6,34438000.0,,,B
Q14-0323,2015-11-27,Q14-0323,222.3,,,0,0,0.0,175.0,,C
Q14-0373,2015-11-18,Q14-0373,95.2,,25.0,25,25,7176000.0,218.0,,B
Q14-0381,2015-11-29,Q14-0381,49.3,,18.0,18,18,3415000.0,228.0,,B
Q14-0382,2015-11-18,Q14-0382,347.7,,1.0,1,1,925000.0,,,B
Q14-0384,2015-11-24,Q14-0384,467.4,,22.0,22,19,27546000.0,,,A
Q13-0298,2015-12-30,Q13-0298,105.1,,,0,0,0.0,,,B
Q14-0334,2016-01-01,Q14-0334,168.2,,1.0,1,1,1432000.0,,,B
Q14-0337,2015-12-20,Q14-0337,50.0,,18.0,18,18,2665000.0,,,B
