branch,fid,kind,sub_a,sub_b,kv,rate,touches_external,length_km,circuit
61,L:2769:2970:161,L,2970,2769,161.0,267.34,False,2.867761188290546,1
62,L:2773:2797:161,L,2773,2797,161.0,235.28,False,2.111550024837146,1
63,L:2773:3151:161,L,2773,3151,161.0,250.56,False,1.733853056417957,1
64,L:2773:3154:161,L,2773,3154,161.0,259.65,False,3.1798746332597787,1
65,L:2774:3054:161,L,2774,3054,161.0,262.34,True,1.395176333720502,1
66,L:2775:2955:161,L,2775,2955,161.0,259.85,False,6.3947257406212605,1
67,L:2775:3020:161,L,2775,3020,161.0,258.31,True,100.28598860173997,1
68,L:2775:3146:161,L,2775,3146,161.0,242.77,False,3.3996629268059633,1
69,B:2796:161,B,2796,2796,161.0,0.0,False,0.0,1
70,L:2796:2972:161,L,2796,2972,161.0,214.49,True,2.119452547626818,1
71,L:2796:3151:161,L,2796,3151,161.0,230.03,False,1.9249257493879934,1
72,X:2797:161:1,X,2797,2797,161.0,226.35,False,0.0,1
73,B:2797:161,B,2797,2797,161.0,0.0,False,0.0,1
74,X:2797:138:1,X,2797,2797,138.0,101.35,False,0.0,1
75,L:2797:5438:138,L,2797,5438,138.0,248.98,True,4.940392556482743,1
76,L:2797:5447:138,L,2797,5447,138.0,231.96,False,3.1856549378992907,1
77,L:2797:5454:138,L,5454,2797,138.0,254.49,False,0.22080262442754653,1
78,L:2797:5905:138,L,5905,2797,138.0,225.16,True,5.159367805510524,1
79,L:2797:5939:138,L,2797,5939,138.0,271.19,False,0.31029665712200943,1
80,L:2797:5939:138,L,2797,5939,138.0,271.19,False,0.31029665712200943,2
81,X:2797:14:1,X,2797,2797,13.8,125.0,False,0.0,1
82,X:2921:161:1,X,2921,2921,161.0,250.13,False,0.0,1
83,B:2921:161,B,2921,2921,161.0,0.0,False,0.0,1
84,L:2921:2931:161,L,2931,2921,161.0,321.4,True,1.1995963496058066,1
85,L:2921:2931:161,L,2931,2921,161.0,321.4,True,1.1995963496058066,2
86,X:2921:138:1,X,2921,2921,138.0,100.13,False,0.0,1
87,L:2921:5216:138,L,5216,2921,138.0,185.16,False,2.381479152337112,1
88,L:2921:5453:138,L,2921,5453,138.0,194.04,False,0.20969737217376963,1
89,X:2921:14:1,X,2921,2921,13.8,150.0,False,0.0,1
90,L:2931:2944:161,L,2931,2944,161.0,334.68,True,3.7434829006293118,1
91,L:2931:2944:161,L,2931,2944,161.0,334.68,True,3.7434829006293118,2
92,L:2931:2944:161,L,2931,2944,161.0,334.68,True,3.7434829006293118,3
93,B:2933:161,B,2933,2933,161.0,0.0,False,0.0,1
94,L:2933:2948:161,L,2933,2948,161.0,206.3,False,1.199120508528564,1
95,L:2936:3442:161,L,2936,3442,161.0,280.61,False,10.550603100221856,1
96,L:2937:2958:161,L,2958,2937,161.0,278.07,False,4.232364435551764,1
97,L:2937:3195:161,L,2937,3195,161.0,286.82,True,30.622104850369386,1
98,B:2940:161,B,2940,2940,161.0,0.0,False,0.0,1
99,L:2941:2958:161,L,2941,2958,161.0,272.35,False,6.202277278666657,1
100,L:2942:2943:161,L,2943,2942,161.0,239.19,False,4.342269686558136,1
101,L:2942:2955:161,L,2955,2942,161.0,234.4,False,2.1174765556731496,1
102,L:2943:2954:161,L,2954,2943,161.0,236.2,False,2.309761953289678,1
103,L:2943:2964:161,L,2943,2964,161.0,244.61,False,4.316393948587861,1
104,B:2948:161,B,2948,2948,161.0,0.0,False,0.0,1
105,B:2955:161,B,2955,2955,161.0,0.0,False,0.0,1
106,L:2955:2967:161,L,2955,2967,161.0,237.31,False,1.744885590419084,1
107,B:2957:161,B,2957,2957,161.0,0.0,False,0.0,1
108,L:2957:2965:161,L,2965,2957,161.0,183.69,False,3.0785879928404603,1
109,B:2964:161,B,2964,2964,161.0,0.0,False,0.0,1
110,L:2964:7171:161,L,2964,7171,161.0,253.33,False,136.44027351984312,1
111,L:2966:2968:161,L,2968,2966,161.0,259.04,True,2.190115145339452,1
112,L:2967:3053:161,L,2967,3053,161.0,213.3,False,3.278986128015232,1
113,B:2968:161,B,2968,2968,161.0,0.0,False,0.0,1
114,L:2968:3054:161,L,2968,3054,161.0,223.46,True,2.3367102150213714,1
115,L:2969:2970:161,L,2969,2970,161.0,273.18,True,6.002800269347149,1
116,L:2970:2980:161,L,2980,2970,161.0,194.67,False,2.635814160013441,1
117,B:2971:161,B,2971,2971,161.0,0.0,False,0.0,1
118,L:2971:5214:161,L,2971,5214,161.0,243.0,False,19.339718075161237,1
119,L:2991:2996:161,L,2991,2996,161.0,229.03,True,48.725579261244064,1
120,L:2991:2999:161,L,2991,2999,161.0,222.92,True,36.34893684970314,1
121,L:2991:3003:161,L,2991,3003,161.0,212.22,True,36.83272459433395,1
122,L:2991:3353:161,L,2991,3353,161.0,198.42,False,66.16261106200228,1
123,L:3002:3186:161,L,3002,3186,161.0,251.61,True,22.98780945693046,1
124,L:3023:3031:161,L,3023,3031,161.0,238.2,True,15.746240357509235,1
125,L:3023:3036:161,L,3023,3036,161.0,198.45,True,34.975434802870744,1
126,L:3030:3154:161,L,3030,3154,161.0,288.32,True,69.52083963471561,1
127,L:3031:3036:161,L,3036,3031,161.0,204.04,True,20.063596403828424,1
128,L:3031:3146:161,L,3031,3146,161.0,273.19,True,74.31017764237355,1
129,B:3036:161,B,3036,3036,161.0,0.0,False,0.0,1
130,L:3081:3448:500,L,3081,3448,500.0,2942.07,True,35.38861293420846,1
131,L:3081:5214:500,L,5214,3081,500.0,2874.22,True,34.610937984574285,1
132,L:3145:3160:161,L,3160,3145,161.0,213.48,True,2.4607073764507814,1
133,L:3146:3147:161,L,3146,3147,161.0,239.92,False,5.880107823282829,1
134,B:3147:161,B,3147,3147,161.0,0.0,False,0.0,1
135,L:3147:3160:161,L,3160,3147,161.0,230.83,False,2.258377110370054,1
136,L:3150:3541:161,L,3150,3541,161.0,319.57,False,1.9888743632472692,1
137,L:3150:3541:161,L,3150,3541,161.0,319.57,False,1.9888743632472692,2
138,L:3150:5951:161,L,3150,5951,161.0,318.01,True,4.169097557375873,1
139,L:3150:5951:161,L,3150,5951,161.0,318.01,True,4.169097557375873,2
140,L:3171:3508:161,L,3508,3171,161.0,262.73,False,2.089693914808241,1
141,L:3171:5909:161,L,5909,3171,161.0,271.18,True,2.4875562201187624,1
142,L:3173:3175:161,L,3173,3175,161.0,242.36,True,4.692755407627333,1
143,L:3173:3508:161,L,3173,3508,161.0,262.82,True,5.990344492948515,1
144,L:3175:3176:161,L,3175,3176,161.0,266.34,True,6.258622951680873,1
145,L:3175:3178:161,L,3175,3178,161.0,245.37,True,1.8986337311288317,1
146,L:3176:5927:161,L,5927,3176,161.0,271.93,True,2.067278102960861,1
147,B:3184:161,B,3184,3184,161.0,0.0,False,0.0,1
148,L:3184:3186:161,L,3186,3184,161.0,242.49,False,3.6544346154881993,1
149,L:3184:3479:161,L,3479,3184,161.0,230.03,True,3.9819992840316143,1
150,L:3186:3197:161,L,3197,3186,161.0,186.97,False,2.7013574567595677,1
151,L:3195:3479:161,L,3195,3479,161.0,294.39,True,1.3014046089242548,1
152,L:3197:3481:161,L,3481,3197,161.0,268.35,False,4.811657037292793,1
153,L:3197:5770:161,L,3197,5770,161.0,260.25,False,2.5908356249007007,1
154,L:3203:3481:161,L,3203,3481,161.0,268.22,True,3.9543993101299124,1
155,X:3350:161:138,X,3350,3350,161.0,84.37,False,0.0,1
156,B:3350:161,B,3350,3350,161.0,0.0,False,0.0,1
157,L:3350:6968:161,L,3350,6968,161.0,218.62,False,13.245700624064675,1
158,L:3350:6708:138,L,3350,6708,138.0,175.2,False,50.94100904175484,1
159,L:3350:6956:138,L,3350,6956,138.0,149.44,False,28.88149730258808,1
160,L:3350:6970:138,L,6970,3350,138.0,185.14,True,4.464441733836506,1
161,X:3352:161:1,X,3352,3352,161.0,282.62,False,0.0,1
162,B:3352:161,B,3352,3352,161.0,0.0,False,0.0,1
163,X:3352:138:1,X,3352,3352,138.0,127.54,False,0.0,1
164,L:3352:5839:138,L,3352,5839,138.0,217.1,False,60.68524030513079,1
165,L:3352:6957:138,L,3352,6957,138.0,229.78,False,71.4901014542517,1
166,X:3352:18:1,X,3352,3352,18.0,155.08,False,0.0,1
167,L:3352:3667:161,L,3352,3667,161.0,202.52,False,93.50150315985545,1
168,L:3352:3698:161,L,3352,3698,161.0,236.0,True,65.88658683688236,1
169,L:3352:4825:161,L,3352,4825,161.0,228.66,True,10.374136192825912,1
170,X:3353:161:138,X,3353,3353,161.0,80.85,False,0.0,1
171,B:3353:161,B,3353,3353,161.0,0.0,False,0.0,1
172,L:3353:6970:138,L,3353,6970,138.0,179.23,True,10.80739337718091,1
173,L:3442:3448:161,L,3448,3442,161.0,323.77,False,3.8436118411192406,1
174,L:3442:3448:161,L,3448,3442,161.0,323.77,False,3.8436118411192406,2
175,X:3448:500:1,X,3448,3448,500.0,1168.31,False,0.0,1
176,B:3448:500,B,3448,3448,500.0,0.0,False,0.0,1
177,B:3448:500,B,3448,3448,500.0,0.0,False,0.0,2
178,X:3448:161:1,X,3448,3448,161.0,1064.28,False,0.0,1
179,X:3448:14:1,X,3448,3448,13.8,104.03,False,0.0,1
180,L:3448:3466:500,L,3448,3466,500.0,3002.07,True,36.10723273694761,1
181,L:3448:3484:500,L,3484,3448,500.0,2948.94,True,29.23768109022296,1
182,L:3448:5193:500,L,3448,5193,500.0,2641.77,True,26.771243803045042,1
183,L:3448:5214:500,L,5214,3448,500.0,2721.29,False,2.030100617102625,1
184,L:3466:3484:500,L,3466,3484,500.0,3040.83,True,8.158944895238271,1
185,L:3470:7008:161,L,3470,7008,161.0,215.57,True,127.59725057714525,1
186,X:3481:161:14,X,3481,3481,161.0,115.84,False,0.0,1
187,B:3481:161,B,3481,3481,161.0,0.0,False,0.0,1
188,B:3481:161,B,3481,3481,161.0,0.0,False,0.0,2
189,L:3484:5671:500,L,3484,5671,500.0,2681.16,True,45.991872373356635,1
190,B:3508:161,B,3508,3508,161.0,0.0,False,0.0,1
191,L:3540:5850:500,L,3540,5850,500.0,2821.7,True,41.003487570144706,1
192,X:3541:500:161,X,3541,3541,500.0,1020.63,False,0.0,1
193,X:3541:500:14,X,3541,3541,500.0,1007.21,False,0.0,1
194,X:3541:500:14,X,3541,3541,500.0,1005.52,False,0.0,2
195,B:3541:500,B,3541,3541,500.0,0.0,False,0.0,1
196,B:3541:500,B,3541,3541,500.0,0.0,False,0.0,2
197,L:3541:5819:500,L,3541,5819,500.0,2681.07,False,19.008874896775403,1
198,L:3541:5909:500,L,5909,3541,500.0,2580.92,True,8.167789464178636,1
199,L:3541:5951:500,L,3541,5951,500.0,2253.78,True,2.1963577382033845,1
200,L:3633:3650:161,L,3633,3650,161.0,277.37,True,45.876450168435966,1
201,L:3645:4818:161,L,3645,4818,161.0,260.18,True,113.24920289031255,1
202,X:3646:161:138,X,3646,3646,161.0,92.36,False,0.0,1
203,B:3646:161,B,3646,3646,161.0,0.0,False,0.0,1
204,L:3646:8059:138,L,3646,8059,138.0,187.16,False,6.940303656906646,1
205,L:3646:8069:138,L,8069,3646,138.0,234.68,False,6.966739638369221,1
206,L:3646:3728:161,L,3728,3646,161.0,280.53,True,11.635910457215905,1
207,L:3646:3823:161,L,3646,3823,161.0,242.13,True,127.11502432028469,1
208,L:3646:4760:161,L,3646,4760,161.0,252.4,True,113.58219911834055,1
209,L:3650:3850:161,L,3650,3850,161.0,246.83,False,119.19090362986958,1
210,L:3650:8126:161,L,3650,8126,161.0,261.46,False,20.67421927753864,1
211,L:3657:7166:500,L,3657,7166,500.0,2576.19,True,87.04631384828824,1
212,X:3665:161:138,X,3665,3665,161.0,96.73,True,0.0,1
213,L:3665:3667:161,L,3665,3667,161.0,244.93,True,10.007454032066713,1
214,L:3665:7001:138,L,7001,3665,138.0,249.34,True,12.314664296735574,1
215,L:3666:3669:161,L,3666,3669,161.0,275.79,True,7.787839839178065,1
216,B:3667:161,B,3667,3667,161.0,0.0,False,0.0,1
217,X:3669:161:138,X,3669,3669,161.0,127.83,False,0.0,1
218,B:3669:161,B,3669,3669,161.0,0.0,False,0.0,1
219,L:3669:7004:138,L,3669,7004,138.0,243.41,False,5.028013060300305,1
220,L:3672:3938:161,L,3938,3672,161.0,285.75,True,17.34110278323043,1
221,L:3680:3697:161,L,3680,3697,161.0,211.83,True,20.65000004363205,1
222,L:3697:3698:161,L,3697,3698,161.0,202.39,True,8.644317519124417,1
223,L:3700:7862:138,L,3700,7862,138.0,218.99,True,136.52116139254966,1
224,L:3700:8058:138,L,3700,8058,138.0,207.84,True,3.952932931172488,1
225,L:3700:8060:138,L,3700,8060,138.0,205.73,True,22.805941440862874,1
226,L:3700:8162:138,L,3700,8162,138.0,172.68,True,103.14212294894902,1
227,L:3714:8055:138,L,3714,8055,138.0,211.68,True,44.76855688834096,1
228,L:3714:8062:138,L,3714,8062,138.0,200.02,True,51.452869020662575,1
229,L:3714:8172:138,L,3714,8172,138.0,238.94,True,14.86768724031235,1
230,L:3728:7755:161,L,3728,7755,161.0,241.02,True,129.57381144894504,1
231,L:3731:8056:161,L,8056,3731,161.0,263.24,True,12.920651616221965,1
232,L:3789:19653:100,L,3789,19653,100.0,121.01,True,91.92165889495436,1
233,L:3789:8175:138,L,3789,8175,138.0,230.48,True,43.47325745390235,1
234,L:3804:7819:500,L,3804,7819,500.0,2352.07,True,61.95161986157829,1
235,L:3805:8066:138,L,3805,8066,138.0,167.11,True,101.19899579884887,1
236,L:3805:8072:138,L,3805,8072,138.0,197.2,True,85.27409309798354,1
237,L:3809:19656:100,L,3809,19656,100.0,120.54,True,100.7454428059062,1
238,X:3828:161:1,X,3828,3828,161.0,166.28,False,0.0,1
239,B:3828:161,B,3828,3828,161.0,0.0,False,0.0,1
240,B:3828:161,B,3828,3828,161.0,0.0,False,0.0,2
241,X:3828:138:1,X,3828,3828,138.0,84.68,False,0.0,1
242,L:3828:6116:138,L,6116,3828,138.0,198.62,False,4.115929268608614,1
243,X:3828:14:1,X,3828,3828,13.8,81.6,False,0.0,1
244,L:3828:3832:161,L,3828,3832,161.0,242.58,True,6.715315082229753,1
245,L:3835:3836:161,L,3836,3835,161.0,248.48,True,1.9597408116508226,1
246,X:3836:161:138,X,3836,3836,161.0,94.58,False,0.0,1
247,B:3836:161,B,3836,3836,161.0,0.0,False,0.0,1
248,L:3836:3846:161,L,3846,3836,161.0,228.88,True,6.604401879542945,1
249,L:3836:6116:138,L,3836,6116,138.0,183.99,False,5.491543029337195,1
250,L:3836:7016:138,L,3836,7016,138.0,208.95,False,30.242075125898225,1
251,L:3841:7141:500,L,3841,7141,500.0,2340.95,True,47.336070370283345,1
252,L:3846:4818:161,L,4818,3846,161.0,193.98,True,29.12478436904459,1
253,B:3849:161,B,3849,3849,161.0,0.0,False,0.0,1
254,L:3849:3850:161,L,3850,3849,161.0,223.25,False,6.740282162011271,1
255,L:3849:6124:161,L,6124,3849,161.0,235.16,False,7.2612660238048985,1
256,L:3850:7011:161,L,3850,7011,161.0,236.15,False,99.3012444220706,1
257,L:3936:3938:161,L,3938,3936,161.0,282.15,True,8.704022179067021,1
258,L:3936:6968:161,L,3936,6968,161.0,279.57,True,87.2991675212552,1
259,B:3938:161,B,3938,3938,161.0,0.0,False,0.0,1
260,X:4818:161:138,X,4818,4818,161.0,115.35,False,0.0,1
261,B:4818:161,B,4818,4818,161.0,0.0,False,0.0,1
262,L:4818:4833:161,L,4818,4833,161.0,236.6,True,89.4054311371937,1
263,L:4818:4836:161,L,4818,4836,161.0,223.57,True,99.60494438991498,1
264,L:4818:6111:138,L,4818,6111,138.0,222.21,False,61.918568376206466,1
265,L:4818:7013:138,L,4818,7013,138.0,176.45,True,11.548411071299459,1
266,L:4818:7014:138,L,4818,7014,138.0,160.2,False,13.875287457114734,1
267,L:4818:7016:138,L,7016,4818,138.0,227.08,False,4.340685314909556,1
268,L:4828:6124:161,L,6124,4828,161.0,270.53,True,13.011603720497215,1
269,L:4978:7141:500,L,4978,7141,500.0,2192.57,True,163.89655646585504,1
270,L:5045:7764:230,L,7764,5045,230.0,455.95,True,160.97464105433352,1
271,L:5117:5120:138,L,5120,5117,138.0,259.65,False,5.2238288854242665,1
272,L:5117:5145:138,L,5145,5117,138.0,255.2,False,3.9326855387987125,1
273,L:5118:5127:138,L,5127,5118,138.0,169.73,False,4.835112918831627,1
274,L:5118:5270:138,L,5270,5118,138.0,189.86,False,6.197262306388871,1
275,L:5119:5121:138,L,5119,5121,138.0,217.94,False,2.9590054635315,1
276,L:5119:5127:138,L,5119,5127,138.0,197.68,False,4.1736651623118455,1
277,X:5120:345:1,X,5120,5120,345.0,451.25,False,0.0,1
278,B:5120:345,B,5120,5120,345.0,0.0,False,0.0,1
279,L:5120:5269:345,L,5120,5269,345.0,1180.76,False,22.673864514273927,1
280,L:5120:5945:345,L,5120,5945,345.0,1169.89,False,24.631974032584264,1
281,L:5120:5995:345,L,5995,5120,345.0,1167.71,False,12.678310427090892,1
282,X:5120:138:1,X,5120,5120,138.0,401.25,False,0.0,1
283,L:5120:5128:138,L,5120,5128,138.0,220.89,False,24.980523161074252,1
284,X:5120:14:1,X,5120,5120,13.8,50.0,False,0.0,1
285,L:5121:5125:138,L,5125,5121,138.0,243.74,False,7.290792478261511,1
286,L:5122:5129:138,L,5122,5129,138.0,226.98,False,10.059902283600545,1
287,L:5122:5145:138,L,5122,5145,138.0,242.78,False,6.5010842405143014,1
288,L:5123:5149:138,L,5123,5149,138.0,199.74,False,9.128156932347732,1
289,L:5123:5995:138,L,5995,5123,138.0,215.35,False,3.266440650362259,1
290,B:5124:138,B,5124,5124,138.0,0.0,False,0.0,1
291,L:5124:5126:138,L,5124,5126,138.0,192.63,False,10.430419906840706,1
292,L:5124:5149:138,L,5149,5124,138.0,207.03,False,4.2205842776632085,1
293,B:5125:138,B,5125,5125,138.0,0.0,False,0.0,1
294,L:5125:5148:138,L,5148,5125,138.0,229.88,True,7.294321614140292,1
295,L:5125:5998:138,L,5125,5998,138.0,245.73,False,5.079814421516988,1
296,L:5126:5144:138,L,5144,5126,138.0,236.52,True,3.0957571424007506,1
297,L:5128:5984:138,L,5128,5984,138.0,211.65,False,27.896455035564966,1
298,L:5129:5130:138,L,5129,5130,138.0,213.78,False,8.010304032613455,1
299,B:5130:138,B,5130,5130,138.0,0.0,False,0.0,1
300,L:5130:5142:138,L,5130,5142,138.0,194.59,False,10.415012557031407,1
301,X:5131:345:138,X,5131,5131,345.0,360.0,False,0.0,1
302,B:5131:345,B,5131,5131,345.0,0.0,False,0.0,1
303,L:5131:5133:345,L,5131,5133,345.0,1054.91,False,16.244584891854096,1
304,L:5131:5995:345,L,5131,5995,345.0,1049.42,False,26.44340249506659,1
305,L:5131:5134:138,L,5131,5134,138.0,252.74,False,2.7321468637796187,1
306,L:5132:5139:138,L,5132,5139,138.0,243.39,False,6.6167986929358715,1
307,L:5132:5147:138,L,5132,5147,138.0,272.31,True,6.268890608230553,1
308,X:5133:345:138,X,5133,5133,345.0,353.33,False,0.0,1
309,B:5133:345,B,5133,5133,345.0,0.0,False,0.0,1
310,L:5133:5945:345,L,5945,5133,345.0,1166.53,False,10.607744079227635,1
311,L:5133:5974:345,L,5133,5974,345.0,987.28,False,55.142250555936705,1
312,L:5133:5146:138,L,5133,5146,138.0,246.25,False,4.642698457301848,1
313,L:5134:5140:138,L,5134,5140,138.0,168.1,False,8.898755638661708,1
314,L:5134:5352:138,L,5134,5352,138.0,228.72,False,25.059908958271567,1
315,L:5135:5137:138,L,5135,5137,138.0,228.61,False,10.370768431717002,1
316,L:5135:5284:138,L,5135,5284,138.0,206.99,False,27.05555277984735,1
317,X:5136:345:138,X,5136,5136,345.0,453.17,False,0.0,1
318,B:5136:345,B,5136,5136,345.0,0.0,False,0.0,1
319,L:5136:5157:345,L,5157,5136,345.0,1176.8,False,17.27008638040514,1
320,L:5136:5137:138,L,5136,5137,138.0,267.54,False,11.884028475876763,1
321,L:5136:5407:138,L,5136,5407,138.0,253.76,False,21.900655030699593,1
322,L:5137:5141:138,L,5137,5141,138.0,219.56,False,13.275779976871075,1
323,L:5138:5142:138,L,5138,5142,138.0,197.12,False,14.059155137441975,1
324,L:5138:5228:138,L,5138,5228,138.0,180.51,False,58.772819178981976,1
325,L:5138:5922:138,L,5138,5922,138.0,214.68,False,24.59893564558805,1
326,B:5139:138,B,5139,5139,138.0,0.0,False,0.0,1
327,L:5139:5922:138,L,5922,5139,138.0,240.09,False,2.0219150841506113,1
328,B:5140:138,B,5140,5140,138.0,0.0,False,0.0,1
329,L:5140:5152:138,L,5140,5152,138.0,212.42,False,25.19701361774529,1
330,L:5141:5281:138,L,5141,5281,138.0,219.18,False,11.54681823450085,1
331,L:5141:5351:138,L,5141,5351,138.0,211.25,False,19.149475851433923,1
332,B:5143:138,B,5143,5143,138.0,0.0,False,0.0,1
333,L:5143:5154:138,L,5143,5154,138.0,194.2,False,7.824191633941336,1
334,L:5143:5352:138,L,5352,5143,138.0,201.57,False,10.620572246256083,1
335,L:5144:5945:138,L,5144,5945,138.0,257.25,True,10.319693506413318,1
336,B:5146:138,B,5146,5146,138.0,0.0,False,0.0,1
337,L:5146:5149:138,L,5146,5149,138.0,235.28,False,3.429861153328992,1
338,L:5147:5895:138,L,5895,5147,138.0,281.57,True,3.2230824472758686,1
339,L:5148:5940:138,L,5148,5940,138.0,239.51,True,8.197093003548437,1
340,B:5149:138,B,5149,5149,138.0,0.0,False,0.0,1
341,B:5150:138,B,5150,5150,138.0,0.0,False,0.0,1
342,L:5150:5348:138,L,5348,5150,138.0,165.06,False,5.197563660592748,1
343,L:5150:5353:138,L,5353,5150,138.0,195.84,False,7.770071602455386,1
344,L:5151:5949:138,L,5949,5151,138.0,218.98,False,3.234101560071101,1
345,L:5151:5997:138,L,5151,5997,138.0,232.94,False,2.776684148140399,1
346,B:5152:138,B,5152,5152,138.0,0.0,False,0.0,1
347,L:5152:5936:138,L,5152,5936,138.0,213.23,False,6.604053417009929,1
348,L:5153:5352:138,L,5352,5153,138.0,192.16,False,4.275040013048453,1
349,L:5153:5952:138,L,5153,5952,138.0,211.78,False,5.567465271044175,1
350,L:5154:5155:138,L,5154,5155,138.0,183.59,False,5.4017359261239735,1
351,L:5155:5157:138,L,5155,5157,138.0,204.77,False,4.516237270700424,1
352,B:5156:138,B,5156,5156,138.0,0.0,False,0.0,1
353,L:5156:5157:138,L,5156,5157,138.0,232.01,False,5.493173106990169,1
354,L:5156:5282:138,L,5156,5282,138.0,220.15,False,4.637462452129291,1
355,X:5157:345:138,X,5157,5157,345.0,472.26,False,0.0,1
356,B:5157:345,B,5157,5157,345.0,0.0,False,0.0,1
357,L:5157:5306:345,L,5306,5157,345.0,1073.28,False,16.397075567233657,1
358,L:5157:5411:345,L,5411,5157,345.0,1187.53,False,15.973861216786888,1
359,L:5157:5952:345,L,5157,5952,345.0,1209.7,False,23.475774424509513,1
