fid,kind,sub_a,sub_b,kv,length_km,n_circuits,public_visible
B:10292:138,B,10292,10292,138.0,0.0,2,True
B:10293:138,B,10293,10293,138.0,0.0,2,True
B:10294:138,B,10294,10294,138.0,0.0,2,True
B:10295:345,B,10295,10295,345.0,0.0,2,True
B:10296:138,B,10296,10296,138.0,0.0,1,True
B:10297:345,B,10297,10297,345.0,0.0,2,True
B:10298:345,B,10298,10298,345.0,0.0,2,True
B:10299:138,B,10299,10299,138.0,0.0,2,True
B:10300:138,B,10300,10300,138.0,0.0,2,True
B:10301:345,B,10301,10301,345.0,0.0,2,True
B:10302:138,B,10302,10302,138.0,0.0,1,True
B:10303:138,B,10303,10303,138.0,0.0,1,True
B:10304:138,B,10304,10304,138.0,0.0,1,True
B:10305:138,B,10305,10305,138.0,0.0,1,True
B:10306:138,B,10306,10306,138.0,0.0,1,True
B:10307:138,B,10307,10307,138.0,0.0,2,True
B:10308:345,B,10308,10308,345.0,0.0,2,True
B:10309:138,B,10309,10309,138.0,0.0,2,True
B:10345:69,B,10345,10345,69.0,0.0,1,True
B:10346:138,B,10346,10346,138.0,0.0,2,True
B:10347:69,B,10347,10347,69.0,0.0,1,True
B:10353:138,B,10353,10353,138.0,0.0,1,True
B:10354:138,B,10354,10354,138.0,0.0,1,True
B:10354:345,B,10354,10354,345.0,0.0,1,True
B:10356:138,B,10356,10356,138.0,0.0,1,True
B:10358:138,B,10358,10358,138.0,0.0,1,True
B:10359:69,B,10359,10359,69.0,0.0,1,True
B:10361:138,B,10361,10361,138.0,0.0,1,True
B:10363:69,B,10363,10363,69.0,0.0,1,True
B:10364:138,B,10364,10364,138.0,0.0,2,True
B:10366:69,B,10366,10366,69.0,0.0,1,True
B:10367:138,B,10367,10367,138.0,0.0,1,True
B:10446:69,B,10446,10446,69.0,0.0,1,True
B:10447:138,B,10447,10447,138.0,0.0,1,True
B:10448:345,B,10448,10448,345.0,0.0,1,True
B:10457:69,B,10457,10457,69.0,0.0,1,True
B:10495:69,B,10495,10495,69.0,0.0,1,True
B:10497:138,B,10497,10497,138.0,0.0,1,True
B:10512:138,B,10512,10512,138.0,0.0,1,True
B:10546:69,B,10546,10546,69.0,0.0,1,True
B:10548:138,B,10548,10548,138.0,0.0,1,True
B:10551:345,B,10551,10551,345.0,0.0,1,True
B:10676:138,B,10676,10676,138.0,0.0,1,True
B:10689:138,B,10689,10689,138.0,0.0,1,True
B:10694:69,B,10694,10694,69.0,0.0,1,True
B:10697:69,B,10697,10697,69.0,0.0,1,True
B:10703:69,B,10703,10703,69.0,0.0,1,True
B:10705:138,B,10705,10705,138.0,0.0,1,True
B:10706:69,B,10706,10706,69.0,0.0,1,True
B:10751:69,B,10751,10751,69.0,0.0,1,True
B:10752:138,B,10752,10752,138.0,0.0,1,True
B:10787:69,B,10787,10787,69.0,0.0,1,True
B:10929:69,B,10929,10929,69.0,0.0,1,True
B:10962:69,B,10962,10962,69.0,0.0,1,True
B:10965:138,B,10965,10965,138.0,0.0,1,True
B:11063:345,B,11063,11063,345.0,0.0,1,True
B:11064:69,B,11064,11064,69.0,0.0,1,True
B:11065:69,B,11065,11065,69.0,0.0,1,True
B:11098:69,B,11098,11098,69.0,0.0,1,True
B:11099:138,B,11099,11099,138.0,0.0,1,True
B:11114:345,B,11114,11114,345.0,0.0,2,True
B:11121:69,B,11121,11121,69.0,0.0,1,True
B:11129:69,B,11129,11129,69.0,0.0,1,True
B:11130:138,B,11130,11130,138.0,0.0,1,True
B:11130:345,B,11130,11130,345.0,0.0,1,True
B:11132:69,B,11132,11132,69.0,0.0,1,True
B:11140:69,B,11140,11140,69.0,0.0,1,True
B:11146:345,B,11146,11146,345.0,0.0,2,True
B:11151:69,B,11151,11151,69.0,0.0,1,True
B:11153:345,B,11153,11153,345.0,0.0,2,True
B:11154:345,B,11154,11154,345.0,0.0,2,True
B:11158:69,B,11158,11158,69.0,0.0,1,True
B:11159:69,B,11159,11159,69.0,0.0,2,True
B:11181:69,B,11181,11181,69.0,0.0,1,True
B:11185:69,B,11185,11185,69.0,0.0,1,True
B:11189:69,B,11189,11189,69.0,0.0,1,True
B:11190:69,B,11190,11190,69.0,0.0,2,True
B:11193:69,B,11193,11193,69.0,0.0,1,True
B:11197:138,B,11197,11197,138.0,0.0,2,True
B:11198:138,B,11198,11198,138.0,0.0,2,True
B:11200:138,B,11200,11200,138.0,0.0,2,True
B:11201:69,B,11201,11201,69.0,0.0,1,True
B:11206:69,B,11206,11206,69.0,0.0,1,True
B:11209:138,B,11209,11209,138.0,0.0,1,True
B:11209:345,B,11209,11209,345.0,0.0,1,True
B:11217:69,B,11217,11217,69.0,0.0,1,True
B:11223:69,B,11223,11223,69.0,0.0,1,True
B:11224:69,B,11224,11224,69.0,0.0,2,True
B:16192:138,B,16192,16192,138.0,0.0,1,True
B:16416:138,B,16416,16416,138.0,0.0,1,True
B:16481:138,B,16481,16481,138.0,0.0,1,True
B:16483:138,B,16483,16483,138.0,0.0,1,True
B:16484:138,B,16484,16484,138.0,0.0,1,True
B:16486:138,B,16486,16486,138.0,0.0,1,True
B:16487:138,B,16487,16487,138.0,0.0,1,True
B:16489:138,B,16489,16489,138.0,0.0,1,True
B:16805:345,B,16805,16805,345.0,0.0,1,True
B:16809:138,B,16809,16809,138.0,0.0,1,True
B:16811:345,B,16811,16811,345.0,0.0,1,True
B:16815:138,B,16815,16815,138.0,0.0,1,True
B:16834:138,B,16834,16834,138.0,0.0,1,True
B:16836:138,B,16836,16836,138.0,0.0,2,True
B:16876:345,B,16876,16876,345.0,0.0,2,True
B:16877:345,B,16877,16877,345.0,0.0,2,True
B:16884:138,B,16884,16884,138.0,0.0,2,True
B:16888:138,B,16888,16888,138.0,0.0,2,True
B:16895:345,B,16895,16895,345.0,0.0,1,True
B:16896:138,B,16896,16896,138.0,0.0,1,True
B:16916:345,B,16916,16916,345.0,0.0,1,True
B:16920:138,B,16920,16920,138.0,0.0,1,True
B:16921:138,B,16921,16921,138.0,0.0,1,True
B:16944:138,B,16944,16944,138.0,0.0,1,True
B:16956:138,B,16956,16956,138.0,0.0,1,True
B:16959:138,B,16959,16959,138.0,0.0,1,True
B:16970:138,B,16970,16970,138.0,0.0,1,True
B:16971:138,B,16971,16971,138.0,0.0,2,True
B:16973:138,B,16973,16973,138.0,0.0,1,True
B:16985:138,B,16985,16985,138.0,0.0,1,True
B:16986:138,B,16986,16986,138.0,0.0,1,True
B:16988:138,B,16988,16988,138.0,0.0,1,True
B:16990:138,B,16990,16990,138.0,0.0,1,True
B:16992:138,B,16992,16992,138.0,0.0,1,True
B:16993:345,B,16993,16993,345.0,0.0,1,True
B:16994:138,B,16994,16994,138.0,0.0,1,True
B:16998:138,B,16998,16998,138.0,0.0,1,True
B:17000:138,B,17000,17000,138.0,0.0,1,True
B:17003:138,B,17003,17003,138.0,0.0,1,True
B:17005:138,B,17005,17005,138.0,0.0,1,True
B:17007:138,B,17007,17007,138.0,0.0,1,True
B:17009:138,B,17009,17009,138.0,0.0,1,True
B:17015:138,B,17015,17015,138.0,0.0,1,True
B:17028:138,B,17028,17028,138.0,0.0,1,True
B:17029:230,B,17029,17029,230.0,0.0,1,True
B:17029:345,B,17029,17029,345.0,0.0,1,True
B:17030:138,B,17030,17030,138.0,0.0,1,True
B:17032:138,B,17032,17032,138.0,0.0,1,True
B:17033:138,B,17033,17033,138.0,0.0,1,True
B:17036:138,B,17036,17036,138.0,0.0,1,True
B:17040:138,B,17040,17040,138.0,0.0,1,True
B:17044:138,B,17044,17044,138.0,0.0,1,True
B:17045:138,B,17045,17045,138.0,0.0,1,True
B:17046:138,B,17046,17046,138.0,0.0,1,True
B:17049:138,B,17049,17049,138.0,0.0,1,True
B:17052:138,B,17052,17052,138.0,0.0,2,True
B:17059:138,B,17059,17059,138.0,0.0,1,True
B:17085:138,B,17085,17085,138.0,0.0,1,True
B:17102:138,B,17102,17102,138.0,0.0,1,True
B:17103:138,B,17103,17103,138.0,0.0,2,True
B:17104:138,B,17104,17104,138.0,0.0,1,True
B:17146:138,B,17146,17146,138.0,0.0,1,True
B:17147:138,B,17147,17147,138.0,0.0,1,True
B:17151:138,B,17151,17151,138.0,0.0,1,True
B:17152:138,B,17152,17152,138.0,0.0,1,True
B:17153:138,B,17153,17153,138.0,0.0,1,True
B:17154:138,B,17154,17154,138.0,0.0,1,True
B:17156:138,B,17156,17156,138.0,0.0,1,True
B:17157:138,B,17157,17157,138.0,0.0,1,True
B:17158:138,B,17158,17158,138.0,0.0,1,True
B:17160:138,B,17160,17160,138.0,0.0,1,True
B:17169:138,B,17169,17169,138.0,0.0,1,True
B:17173:138,B,17173,17173,138.0,0.0,1,True
B:17177:138,B,17177,17177,138.0,0.0,1,True
B:17179:345,B,17179,17179,345.0,0.0,1,True
B:17180:138,B,17180,17180,138.0,0.0,1,True
B:17182:138,B,17182,17182,138.0,0.0,1,True
B:17186:138,B,17186,17186,138.0,0.0,1,True
B:17215:138,B,17215,17215,138.0,0.0,1,True
B:17216:138,B,17216,17216,138.0,0.0,1,True
B:17217:345,B,17217,17217,345.0,0.0,1,True
B:17218:138,B,17218,17218,138.0,0.0,1,True
B:17221:138,B,17221,17221,138.0,0.0,1,True
B:17225:138,B,17225,17225,138.0,0.0,1,True
B:17228:138,B,17228,17228,138.0,0.0,1,True
B:17230:138,B,17230,17230,138.0,0.0,1,True
B:17238:138,B,17238,17238,138.0,0.0,1,True
B:17271:138,B,17271,17271,138.0,0.0,1,True
B:17272:138,B,17272,17272,138.0,0.0,1,True
B:17276:138,B,17276,17276,138.0,0.0,1,True
B:17303:138,B,17303,17303,138.0,0.0,1,True
B:17309:138,B,17309,17309,138.0,0.0,1,True
B:17313:138,B,17313,17313,138.0,0.0,1,True
B:17315:138,B,17315,17315,138.0,0.0,1,True
B:17316:138,B,17316,17316,138.0,0.0,1,True
B:17318:138,B,17318,17318,138.0,0.0,1,True
B:17319:138,B,17319,17319,138.0,0.0,2,True
B:17322:138,B,17322,17322,138.0,0.0,1,True
B:17324:138,B,17324,17324,138.0,0.0,1,True
B:17325:138,B,17325,17325,138.0,0.0,1,True
B:17327:138,B,17327,17327,138.0,0.0,1,True
B:17328:345,B,17328,17328,345.0,0.0,1,True
B:17332:138,B,17332,17332,138.0,0.0,1,True
B:17347:138,B,17347,17347,138.0,0.0,2,True
B:17348:138,B,17348,17348,138.0,0.0,1,True
B:17350:138,B,17350,17350,138.0,0.0,2,True
B:17351:138,B,17351,17351,138.0,0.0,1,True
B:17354:138,B,17354,17354,138.0,0.0,1,True
B:17355:138,B,17355,17355,138.0,0.0,1,True
B:17358:138,B,17358,17358,138.0,0.0,1,True
B:17364:138,B,17364,17364,138.0,0.0,1,True
B:17370:138,B,17370,17370,138.0,0.0,1,True
B:17386:138,B,17386,17386,138.0,0.0,1,True
B:17388:138,B,17388,17388,138.0,0.0,1,True
B:17389:138,B,17389,17389,138.0,0.0,1,True
B:17390:138,B,17390,17390,138.0,0.0,1,True
B:17391:138,B,17391,17391,138.0,0.0,1,True
B:17392:138,B,17392,17392,138.0,0.0,1,True
B:17398:345,B,17398,17398,345.0,0.0,1,True
B:17403:138,B,17403,17403,138.0,0.0,1,True
B:17405:138,B,17405,17405,138.0,0.0,1,True
B:17415:345,B,17415,17415,345.0,0.0,1,True
B:17419:138,B,17419,17419,138.0,0.0,1,True
B:17421:138,B,17421,17421,138.0,0.0,1,True
B:17423:138,B,17423,17423,138.0,0.0,1,True
B:17427:138,B,17427,17427,138.0,0.0,1,True
B:17428:138,B,17428,17428,138.0,0.0,1,True
B:17429:138,B,17429,17429,138.0,0.0,1,True
B:17443:138,B,17443,17443,138.0,0.0,1,True
B:17460:138,B,17460,17460,138.0,0.0,1,True
B:17462:138,B,17462,17462,138.0,0.0,1,True
B:17472:138,B,17472,17472,138.0,0.0,1,True
B:17556:138,B,17556,17556,138.0,0.0,1,True
B:17565:138,B,17565,17565,138.0,0.0,1,True
B:17566:138,B,17566,17566,138.0,0.0,1,True
B:17567:138,B,17567,17567,138.0,0.0,1,True
B:17570:345,B,17570,17570,345.0,0.0,1,True
B:17571:138,B,17571,17571,138.0,0.0,1,True
B:17573:138,B,17573,17573,138.0,0.0,1,True
B:17575:138,B,17575,17575,138.0,0.0,2,True
B:17576:138,B,17576,17576,138.0,0.0,1,True
B:17578:138,B,17578,17578,138.0,0.0,2,True
B:17583:345,B,17583,17583,345.0,0.0,1,True
B:17584:138,B,17584,17584,138.0,0.0,1,True
B:17586:138,B,17586,17586,138.0,0.0,1,True
B:17589:138,B,17589,17589,138.0,0.0,1,True
B:17592:345,B,17592,17592,345.0,0.0,1,True
B:17593:138,B,17593,17593,138.0,0.0,1,True
B:17597:138,B,17597,17597,138.0,0.0,1,True
B:17600:138,B,17600,17600,138.0,0.0,1,True
B:17606:138,B,17606,17606,138.0,0.0,1,True
B:17608:138,B,17608,17608,138.0,0.0,1,True
B:17611:138,B,17611,17611,138.0,0.0,1,True
B:17614:138,B,17614,17614,138.0,0.0,1,True
B:17616:138,B,17616,17616,138.0,0.0,2,True
B:17618:138,B,17618,17618,138.0,0.0,1,True
B:17623:138,B,17623,17623,138.0,0.0,1,True
B:17624:138,B,17624,17624,138.0,0.0,1,True
B:17625:138,B,17625,17625,138.0,0.0,1,True
B:17626:345,B,17626,17626,345.0,0.0,1,True
B:17627:138,B,17627,17627,138.0,0.0,1,True
B:17630:138,B,17630,17630,138.0,0.0,1,True
B:17631:138,B,17631,17631,138.0,0.0,1,True
B:17635:138,B,17635,17635,138.0,0.0,1,True
B:17639:138,B,17639,17639,138.0,0.0,1,True
B:17653:138,B,17653,17653,138.0,0.0,1,True
B:17658:138,B,17658,17658,138.0,0.0,1,True
B:17663:138,B,17663,17663,138.0,0.0,1,True
B:17664:138,B,17664,17664,138.0,0.0,1,True
B:17674:138,B,17674,17674,138.0,0.0,1,True
B:17679:138,B,17679,17679,138.0,0.0,1,True
B:17691:138,B,17691,17691,138.0,0.0,1,True
B:17692:138,B,17692,17692,138.0,0.0,1,True
B:17695:138,B,17695,17695,138.0,0.0,1,True
B:17699:138,B,17699,17699,138.0,0.0,1,True
B:17702:138,B,17702,17702,138.0,0.0,1,True
B:17703:138,B,17703,17703,138.0,0.0,1,True
B:17710:138,B,17710,17710,138.0,0.0,1,True
B:17712:138,B,17712,17712,138.0,0.0,2,True
B:17713:345,B,17713,17713,345.0,0.0,1,True
B:17714:138,B,17714,17714,138.0,0.0,1,True
B:17715:138,B,17715,17715,138.0,0.0,1,True
B:17734:138,B,17734,17734,138.0,0.0,2,True
B:17735:138,B,17735,17735,138.0,0.0,1,True
B:17736:345,B,17736,17736,345.0,0.0,1,True
B:17737:138,B,17737,17737,138.0,0.0,1,True
B:17738:138,B,17738,17738,138.0,0.0,1,True
B:17751:138,B,17751,17751,138.0,0.0,1,True
B:17756:138,B,17756,17756,138.0,0.0,1,True
B:17758:138,B,17758,17758,138.0,0.0,1,True
B:17759:138,B,17759,17759,138.0,0.0,1,True
B:17761:138,B,17761,17761,138.0,0.0,1,True
B:17763:138,B,17763,17763,138.0,0.0,1,True
B:17764:345,B,17764,17764,345.0,0.0,1,True
B:17768:138,B,17768,17768,138.0,0.0,1,True
B:17771:138,B,17771,17771,138.0,0.0,1,True
B:17773:138,B,17773,17773,138.0,0.0,1,True
B:17775:138,B,17775,17775,138.0,0.0,1,True
B:17777:138,B,17777,17777,138.0,0.0,1,True
B:17785:138,B,17785,17785,138.0,0.0,1,True
B:17786:138,B,17786,17786,138.0,0.0,1,True
B:17787:138,B,17787,17787,138.0,0.0,1,True
B:17788:345,B,17788,17788,345.0,0.0,1,True
B:17791:138,B,17791,17791,138.0,0.0,1,True
B:17793:138,B,17793,17793,138.0,0.0,2,True
B:17794:138,B,17794,17794,138.0,0.0,1,True
B:17796:138,B,17796,17796,138.0,0.0,1,True
B:17802:138,B,17802,17802,138.0,0.0,1,True
B:17834:345,B,17834,17834,345.0,0.0,2,True
B:17835:345,B,17835,17835,345.0,0.0,2,True
B:17841:345,B,17841,17841,345.0,0.0,2,True
B:17843:345,B,17843,17843,345.0,0.0,2,True
B:17847:345,B,17847,17847,345.0,0.0,2,True
B:17850:345,B,17850,17850,345.0,0.0,1,True
B:17857:345,B,17857,17857,345.0,0.0,2,True
B:17860:345,B,17860,17860,345.0,0.0,2,True
B:17865:138,B,17865,17865,138.0,0.0,1,True
B:17868:345,B,17868,17868,345.0,0.0,2,True
B:17879:345,B,17879,17879,345.0,0.0,1,True
B:17886:138,B,17886,17886,138.0,0.0,1,True
B:17890:138,B,17890,17890,138.0,0.0,1,True
B:17892:138,B,17892,17892,138.0,0.0,1,True
B:17893:138,B,17893,17893,138.0,0.0,1,True
B:17894:138,B,17894,17894,138.0,0.0,1,True
B:17895:138,B,17895,17895,138.0,0.0,1,True
B:17897:138,B,17897,17897,138.0,0.0,1,True
B:17900:138,B,17900,17900,138.0,0.0,1,True
B:17901:138,B,17901,17901,138.0,0.0,1,True
B:17902:138,B,17902,17902,138.0,0.0,1,True
B:17903:138,B,17903,17903,138.0,0.0,1,True
B:17907:138,B,17907,17907,138.0,0.0,1,True
B:17908:345,B,17908,17908,345.0,0.0,1,True
B:17915:138,B,17915,17915,138.0,0.0,1,True
B:17917:138,B,17917,17917,138.0,0.0,1,True
B:17918:138,B,17918,17918,138.0,0.0,1,True
B:17921:138,B,17921,17921,138.0,0.0,1,True
B:17922:138,B,17922,17922,138.0,0.0,1,True
B:17930:138,B,17930,17930,138.0,0.0,1,True
B:17938:138,B,17938,17938,138.0,0.0,1,True
B:17943:138,B,17943,17943,138.0,0.0,1,True
B:17944:138,B,17944,17944,138.0,0.0,1,True
B:17948:138,B,17948,17948,138.0,0.0,1,True
B:17949:138,B,17949,17949,138.0,0.0,1,True
B:17952:138,B,17952,17952,138.0,0.0,1,True
B:17954:138,B,17954,17954,138.0,0.0,1,True
B:17955:138,B,17955,17955,138.0,0.0,1,True
B:17958:138,B,17958,17958,138.0,0.0,1,True
B:17960:138,B,17960,17960,138.0,0.0,1,True
B:17962:138,B,17962,17962,138.0,0.0,1,True
B:17963:138,B,17963,17963,138.0,0.0,1,True
B:17964:138,B,17964,17964,138.0,0.0,1,True
B:17968:345,B,17968,17968,345.0,0.0,1,True
B:17969:138,B,17969,17969,138.0,0.0,1,True
B:17972:138,B,17972,17972,138.0,0.0,1,True
B:17974:138,B,17974,17974,138.0,0.0,1,True
B:17976:138,B,17976,17976,138.0,0.0,1,True
B:17977:345,B,17977,17977,345.0,0.0,1,True
B:17978:138,B,17978,17978,138.0,0.0,1,True
B:17980:138,B,17980,17980,138.0,0.0,1,True
B:17991:138,B,17991,17991,138.0,0.0,1,True
B:17992:345,B,17992,17992,345.0,0.0,1,True
B:17994:138,B,17994,17994,138.0,0.0,1,True
B:17999:138,B,17999,17999,138.0,0.0,1,True
B:18001:138,B,18001,18001,138.0,0.0,1,True
B:18003:138,B,18003,18003,138.0,0.0,1,True
B:18007:138,B,18007,18007,138.0,0.0,1,True
B:18008:138,B,18008,18008,138.0,0.0,1,True
B:18009:138,B,18009,18009,138.0,0.0,1,True
B:18010:138,B,18010,18010,138.0,0.0,1,True
B:18016:138,B,18016,18016,138.0,0.0,1,True
B:18018:138,B,18018,18018,138.0,0.0,1,True
B:18021:138,B,18021,18021,138.0,0.0,1,True
B:18022:138,B,18022,18022,138.0,0.0,1,True
B:18023:138,B,18023,18023,138.0,0.0,1,True
B:18025:138,B,18025,18025,138.0,0.0,1,True
B:18030:138,B,18030,18030,138.0,0.0,1,True
B:18032:138,B,18032,18032,138.0,0.0,1,True
B:18034:138,B,18034,18034,138.0,0.0,1,True
B:18039:138,B,18039,18039,138.0,0.0,1,True
B:18042:138,B,18042,18042,138.0,0.0,1,True
B:18056:138,B,18056,18056,138.0,0.0,1,True
B:18060:138,B,18060,18060,138.0,0.0,1,True
B:18062:138,B,18062,18062,138.0,0.0,1,True
B:18063:138,B,18063,18063,138.0,0.0,1,True
B:18064:138,B,18064,18064,138.0,0.0,1,True
B:18067:138,B,18067,18067,138.0,0.0,1,True
B:18068:138,B,18068,18068,138.0,0.0,1,True
B:18070:138,B,18070,18070,138.0,0.0,1,True
B:18073:138,B,18073,18073,138.0,0.0,1,True
B:18076:138,B,18076,18076,138.0,0.0,1,True
B:18086:345,B,18086,18086,345.0,0.0,1,True
B:18091:138,B,18091,18091,138.0,0.0,1,True
B:18093:138,B,18093,18093,138.0,0.0,1,True
B:18097:138,B,18097,18097,138.0,0.0,1,True
B:18101:138,B,18101,18101,138.0,0.0,1,True
B:18103:138,B,18103,18103,138.0,0.0,1,True
B:18104:138,B,18104,18104,138.0,0.0,1,True
B:18105:138,B,18105,18105,138.0,0.0,1,True
B:18109:138,B,18109,18109,138.0,0.0,1,True
B:18113:138,B,18113,18113,138.0,0.0,1,True
B:18117:345,B,18117,18117,345.0,0.0,1,True
B:18125:138,B,18125,18125,138.0,0.0,1,True
B:18128:138,B,18128,18128,138.0,0.0,1,True
B:18129:138,B,18129,18129,138.0,0.0,1,True
B:18131:138,B,18131,18131,138.0,0.0,1,True
B:18132:138,B,18132,18132,138.0,0.0,1,True
B:18135:138,B,18135,18135,138.0,0.0,1,True
B:18141:138,B,18141,18141,138.0,0.0,1,True
