branch,fid,start,end,reason,facility_name
19606,L:22893:22905:100,2016-02-06 19:00:00,2016-02-07 19:00:00,planned,Barnwell Solar - Deer Park Energy Center 100 kV Ckt 1
5031,L:7221:7290:345,2016-02-07 19:00:00,2016-02-19 19:00:00,planned,Ritter Park - Sugar Hill 345 kV Line 1
18468,L:21394:21396:100,2016-02-07 19:00:00,2016-02-18 19:00:00,planned,Landsman Crk - Samaria 100 kV Line 1
12785,L:17575:19255:100,2016-02-09 19:00:00,2016-02-13 19:00:00,planned,Rutland - Warren Solar Farm Llc 100 kV Line 1
7966,L:8643:8645:138,2016-02-12 19:00:00,2016-02-16 19:00:00,planned,Springvile - Waste Management Northern Oaks Lfgte 138 kV Cir. 1
5790,L:7619:8285:138,2016-02-09 19:00:00,2016-02-28 19:00:00,planned,Kaukauna N - Cambria Cogen Substation 138 kV Circuit 1
5563,L:7507:7508:138,2016-02-08 19:00:00,2016-02-27 19:00:00,planned,7Th Avenue N - Cimgen 138 kV Circuit 1
7563,L:8436:8866:138,2016-02-09 19:00:00,2016-02-20 19:00:00,planned,Mccall Substtaion - Pebbledale 138 kV
3983,L:6790:7025:138,2016-02-06 19:00:00,2016-02-25 19:00:00,planned,Panda Patriot Generation Plant - Finley Butte 138 kV #1
14263,L:18546:18672:138,2016-02-05 19:00:00,2016-02-06 19:00:00,planned,Sandy Hook Substation - Poplar Gap 138 kV
13907,L:18311:18312:138,2016-02-06 19:00:00,2016-02-19 19:00:00,planned,New Hardinsburg - Knoll Trail 138 kV line
41,L:2650:5217:138,2016-02-11 19:00:00,2016-03-02 19:00:00,planned,Gastoni Prime Power Park - Ochoa 138 kV Circuit 1
9613,L:9392:9674:138,2016-02-07 19:00:00,2016-02-26 19:00:00,planned,Front Royal - Abbotsford 138 kV
3495,L:6514:6656:138,2016-02-04 19:00:00,2016-02-10 19:00:00,planned,Neenah Crk - Newport Reit 138 kV Line 1
3374,L:6454:6949:138,2016-02-08 19:00:00,2016-02-17 19:00:00,planned,Sea Island - 6Th Street 138 kV Circuit 1
13717,L:18189:18583:138,2016-02-10 19:00:00,2016-02-19 19:00:00,planned,Big Fish - Repro Substation 138 kV Ckt 1
18072,L:20269:22708:500,2016-02-07 19:00:00,2016-02-11 19:00:00,planned,Muskogee - Montpelier Electric Gnerating Station 500 kV #1
8264,L:8765:9064:138,2016-02-05 19:00:00,2016-02-09 19:00:00,planned,Decker - Deep Crk 138 kV
3483,L:6511:6959:138,2016-02-13 19:00:00,2016-03-01 19:00:00,planned,Lakin Municipal - South Hampton 138 kV Cir. 1
6804,L:8153:8154:138,2016-02-07 19:00:00,2016-02-19 19:00:00,planned,Falls Irrigation - Seguin West 138 kV line
10342,L:9739:10019:138,2016-02-10 19:00:00,2016-02-14 19:00:00,planned,Ladysmith Ct - Lookout 138 kV Ckt 1
5251,L:7332:7357:138,2016-02-08 19:00:00,2016-02-16 19:00:00,planned,U S Alliance Coosa Pines - Causeway 138 kV Ckt 1
4527,L:7108:7155:345,2016-02-10 19:00:00,2016-02-24 19:00:00,planned,Teichert - Peach Bottom 345 kV Circuit 1
3870,L:6729:6945:138,2016-02-09 19:00:00,2016-02-17 19:00:00,planned,Iona - Wapato Substation 138 kV Cir. 1
17142,L:19798:19813:100,2016-02-07 19:00:00,2016-02-26 19:00:00,planned,Niland - Fox 100 kV #1
12663,L:17364:17368:138,2016-02-05 19:00:00,2016-02-10 19:00:00,planned,Stony Gorge - Kinetic 138 kV Line 1
2626,L:6092:6097:138,2016-02-09 19:00:00,2016-02-29 19:00:00,planned,Spanish Trail - Plaquemine 138 kV #1
973,L:5448:5910:138,2016-03-01 19:00:00,2016-03-15 19:00:00,planned,Marblehead North - Njt Meadowlands Rail Substaion 138 kV Circuit 2
13814,L:18245:18267:345,2016-03-03 19:00:00,2016-03-20 19:00:00,planned,Malad - Pence 345 kV Ckt 1
21174,L:23495:23520:230,2016-02-26 19:00:00,2016-02-29 19:00:00,planned,Ykk Usa Chestney - Rocky Rd Power Llc 230 kV Line 2
11273,L:10222:10223:138,2016-03-01 19:00:00,2016-03-19 19:00:00,planned,Hood Mesa - Thalia 138 kV
9199,L:9188:9190:138,2016-02-23 19:00:00,2016-03-13 19:00:00,planned,Greenbank - Verona 138 kV Line 1
17179,L:19815:19880:100,2016-02-23 19:00:00,2016-03-03 19:00:00,planned,Noray - Burlinton Gt 100 kV Line 1
942,L:5427:5971:345,2016-03-03 19:00:00,2016-03-18 19:00:00,planned,Chambers - Decordova Substation 345 kV Cir. 1
15192,L:18952:19372:100,2016-03-02 19:00:00,2016-03-05 19:00:00,planned,Sherman St - Klamath Co-Gen 100 kV Cir. 1
20830,L:23408:23885:100,2016-03-03 19:00:00,2016-03-04 19:00:00,planned,Dededo - Moore Rd 100 kV Cir. 1
842,L:5379:5775:138,2016-02-29 19:00:00,2016-03-20 19:00:00,planned,White Rock-Nike - Hudson 138 kV Cir. 1
21256,L:23508:24600:500,2016-02-27 19:00:00,2016-03-05 19:00:00,planned,Dresden Generatng Station - Boca Raton 500 kV
17857,L:20144:20178:100,2016-02-28 19:00:00,2016-03-09 19:00:00,planned,Sheboygan Falls Station - Belden Village 100 kV Circuit 1
1271,L:5583:5908:138,2016-02-27 19:00:00,2016-03-15 19:00:00,planned,Parlin Power Plant - Old Bridge Clean Energy Center 138 kV Cir. 1
13422,L:18019:18573:138,2016-02-24 19:00:00,2016-03-05 19:00:00,planned,Holy Cross - Rowesville Rd Plant 138 kV #1
17835,L:20126:20129:100,2016-03-01 19:00:00,2016-03-13 19:00:00,planned,Fremont Energy Center - Simpson Lumber 100 kV Ckt 1
11607,L:10354:10358:138,2016-02-26 19:00:00,2016-02-29 19:00:00,planned,Home - No Maries 138 kV
13,L:2621:2622:161,2016-02-25 19:00:00,2016-03-15 19:00:00,planned,North Side Substation - June St 161 kV Cir. 1
6848,L:8186:8203:138,2016-02-29 19:00:00,2016-03-16 19:00:00,planned,Raccoon Creek Sta - Archie 138 kV Line 1
12855,L:17611:17664:138,2016-02-28 19:00:00,2016-03-03 19:00:00,planned,Rec Bradord - Curry County Substation 138 kV #1
1126,L:5520:5967:138,2016-02-29 19:00:00,2016-03-15 19:00:00,planned,Lawrence - Raines Rd 138 kV Ckt 1
16097,L:19391:19394:100,2016-03-01 19:00:00,2016-03-06 19:00:00,planned,Peace Canyon - Stauffer 100 kV Cir. 1
9599,L:9388:9402:138,2016-02-28 19:00:00,2016-03-09 19:00:00,planned,Redbud - Stonewall Substation 138 kV Cir. 1
4348,L:7041:7093:138,2016-02-23 19:00:00,2016-03-06 19:00:00,planned,Blackwater Tie - Camel Back 138 kV #1
12234,L:17000:17001:138,2016-02-28 19:00:00,2016-02-29 19:00:00,planned,Scooteney - Shingleton 138 kV #1
5239,L:7324:7371:138,2016-02-23 19:00:00,2016-03-09 19:00:00,planned,Boyntonville - El Vado 138 kV
275,L:5119:5121:138,2016-02-29 19:00:00,2016-03-08 19:00:00,planned,Orick - Zamora 138 kV
13926,L:18324:18326:138,2016-02-26 19:00:00,2016-03-16 19:00:00,planned,Maple Valley - Shandin 138 kV
18476,L:21516:22308:100,2016-03-02 19:00:00,2016-03-03 19:00:00,planned,Sturgis Substation - Lagrange 100 kV Circuit 1
10897,L:9988:9989:138,2016-03-02 19:00:00,2016-03-18 19:00:00,planned,Chancellor Row - Shack Mills Sta 138 kV Line 1
6828,L:8171:8287:138,2016-02-29 19:00:00,2016-03-12 19:00:00,planned,Orsted - Laurel Wind Farm 138 kV Circuit 1
14881,L:18827:19675:100,2016-02-23 19:00:00,2016-03-02 19:00:00,planned,Mohawk - Aes 100 kV Circuit 2
6327,L:7889:8184:138,2016-03-01 19:00:00,2016-03-13 19:00:00,planned,Payne - Kress 138 kV #1
2630,L:6096:7174:138,2016-03-03 19:00:00,2016-03-07 19:00:00,planned,Berthusen - S Reading Substation 138 kV #1
6293,L:7875:8141:138,2016-02-23 19:00:00,2016-03-10 19:00:00,planned,Hacienda Las Carolinas - Knob 138 kV Cir. 1
19795,L:22965:23480:230,2016-02-23 19:00:00,2016-02-24 19:00:00,planned,S Boston - Crete Energy Venture Llc Substation 230 kV #1
16063,L:19371:19375:100,2016-02-27 19:00:00,2016-03-15 19:00:00,planned,Ilion - Putnam Substation 100 kV Ckt 1
20242,L:23132:23522:230,2016-03-01 19:00:00,2016-03-05 19:00:00,planned,Royalton - Ivyglen Meter 230 kV Line 1
693,L:5308:6884:138,2016-02-28 19:00:00,2016-03-05 19:00:00,planned,Wayne Junction Substation - Newington 138 kV #1
15314,L:19012:19016:230,2016-03-03 19:00:00,2016-03-19 19:00:00,planned,Airline - Johnson Hill 230 kV
18404,L:21206:21208:100,2016-02-27 19:00:00,2016-03-13 19:00:00,planned,Reading - Ganesha 100 kV Line 1
17939,L:20194:20195:100,2016-02-25 19:00:00,2016-03-16 19:00:00,planned,Meadow - Kenowa 100 kV Circuit 1
20480,L:23233:23235:100,2016-02-24 19:00:00,2016-03-11 19:00:00,planned,Gibson Station - Certainteed Substation 100 kV
371,L:5162:5199:138,2016-02-29 19:00:00,2016-03-09 19:00:00,planned,East 12Th Street - Salton Sea 2 Substation 138 kV Line
5371,L:7415:7429:138,2016-02-28 19:00:00,2016-03-13 19:00:00,planned,Bloomfield - Glen Avon 138 kV line
8505,L:8888:8894:138,2016-02-27 19:00:00,2016-03-15 19:00:00,planned,Pasadena - Nih 138 kV
14614,L:18714:19540:230,2016-03-01 19:00:00,2016-03-06 19:00:00,planned,Ironman Substation - Killen 230 kV Cir. 1
16735,L:19621:19622:100,2016-02-27 19:00:00,2016-03-07 19:00:00,planned,Southwest Lima - Lenkurt 100 kV Line 1
10617,L:9864:10033:138,2016-02-28 19:00:00,2016-03-07 19:00:00,planned,Loudon - Yardley Ridge 138 kV Circuit 1
391,L:5171:5770:138,2016-03-02 19:00:00,2016-03-03 19:00:00,planned,Central Plains Wind Farm Substation - Jacks Crk Substation 138 kV Ckt 1
4227,L:6974:6977:138,2016-03-03 19:00:00,2016-03-04 19:00:00,planned,Indiera 6305 - Topsham 138 kV
424,L:5184:5200:138,2016-02-28 19:00:00,2016-03-09 19:00:00,planned,Red Mtn - Temblor 138 kV Line 1
13470,L:18046:18164:138,2016-02-23 19:00:00,2016-02-24 19:00:00,planned,E. Ripley - West Fork 138 kV
3889,L:6740:6766:138,2016-03-03 19:00:00,2016-03-17 19:00:00,planned,Pennsuco - Whitpain 138 kV #1
17516,L:19972:19998:230,2016-02-27 19:00:00,2016-03-06 19:00:00,planned,Station S Van Nuys - Rouse 230 kV line
8333,L:8809:8811:138,2016-02-28 19:00:00,2016-03-15 19:00:00,planned,Columbia - Holgate 138 kV
20574,L:23277:23296:100,2016-02-23 19:00:00,2016-02-26 19:00:00,planned,Jonesboro Spa - Padua 100 kV Line 1
17259,L:19850:20122:100,2016-02-26 19:00:00,2016-03-15 19:00:00,planned,Bernis Substation - Potter 100 kV Line 1
7311,L:8321:8604:138,2016-02-28 19:00:00,2016-02-29 19:00:00,planned,Clatskanie - Ninemile Point Substation 138 kV Cir. 1
2422,L:6015:7164:138,2016-02-29 19:00:00,2016-03-09 19:00:00,planned,Orrtanna - Yacht Club D.S 138 kV Line 1
10264,L:9703:9706:138,2016-03-02 19:00:00,2016-03-16 19:00:00,planned,Centennial - Glen Carlyn 138 kV Line 1
14629,L:18723:18724:100,2016-02-28 19:00:00,2016-03-03 19:00:00,planned,Groton - Test Track 100 kV Ckt 1
3540,L:6534:6551:138,2016-03-02 19:00:00,2016-03-15 19:00:00,planned,Jefferie Sta - Shorey Road 138 kV #1
348,L:5153:5352:138,2016-02-28 19:00:00,2016-03-19 19:00:00,planned,Pleasant Grove - S Beaver Dam 138 kV #1
10915,L:10001:10002:138,2016-03-02 19:00:00,2016-03-06 19:00:00,planned,Cogentrix - Gila River 138 kV Line 1
16272,L:19497:19538:100,2016-04-03 08:00:00,2016-04-16 08:00:00,planned,Beckham - Whitten 100 kV Cir. 1
14203,L:18502:18505:138,2016-04-03 08:00:00,2016-04-18 08:00:00,planned,Excell - Carpenter 138 kV Circuit 1
9703,L:9441:9443:138,2016-04-06 08:00:00,2016-04-21 08:00:00,planned,Forest Junction - Groton Street 138 kV Line
2598,L:6077:6081:138,2016-03-31 08:00:00,2016-04-11 08:00:00,planned,Kemmerer - Trisonic 138 kV #1
5299,L:7366:8199:138,2016-04-05 08:00:00,2016-04-10 08:00:00,planned,Wahtoke - Manifold 138 kV Circuit 1
8316,L:8799:9103:138,2016-03-31 08:00:00,2016-04-09 08:00:00,planned,Ottauquechee Hydro - Dodd Rd 138 kV Circuit 1
9299,L:9241:9538:138,2016-04-04 08:00:00,2016-04-20 08:00:00,planned,Jack Ramey Wind - Clearbrook 138 kV Ckt 1
17302,L:19869:19871:100,2016-03-28 08:00:00,2016-04-16 08:00:00,planned,Case - Yah-Ta-Hey 100 kV
460,L:5203:5964:138,2016-04-06 08:00:00,2016-04-24 08:00:00,planned,Elkhorn - Mckenna 138 kV Ckt 1
9895,L:9570:16484:138,2016-03-28 08:00:00,2016-04-03 08:00:00,planned,Biglow Canyon - Cumberland Substation 138 kV L
13234,L:17926:18282:138,2016-03-30 08:00:00,2016-04-09 08:00:00,planned,Stolle Road - Fairhaven 138 kV Ckt 1
8443,L:8847:8858:138,2016-03-30 08:00:00,2016-04-01 08:00:00,planned,Tiger Bay - Lake Mine 138 kV
14271,L:18556:18558:138,2016-04-02 08:00:00,2016-04-17 08:00:00,planned,Mackay - Sherburne Substation 138 kV Line 1
1584,L:5732:5735:138,2016-03-29 08:00:00,2016-03-31 08:00:00,planned,Northwest Jackson - Bartonsville 138 kV Ckt 1
19868,L:22984:23065:100,2016-04-02 08:00:00,2016-04-08 08:00:00,planned,Loon Lake Substation - Tonawanda 100 kV Circuit 1
14714,L:18753:18759:100,2016-03-30 08:00:00,2016-04-14 08:00:00,planned,Gable - Bluff 100 kV Line 1
15863,L:19269:19584:100,2016-03-29 08:00:00,2016-04-07 08:00:00,planned,Eden Solar Llc - Solon Diesel 100 kV Cir. 1
534,L:5237:5306:345,2016-04-05 08:00:00,2016-04-14 08:00:00,planned,Mathewson - Mount Laurel 345 kV Line 1
4244,L:6983:6987:138,2016-04-03 08:00:00,2016-04-13 08:00:00,planned,Kern Oil - Rawhide 138 kV Circuit 1
787,L:5362:5385:138,2016-04-01 08:00:00,2016-04-07 08:00:00,planned,Inman - Federal Square 138 kV Circuit 1
5266,L:7345:7359:138,2016-03-28 08:00:00,2016-03-31 08:00:00,planned,Us Gypsum - Forbes 138 kV Circuit 1
13565,L:18099:18118:138,2016-04-02 08:00:00,2016-04-16 08:00:00,planned,Heyburn - Frio Town Substation 138 kV L
3778,L:6682:6683:138,2016-03-30 08:00:00,2016-04-05 08:00:00,planned,Ralston - Lacamas 138 kV Circuit 1
20223,L:23125:23182:100,2016-04-03 08:00:00,2016-04-10 08:00:00,planned,Greenlawn - Macnil 100 kV Cir. 1
5730,L:7579:7586:138,2016-04-01 08:00:00,2016-04-16 08:00:00,planned,Schik - Cuartel Drogas Y Narcoticos 138 kV L
6521,L:7994:7999:138,2016-03-28 08:00:00,2016-03-29 08:00:00,planned,Plumosus - Vinoy 138 kV Line 1
19809,L:22969:23500:100,2016-04-01 08:00:00,2016-04-03 08:00:00,planned,Shoreham Power Sta - Castle Afb 100 kV #1
