project_id,queue_date,poi_name,poi_sub_id,poi_kv,poi_match_score,mw,fuel,state,transmission_owner,status_now,project_type
A39,1999-01-27,Pequest River 115 kV,13388.0,115.0,60.86956521739131,73.0,gas,NJ,JCPL,Withdrawn,gen
A40,1999-01-27,TMI 500 kV,14013.0,500.0,52.0,1271.0,gas,PA,ME,Withdrawn,gen
A41,1999-01-27,TMI 500 kV,14013.0,500.0,52.0,765.0,gas,PA,ME,Withdrawn,gen
A42,1999-01-27,Atlantic 230 kV,7914.0,230.0,100.0,449.0,gas,NJ,JCPL,Withdrawn,gen
A43,1999-01-27,Portland 230 kV,29932.0,230.0,100.0,472.0,gas,PA,ME,Withdrawn,gen
A44,1999-01-27,Shelocta 230 kV,3236.0,230.0,62.5,402.0,gas,PA,PENELEC,Withdrawn,gen
A45,1999-01-27,Oyster Creek 230 kV,26767.0,230.0,100.0,752.0,gas,NJ,JCPL,Withdrawn,gen
A46,1999-01-27,Gilbert 115 kV,18984.0,115.0,100.0,100.0,gas,NJ,JCPL,Withdrawn,gen
A47,1999-04-30,Perryman 230kV or 115kV,24938.0,230.0,92.0,740.0,gas,MD,BGE,Withdrawn,gen
A48,1999-02-03,East Towanda 230kV,13718.0,230.0,62.58823529411764,750.0,gas,NJ,PENELEC,Withdrawn,gen
A49,1999-02-03,West Hempfield 230kV,31868.0,230.0,100.0,750.0,gas,NJ,PPL,Withdrawn,gen
A50,1999-02-03,Bayonne,26511.0,138.0,100.0,60.0,gas,NJ,PSEG,Withdrawn,gen
A51,1999-02-03,Camden,29531.0,138.0,100.0,258.0,gas,NJ,PSEG,Withdrawn,gen
A52,1999-02-03,Linden,19239.0,138.0,100.0,180.0,gas,NJ,PSEG,Withdrawn,gen
A53,1999-02-03,Titusville,29899.0,138.0,80.0,25.0,gas,PA,PENELEC,Withdrawn,gen
A54,1999-02-09,TMI 230 kV,36200.0,230.0,57.14285714285714,45.0,other,PA,ME,Withdrawn,gen
A55,1999-02-22,Lakewood 230kV,5856.0,230.0,100.0,500.0,gas,NJ,JCPL,In Service,gen
A56,1999-03-08,Pedricktown 230kV,29927.0,230.0,100.0,500.0,gas,NJ,AEC,Withdrawn,gen
A57,1999-03-08,Edgemoor,16792.0,138.0,100.0,500.0,gas,PA,AEC,Withdrawn,gen
A58,1999-03-29,Hawkins Gate / Oak Grove 230kV,31492.0,230.0,100.0,450.0,gas,MD,PEPCO,Withdrawn,gen
A59,1999-04-01,Emilie,29521.0,138.0,100.0,0.0,gas,PA,PECO,In Service,gen
A59_W00,1999-01-01,Springdale 138 kV,13584.0,138.0,80.71428571428572,96.0,gas,PA,APS,In Service,gen
A60,1999-04-08,Hunterstown 500 kV,13298.0,500.0,92.0,679.0,gas,PA,ME,Withdrawn,gen
A61,1999-03-30,Hawkins Gate / Oak Grove 230kV,31492.0,230.0,100.0,450.0,gas,DE,PEPCO,Withdrawn,gen
B01,1999-04-29,Dickerson,12884.0,138.0,100.0,398.0,gas,MD,PEPCO,Withdrawn,gen
B02,1999-04-30,Morgantown,12825.0,138.0,100.0,80.0,gas,MD,PEPCO,In Service,gen
B03,1999-04-30,Hosensack 500kV,29585.0,500.0,100.0,750.0,gas,PA,PPL,In Service,gen
B04,1999-04-30,Oyster Creek,26767.0,138.0,100.0,800.0,gas,NJ,JCPL,Withdrawn,gen
B05,1999-04-30,Wayne-Homer City 345kV,16139.0,345.0,100.0,265.0,gas,PA,PENELEC,In Service,gen
B06,1999-05-10,Wayne-Homer City 345kV,16139.0,345.0,100.0,525.0,gas,PA,PENELEC,Withdrawn,gen
B07,1999-05-10,Keystone 500kV,31985.0,500.0,100.0,300.0,gas,PA,PENELEC,Withdrawn,gen
B08,1999-06-09,Friedensburg 69kV,14526.0,69.0,69.56521739130434,5.0,gas,PA,ME,Withdrawn,gen
B09A,1999-06-10,Burlington 138kV,29237.0,138.0,100.0,168.0,gas,NJ,PSEG,In Service,gen
B09b,1999-06-10,Burlington 138kV,29237.0,138.0,100.0,336.0,gas,NJ,PSEG,Withdrawn,gen
B10,1999-06-10,Keystone 500kV,31985.0,500.0,100.0,600.0,gas,PA,PENELEC,Withdrawn,gen
B12,1999-06-14,Limerick 230kV,31786.0,230.0,100.0,500.0,gas,PA,PECO,Withdrawn,gen
B12_W01,1999-01-01,South Bend 500 kV,12658.0,500.0,92.0,600.0,gas,PA,APS,In Service,gen
B12_W02,1999-01-01,Oak Grove 138 kV,31454.0,138.0,92.0,300.0,gas,WV,APS,In Service,gen
B13,1999-07-02,Lakewood 230kV,5856.0,230.0,100.0,9.0,gas,NJ,JCPL,Withdrawn,gen
B14,1999-07-06,Arnold 115kV,1398.0,115.0,100.0,10.4,wind,PA,PENELEC,Deactivated,gen
B15,1999-07-12,Morgantown/Oak Grove 230kV,12825.0,230.0,100.0,550.0,gas,MD,PEPCO,Withdrawn,gen
B16,1999-07-12,Morgantown/Oak Grove 230kV,12825.0,230.0,100.0,550.0,gas,MD,PEPCO,Withdrawn,gen
B17,1999-07-17,Jerseyville 34.5kV,33279.0,34.5,73.81818181818181,2.1,gas,NJ,JCPL,Withdrawn,gen
B18,1999-07-23,Limerick-Cromby 230kV,31786.0,230.0,100.0,750.0,gas,PA,PECO,Withdrawn,gen
B18_W03,1999-01-01,Springdale 138 kV,13584.0,138.0,80.71428571428572,525.0,gas,PA,APS,In Service,gen
B19,1999-07-30,Melrose 34.5kV,6175.0,34.5,63.42857142857143,20.0,gas,NJ,JCPL,In Service,gen
B20,1999-08-07,Elm St. 115kV,13364.0,115.0,100.0,70.0,gas,PA,PENELEC,Withdrawn,gen
B21,1999-08-09,South Reading 500kV,13622.0,500.0,92.0,925.0,gas,PA,ME,Withdrawn,gen
B22,1999-08-11,Gould St. 34.5 kV,13301.0,34.5,58.66666666666667,9.9,gas,MD,BGE,Withdrawn,gen
B23,1999-08-21,Siegfried/Allentown 138kV,32746.0,138.0,100.0,115.0,other,PA,PPL,In Service,gen
B23_W04,1999-08-26,Gans 138 kV,14284.0,138.0,100.0,88.0,gas,PA,APS,In Service,gen
B24,1999-09-07,Oak Grove 13.8kV,31454.0,13.8,92.0,6.8,gas,MD,PEPCO,Withdrawn,gen
B25,1999-09-20,Cromby 230kV,31790.0,230.0,100.0,870.0,gas,PA,PECO,Withdrawn,gen
B26,1999-09-20,Hunlock Creek 66kV,30062.0,66.0,65.6842105263158,50.0,gas,PA,UGI,In Service,gen
B27,1999-11-03,Portland 230kV,29932.0,230.0,100.0,920.5,gas,PA,ME,Withdrawn,gen
B28,1999-11-12,Muddy Run 230kV,14551.0,230.0,100.0,160.0,other,PA,PECO,In Service,gen
B28_W07,1999-11-12,Backbone Mountain 138 kV,13461.0,138.0,77.5,90.0,wind,WV,APS,In Service,gen
B28_W08,1999-11-12,Mill Run 25 kV,29641.0,25.0,77.0,15.0,wind,PA,APS,In Service,gen
B29,1999-11-15,Perryman 230kV/115kV,24938.0,230.0,92.0,750.0,gas,MD,BGE,Withdrawn,gen
B30,1999-11-22,Emilie 230kV,29521.0,230.0,100.0,1268.0,gas,PA,PECO,In Service,gen
B31,1999-11-22,Brunner-West Hempfield 230kV,32623.0,230.0,85.0,600.0,gas,PA,PPL,Withdrawn,gen
B32,1999-11-23,TMI 230kV,36200.0,230.0,57.14285714285714,650.0,gas,PA,ME,Withdrawn,gen
B33,1999-11-23,Steelton 230kV,13253.0,230.0,100.0,500.0,gas,PA,PPL,Withdrawn,gen
B34,1999-11-23,Seward 230kV,32944.0,230.0,100.0,525.0,other,PA,PENELEC,In Service,gen
B35,1999-11-24,South Akron 230kV,13614.0,230.0,100.0,313.0,gas,PA,PPL,Withdrawn,gen
B36,1999-11-24,South Akron 230kV,13614.0,230.0,100.0,78.0,gas,PA,PPL,Withdrawn,gen
B37,1999-11-24,East Greenville 69kV,15038.0,69.0,95.0,90.0,gas,PA,PPL,Withdrawn,gen
B38,1999-11-24,Elroy 138kV,29586.0,138.0,92.0,100.0,gas,PA,PPL,Withdrawn,gen
B39,1999-11-24,Quarryville 69kV,15995.0,69.0,100.0,90.0,gas,PA,PPL,Withdrawn,gen
B40,1999-11-24,West Hempfield 69kV,31868.0,69.0,100.0,100.0,gas,PA,PPL,Withdrawn,gen
B41,1999-11-24,West Hempfield 138kV,31868.0,138.0,100.0,90.0,gas,PA,PPL,Withdrawn,gen
B42,1999-11-29,Susquehanna 230kV,31753.0,230.0,100.0,500.0,gas,PA,PPL,Withdrawn,gen
B43,1999-11-29,Homer City-Wayne 345kV,31987.0,345.0,100.0,284.0,gas,PA,PENELEC,Withdrawn,gen
B44,1999-11-29,Elko-Forrest 230kV,31892.0,230.0,100.0,240.0,gas,PA,PENELEC,Withdrawn,gen
B45,1999-11-29,Lackawanna 230kV,13403.0,230.0,100.0,555.0,gas,PA,PPL,Withdrawn,gen
B46,1999-11-29,Conowingo 230kV,12905.0,230.0,100.0,548.0,other,MD,PECO,In Service,gen
B47,1999-11-29,Red Lion 500kV,16020.0,500.0,100.0,545.0,gas,DE,DPL,In Service,gen
B48,1999-11-30,Graceton 230kV,18068.0,230.0,100.0,550.0,gas,MD,PECO,Withdrawn,gen
B49,1999-11-30,Erie South-Warren 230kV,31393.0,230.0,92.3076923076923,500.0,gas,PA,PENELEC,Withdrawn,gen
B50,1999-11-30,Morgantown 69kV,12825.0,69.0,100.0,500.0,gas,PA,PPL,Withdrawn,gen
B51,1999-11-30,Wayne 345,16139.0,138.0,86.66666666666667,500.0,gas,PA,PENELEC,Withdrawn,gen
B52,1999-11-30,Woodbridge 138kV,26519.0,138.0,92.0,550.0,gas,NJ,PSEG,Withdrawn,gen
C01,1999-12-17,Linden 138kV,19239.0,138.0,92.0,1186.0,gas,NJ,PSEG,In Service,gen
C02,2000-01-06,South Lebanon 230kV,13611.0,230.0,88.88888888888889,720.0,gas,PA,ME,Withdrawn,gen
C03,2000-01-11,Morgantown/Oak Grove 230kV,12825.0,230.0,100.0,550.0,gas,MD,PEPCO,Withdrawn,gen
C04,2000-01-11,Burches Hill 230kV,31456.0,230.0,100.0,550.0,gas,MD,PEPCO,Withdrawn,gen
C05,2000-01-24,Somerset 34.5kV,7415.0,34.5,92.0,3.75,gas,NJ,JCPL,Withdrawn,gen
C06,2000-01-26,Susquehanna 230kV**,31753.0,230.0,100.0,500.0,gas,PA,PPL,Withdrawn,gen
C07,2000-01-31,Salem 500kV,18954.0,500.0,100.0,1119.0,other,NJ,PSEG,In Service,gen
C08,2000-01-31,Hope Creek 500kV,31821.0,500.0,100.0,1100.0,other,NJ,PSEG,In Service,gen
C09,2000-02-04,Fairlawn 26.4kV,42753.0,26.4,92.0,37.0,gas,NJ,PSEG,Withdrawn,gen
C10,2000-02-08,Erie East 230kV,13396.0,230.0,100.0,100.0,gas,PA,PENELEC,Withdrawn,gen
C11,2000-02-25,Mifflintown 69kV,955.0,69.0,70.58823529411764,9.9,gas,PA,PPL,Withdrawn,gen
C11_W11,2000-02-25,Hunker 138 kV,42824.0,138.0,75.33333333333334,88.0,gas,PA,APS,Withdrawn,gen
C12,2000-03-15,Conastone - Peach Bottom 500kV,31827.0,500.0,100.0,550.0,gas,MD,PECO,Withdrawn,gen
C13,2000-03-15,Conastone - Peach Bottom 500kV,31827.0,500.0,100.0,550.0,gas,MD,PECO,Withdrawn,gen
C14,2000-03-27,Keystone - Conemaugh 550,31985.0,138.0,100.0,550.0,gas,PA,PENELEC,Withdrawn,gen
C15,2000-03-28,Friedensburg 69kV,14526.0,69.0,69.56521739130434,5.0,gas,PA,ME,Withdrawn,gen
C16,2000-03-28,Westover South 34.5kV,13892.0,34.5,92.0,13.5,gas,PA,PENELEC,Withdrawn,gen
C17,2000-03-28,Somerset 23kV,7415.0,23.0,92.0,4.5,gas,PA,PENELEC,Withdrawn,gen
D01,2000-04-06,Engleside 69kV,32035.0,69.0,100.0,1.6,gas,PA,PPL,In Service,gen
D02,2000-04-07,Edgemoor,16792.0,138.0,100.0,521.0,gas,DE,DPL,In Service,gen
D03,2000-04-17,Harwood 69kV,13294.0,69.0,92.0,99.0,gas,PA,PPL,In Service,gen
D03_W15,2000-04-24,Horse Shoe Run 69 kV,39596.0,69.0,64.72727272727273,10.6,gas,WV,APS,Withdrawn,gen
D04,2000-05-26,Peckville 69kV,31783.0,69.0,92.0,20.0,gas,PA,PPL,In Service,gen
D05,2000-06-15,East Carbondale 69kV,13553.0,69.0,100.0,70.0,wind,PA,PPL,In Service,gen
D05_W17,2000-06-15,Friendsville 500 kV,33269.0,500.0,92.0,432.0,gas,MD,APS,Withdrawn,gen
D06,2000-06-19,Eclipse 115kV,13351.0,115.0,100.0,85.0,gas,PA,PENELEC,In Service,gen
D07,2000-06-23,Blueball 69kV,35470.0,69.0,79.5,53.0,gas,PA,PECO,Deactivated,gen
D08,2000-07-03,Kearny 230kV,26616.0,230.0,100.0,168.0,gas,NJ,PSEG,In Service,gen
D08_W18,2000-07-03,Terra Alta 138 kV,15888.0,138.0,69.56521739130434,88.0,gas,WV,APS,Withdrawn,gen
D08_W19,2000-07-03,Bald Eagle 46 kV,18325.0,46.0,77.0,88.0,gas,PA,APS,Withdrawn,gen
D09,2000-07-24,9th St (sub 117) 13kV,20911.0,13.0,72.0,11.0,gas,DC,PEPCO,In Service,gen
D10,2000-07-26,NIH 13kV,29404.0,13.0,52.0,25.0,other,MD,PEPCO,In Service,gen
D11,2000-07-26,Clayton 138kV,16727.0,138.0,100.0,100.0,gas,DE,DPL,In Service,gen
D13,2000-07-27,Deep Run 34.5kV,32310.0,34.5,67.0,12.0,gas,NJ,JCPL,Withdrawn,gen
D14,2000-07-28,Red Lion 500kV,16020.0,500.0,100.0,711.0,gas,DE,DPL,Withdrawn,gen
D15,2000-07-28,Red Lion 500kV,16020.0,500.0,100.0,550.0,gas,DE,DPL,Withdrawn,gen
D16,2000-07-28,Hummelstown 230kV,32768.0,230.0,100.0,550.0,gas,PA,PPL,Withdrawn,gen
D17,2000-07-28,Hummelstown 230kV,32768.0,230.0,100.0,550.0,gas,PA,PPL,Withdrawn,gen
D18,2000-07-28,Hosensack 230kV,29585.0,230.0,100.0,350.0,gas,PA,PPL,In Service,gen
D19,2000-07-28,Brunner-West Hempfield 230kV,32623.0,230.0,85.0,550.0,gas,PA,PPL,Withdrawn,gen
D20,2000-07-28,TMI-Peach Bottom 500kV,14013.0,500.0,52.0,550.0,gas,PA,PPL,Withdrawn,gen
D21,2000-07-28,Hunterstown-Conemaugh 500kV,13298.0,500.0,92.0,550.0,gas,PA,PENELEC,Withdrawn,gen
D22,2000-07-28,Hunterstown-Conemaugh 500kV,13298.0,500.0,92.0,550.0,gas,PA,PENELEC,Withdrawn,gen
D23,2000-07-31,Keystone 500kV,31985.0,500.0,100.0,500.0,gas,PA,PENELEC,Withdrawn,gen
D24,2000-07-31,Mansfield 115kV,14010.0,115.0,100.0,500.0,gas,PA,PENELEC,Withdrawn,gen
D25,2000-07-31,Hay Road 69kV & 138kV,17540.0,69.0,92.0,39.0,gas,DE,DPL,Withdrawn,gen
D26,2000-07-31,Mercer 230kV,19249.0,230.0,100.0,550.0,gas,NJ,PSEG,Withdrawn,gen
D27,2000-07-31,Salem - East Windsor 500kV,18954.0,500.0,100.0,550.0,gas,NJ,PSEG,Withdrawn,gen
D28,2000-07-30,Passyunk 230kV,29584.0,230.0,100.0,550.0,gas,PA,PECO,Withdrawn,gen
D29,2000-07-31,Derwood 13kV,6854.0,13.0,74.35294117647058,3.0,gas,MD,PEPCO,In Service,gen
E01,2000-08-15,Kearny 230kV,26616.0,230.0,100.0,750.0,gas,NJ,PSEG,Withdrawn,gen
E02,2000-08-15,N. Lebanon 69kV,13611.0,69.0,92.0,1.2,gas,PA,ME,In Service,gen
E03,2000-08-17,Somerville 13.8kV,18973.0,13.8,92.0,5.0,gas,NJ,PSEG,Withdrawn,gen
E04,2000-09-06,Atlantic 230kV,7914.0,230.0,100.0,598.0,gas,NJ,JCPL,Withdrawn,gen
E04_W20,2000-09-06,Guilford 138 kV,14094.0,138.0,100.0,88.0,gas,PA,APS,In Service,gen
E05,2000-09-14,Bethlehem Steel 33kV,18377.0,33.0,80.0,152.5,gas,MD,BGE,In Service,gen
E05_W25,2000-10-04,Doubs 500 kV or 230 kV,31630.0,500.0,100.0,620.0,gas,MD,APS,Withdrawn,gen
E06,2000-10-05,Bear Creek 69kV (Wind),31765.0,69.0,100.0,15.6,wind,PA,PPL,Withdrawn,gen
E07,2000-10-06,Montour 230kV,13418.0,230.0,100.0,766.0,other,PA,PPL,In Service,gen
E08,2000-10-17,Hunlock Creek,30062.0,138.0,73.6842105263158,500.0,gas,PA,UGI,Withdrawn,gen
E09,2000-10-19,Kiamensi 34kV,16017.0,34.0,92.0,8.4,gas,DE,DPL,Withdrawn,gen
E10,2000-10-23,Sewaren 230kV,18978.0,230.0,100.0,500.0,gas,NJ,PSEG,Withdrawn,gen
E11,2000-10-23,Wright 69kV,30492.0,69.0,80.0,16.9,gas,PA,PPL,Withdrawn,gen
E12,2000-10-25,Larrabee 230kV,26786.0,230.0,100.0,661.0,gas,NJ,JCPL,Withdrawn,gen
E13,2000-11-03,Somerset 22.86kV,7415.0,86.0,83.81818181818181,10.0,wind,PA,PENELEC,In Service,gen
E14,2000-11-07,Elm St. 115 kV,13364.0,115.0,100.0,70.0,gas,PA,PENELEC,Withdrawn,gen
E15,2000-11-07,Wright 69kV,30492.0,69.0,80.0,16.9,gas,PA,PPL,Withdrawn,gen
E16,2000-11-08,Sayreville 230kV,26541.0,230.0,100.0,776.0,gas,NJ,JCPL,Withdrawn,gen
E17,2000-11-09,Limerick,31786.0,138.0,100.0,75.0,gas,PA,PECO,Withdrawn,gen
E17_W26,2000-11-14,Taylorstown 500 kV,33189.0,500.0,65.6842105263158,1595.0,gas,PA,APS,Withdrawn,gen
E17_W27,2000-11-15,Ronco,31729.0,138.0,100.0,661.0,gas,PA,APS,In Service,gen
E17_W29,2000-11-15,Yukon 500 kV,31671.0,500.0,100.0,640.0,gas,PA,APS,Withdrawn,gen
E18,2000-11-28,Essex / Foundry St 138kV,19235.0,138.0,100.0,275.0,gas,NJ,PSEG,Withdrawn,gen
E19,2000-11-28,Delco Tap 230kV,29618.0,230.0,100.0,330.0,gas,PA,PECO,Withdrawn,gen
E20,2000-11-28,Croydon 230kV,29526.0,230.0,100.0,386.5,other,PA,PECO,In Service,gen
E21,2000-11-28,Camden-Richmond 230kV,29531.0,230.0,100.0,727.0,gas,NJ,PSEG,Withdrawn,gen
E22,2000-11-29,Burches Hill 500kV,31456.0,500.0,100.0,960.0,gas,VA,PEPCO,Withdrawn,gen
E23,2000-11-30,Lakehurst 34.5kV,14044.0,34.5,62.58823529411764,50.0,gas,NJ,JCPL,Withdrawn,gen
E24,2000-11-30,Parlin 230kV,19534.0,230.0,80.0,100.0,gas,NJ,JCPL,Withdrawn,gen
E27,2000-11-30,Hosensack 500kV,29585.0,500.0,100.0,1100.0,gas,PA,PPL,Withdrawn,gen
E28,2000-11-30,Motiva,14306.0,138.0,66.66666666666667,75.0,gas,DE,DPL,In Service,gen
F01,2000-12-04,TMI,14013.0,138.0,60.0,650.0,gas,PA,ME,Withdrawn,gen
F02,2000-12-07,Hudson,26635.0,138.0,88.0,650.0,gas,NJ,PSEG,Withdrawn,gen
F03,2000-12-13,Martins Creek 230kV,13453.0,230.0,100.0,850.0,other,PA,PPL,In Service,gen
F04,2001-01-18,Somerset 115kV,7441.0,115.0,100.0,30.0,wind,PA,PENELEC,Withdrawn,gen
F05,2001-01-25,Keystone-Conemaugh 500kV,31985.0,500.0,100.0,646.0,gas,PA,PENELEC,Withdrawn,gen
F05_W38,2001-01-29,White Oak 500 kV,32814.0,500.0,92.0,1200.0,gas,PA,APS,Withdrawn,gen
F06,2001-01-31,Birdsboro 13.2kV,1440.0,13.2,62.0,6.5,gas,PA,ME,Withdrawn,gen
F07,2001-01-31,Dickerson 230kV,12884.0,230.0,100.0,20.0,gas,MD,PEPCO,In Service,gen
F08,2001-01-31,Chalk Point 230kV,31439.0,230.0,100.0,20.0,gas,MD,PEPCO,In Service,gen
F09,2001-01-31,Central City West 23kV,15631.0,23.0,92.0,9.0,gas,PA,PENELEC,Withdrawn,gen
G00_MTX2B,2001-01-08,Keeney-Steele 230kV,13097.0,230.0,100.0,0.0,other,DC,Unknown,Withdrawn,gen
G00_MTX2C,2001-01-08,Vienna-Piney Grove 230kV,13111.0,230.0,100.0,0.0,other,MD,Unknown,Withdrawn,gen
G00_MTX3,2001-01-30,Erie West 345kV,31407.0,345.0,100.0,1000.0,other,PA,Unknown,Withdrawn,gen
G00_W39,2001-02-05,Doubs 500 kV or 230 kV,31630.0,500.0,100.0,668.0,gas,MD,APS,Withdrawn,gen
G00_W40,2001-02-05,Warren 138 kV,13365.0,138.0,92.5,264.0,gas,VA,APS,Withdrawn,gen
G02,2001-02-14,Dickerson 230kV,12884.0,230.0,100.0,234.0,gas,MD,PEPCO,Withdrawn,gen
G02_W43,2001-02-16,Tallmansville 138 kV,12504.0,138.0,78.26086956521739,450.0,gas,WV,APS,Withdrawn,gen
G03,2001-02-22,Todd 69kV,13110.0,69.0,100.0,5.0,gas,MD,DPL,Withdrawn,gen
G04,2001-02-23,Brunner Island #2,32623.0,138.0,96.25,749.0,other,PA,PPL,Withdrawn,gen
G05,2001-02-23,Brunner Island #1,32623.0,138.0,96.25,14.0,other,PA,PPL,Withdrawn,gen
G06,2001-02-23,Martins Creek #4,13453.0,138.0,95.38461538461539,850.0,other,PA,PPL,In Service,gen
G06_W44,2001-02-28,Fort Martin 500 kV,31714.0,500.0,100.0,500.0,gas,WV,APS,Withdrawn,gen
G06_W45,2001-02-28,Harrison 500 kV,35757.0,500.0,100.0,500.0,gas,WV,APS,Withdrawn,gen
G06_W47,2001-02-28,Black Oak 500 kV,32190.0,500.0,100.0,500.0,gas,PA,APS,Withdrawn,gen
G07,2001-03-07,Richmond,5371.0,138.0,100.0,100.0,gas,PA,PECO,Withdrawn,gen
G07_MTX1,2001-03-08,Sayreville 230kV,26541.0,230.0,100.0,790.0,other,NJ,JCPL,In Service,gen
G08,2001-03-13,Kearny,26616.0,138.0,100.0,215.0,gas,NJ,PSEG,In Service,gen
G09,2001-03-13,Homer City,13234.0,138.0,100.0,547.0,gas,PA,PENELEC,Withdrawn,gen
G10,2001-03-20,Bergen,19042.0,138.0,100.0,550.0,gas,NJ,PSEG,In Service,gen
G11,2001-03-20,Burlington 138kV,29237.0,138.0,100.0,622.0,gas,NJ,PSEG,Withdrawn,gen
G12,2001-03-20,Burlington 230kV,19326.0,230.0,100.0,316.0,gas,NJ,PSEG,Withdrawn,gen
G13,2001-03-22,Woodbourne,29167.0,138.0,100.0,600.0,gas,PA,PECO,Withdrawn,gen
G14,2001-03-26,TMI-Peach Bottom 500kV,14013.0,500.0,52.0,610.0,gas,PA,PPL,Withdrawn,gen
G15,2001-03-27,Sewaren,18978.0,138.0,100.0,800.0,gas,NJ,PSEG,Withdrawn,gen
G16,2001-04-02,Bayview 26kV (Wind),15445.0,26.0,67.0,8.0,wind,VA,DPL,Withdrawn,gen
G17,2001-04-05,Burlington,19326.0,138.0,100.0,261.0,gas,NJ,PSEG,In Service,gen
G18,2001-04-05,Linden,19239.0,138.0,100.0,172.0,gas,NJ,PSEG,In Service,gen
G19,2001-04-05,Linden,19239.0,138.0,100.0,168.0,gas,NJ,PSEG,In Service,gen
