project_id,publication_date,pdf_path,study_type
AB2-171,2017-06-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2171_imp.pdf,system_impact
AB2-177,2017-05-04,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ab2177_imp.pdf,system_impact
AC1-003,2018-04-06,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1003_imp.pdf,system_impact
AC1-014,2017-04-21,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1014_imp.pdf,system_impact
AC1-021,2018-02-15,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1021_imp.pdf,system_impact
AC1-033,2021-06-22,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1033_imp.pdf,system_impact
AC1-043,2017-11-22,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1043_imp.pdf,system_impact
AC1-051,2018-03-14,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1051_imp.pdf,system_impact
AC1-055,2017-11-13,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1055_imp.pdf,system_impact
AC1-062,2017-05-08,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1062_imp.pdf,system_impact
AC1-068,2018-10-16,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1068_imp.pdf,system_impact
AC1-074,2020-11-16,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1074_imp.pdf,system_impact
AC1-087,2017-10-05,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1087_imp.pdf,system_impact
AC1-094,2019-12-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1094_imp.pdf,system_impact
AC1-104,2017-09-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1104_imp.pdf,system_impact
AC1-109,2020-08-13,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1109_imp.pdf,system_impact
AC1-118,2017-04-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1118_imp.pdf,system_impact
AC1-132 4841993,2017-11-01,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1132 4841993_imp.pdf,system_impact
AC1-141,2019-05-03,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1141_imp.pdf,system_impact
AC1-154,2017-11-01,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1154_imp.pdf,system_impact
AC1-161,2020-06-16,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1161_imp.pdf,system_impact
AC1-163,2017-12-12,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1163_imp.pdf,system_impact
AC1-170,2017-03-02,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1170_imp.pdf,system_impact
AC1-177,2017-12-13,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1177_imp.pdf,system_impact
AC1-201,2017-03-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1201_imp.pdf,system_impact
AC1-207,2017-03-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1207_imp.pdf,system_impact
AC1-210,2019-05-30,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1210_imp.pdf,system_impact
AC1-211,2017-10-05,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1211_imp.pdf,system_impact
AC1-220,2017-12-08,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac1220_imp.pdf,system_impact
AC2-016,2019-07-26,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2016_imp.pdf,system_impact
AC2-029,2022-08-01,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2029_imp.pdf,system_impact
AC2-045,2018-03-13,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2045_imp.pdf,system_impact
AC2-060,2019-12-11,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2060_imp.pdf,system_impact
AC2-068,2018-02-22,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2068_imp.pdf,system_impact
AC2-080,2018-07-17,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2080_imp.pdf,system_impact
AC2-092,2022-02-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2092_imp.pdf,system_impact
AC2-103,2020-05-08,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2103_imp.pdf,system_impact
AC2-113,2017-10-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2113_imp.pdf,system_impact
AC2-124,2018-08-22,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2124_imp.pdf,system_impact
AC2-133,2018-05-15,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2133_imp.pdf,system_impact
AC2-137,2017-11-01,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2137_imp.pdf,system_impact
AC2-141,2021-07-02,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2141_imp.pdf,system_impact
AC2-162,2017-10-26,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2162_imp.pdf,system_impact
AC2-175,2017-08-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2175_imp.pdf,system_impact
AC2-186,2020-09-27,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ac2186_imp.pdf,system_impact
AD1-004,2018-01-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1004_imp.pdf,system_impact
AD1-011,2018-01-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1011_imp.pdf,system_impact
AD1-020,2018-12-12,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1020_imp.pdf,system_impact
AD1-031,2021-09-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1031_imp.pdf,system_impact
AD1-046,2018-11-09,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1046_imp.pdf,system_impact
AD1-053,2018-01-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1053_imp.pdf,system_impact
AD1-060,2018-05-01,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1060_imp.pdf,system_impact
AD1-069,2018-10-08,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1069_imp.pdf,system_impact
AD1-074,2023-01-25,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1074_imp.pdf,system_impact
AD1-085,2018-09-12,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1085_imp.pdf,system_impact
AD1-097,2020-10-21,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1097_imp.pdf,system_impact
AD1-100,2022-05-27,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1100_imp.pdf,system_impact
AD1-113,2019-09-11,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1113_imp.pdf,system_impact
AD1-119,2020-12-30,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1119_imp.pdf,system_impact
AD1-131,2018-12-03,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1131_imp.pdf,system_impact
AD1-141,2019-12-18,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1141_imp.pdf,system_impact
AD1-156,2018-04-30,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad1156_imp.pdf,system_impact
AD2-001,2019-12-18,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2001_imp.pdf,system_impact
AD2-018,2018-03-16,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2018_imp.pdf,system_impact
AD2-025,2019-10-23,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2025_imp.pdf,system_impact
AD2-035,2019-06-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2035_imp.pdf,system_impact
AD2-045,2019-03-01,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2045_imp.pdf,system_impact
AD2-055,2021-04-21,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2055_imp.pdf,system_impact
AD2-064,2019-02-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2064_imp.pdf,system_impact
AD2-073,2019-03-26,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2073_imp.pdf,system_impact
AD2-079,2019-12-02,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2079_imp.pdf,system_impact
AD2-090,2019-12-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2090_imp.pdf,system_impact
AD2-098 4934836,2019-03-07,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2098 4934836_imp.pdf,system_impact
AD2-102,2022-06-07,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2102_imp.pdf,system_impact
AD2-108,2019-06-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2108_imp.pdf,system_impact
AD2-133,2020-12-09,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2133_imp.pdf,system_impact
AD2-138,2019-12-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2138_imp.pdf,system_impact
AD2-166,2019-06-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2166_imp.pdf,system_impact
AD2-172,2020-06-19,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2172_imp.pdf,system_impact
AD2-214,2023-03-02,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ad2214_imp.pdf,system_impact
AE1-001,2022-10-11,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1001_imp.pdf,system_impact
AE1-013,2019-08-29,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1013_imp.pdf,system_impact
AE1-024,2020-06-16,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1025_imp.pdf,system_impact
AE1-038,2019-08-26,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1038_imp.pdf,system_impact
AE1-051,2019-08-29,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1051_imp.pdf,system_impact
AE1-059,2019-08-29,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1059_imp.pdf,system_impact
AE1-064,2021-01-07,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1064_imp.pdf,system_impact
AE1-079,2019-08-27,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1079_imp.pdf,system_impact
AE1-098,2019-02-20,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1098_imp.pdf,system_impact
AE1-100,2019-11-22,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1100_imp.pdf,system_impact
AE1-106,2022-01-10,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1106_imp.pdf,system_impact
AE1-113,2020-12-17,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1113_imp.pdf,system_impact
AE1-123,2019-08-30,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1123_imp.pdf,system_impact
AE1-147,2019-08-27,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1147_imp.pdf,system_impact
AE1-157,2022-01-14,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1157_imp.pdf,system_impact
AE1-160,2020-01-08,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1160_imp.pdf,system_impact
AE1-168,2019-10-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1168_imp.pdf,system_impact
AE1-179,2022-11-16,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1179_imp.pdf,system_impact
AE1-187,2019-08-29,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1187_imp.pdf,system_impact
AE1-191,2022-03-10,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1191_imp.pdf,system_impact
AE1-198,2021-12-16,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1198_imp.pdf,system_impact
AE1-207,2021-01-15,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1207_imp.pdf,system_impact
AE1-218,2019-08-23,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1218_imp.pdf,system_impact
AE1-225,2019-08-27,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1225_imp.pdf,system_impact
AE1-252,2021-12-23,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae1252_imp.pdf,system_impact
AE2-009,2020-02-26,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2009_imp.pdf,system_impact
AE2-025,2022-03-08,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2025_imp.pdf,system_impact
AE2-029,2021-10-06,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2029_imp.pdf,system_impact
AE2-040,2021-12-27,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2040_imp.pdf,system_impact
AE2-047,2020-02-26,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2047_imp.pdf,system_impact
AE2-062,2020-10-20,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2062_imp.pdf,system_impact
AE2-073,2020-02-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2073_imp.pdf,system_impact
AE2-082,2020-02-26,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2082_imp.pdf,system_impact
AE2-097,2019-07-22,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2097_imp.pdf,system_impact
AE2-115,2019-07-29,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2115_imp.pdf,system_impact
AE2-130 - moved to TC1,2022-09-23,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2130  moved to tc1_imp.pdf,system_impact
AE2-132,2019-07-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2132_imp.pdf,system_impact
AE2-133,2020-02-25,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2133_imp.pdf,system_impact
AE2-144,2019-07-23,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2144_imp.pdf,system_impact
AE2-148,2020-02-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2148_imp.pdf,system_impact
AE2-151,2020-02-25,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2151_imp.pdf,system_impact
AE2-160,2020-02-25,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2160_imp.pdf,system_impact
AE2-172,2020-06-30,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2172_imp.pdf,system_impact
AE2-174,2022-08-15,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2174_imp.pdf,system_impact
AE2-187 - moved to TC1,2022-07-21,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2187  moved to tc1_imp.pdf,system_impact
AE2-188,2020-02-26,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2188_imp.pdf,system_impact
AE2-208,2020-02-26,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2208_imp.pdf,system_impact
AE2-219,2022-08-23,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2219_imp.pdf,system_impact
AE2-222,2022-04-13,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2222_imp.pdf,system_impact
AE2-230,2020-02-26,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2230_imp.pdf,system_impact
AE2-234,2020-02-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2234_imp.pdf,system_impact
AE2-255,2020-02-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2255_imp.pdf,system_impact
AE2-258,2022-01-26,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2258_imp.pdf,system_impact
AE2-272,2019-07-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2272_imp.pdf,system_impact
AE2-282,2022-02-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2282_imp.pdf,system_impact
AE2-288,2020-02-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2288_imp.pdf,system_impact
AE2-301,2020-02-27,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2301_imp.pdf,system_impact
AE2-315,2021-12-06,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2315_imp.pdf,system_impact
AE2-317,2020-02-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2317_imp.pdf,system_impact
AE2-326,2020-06-17,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2326_imp.pdf,system_impact
AE2-343,2020-02-27,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/ae2343_imp.pdf,system_impact
AF1-007,2020-08-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1007_imp.pdf,system_impact
AF1-016,2020-01-14,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1016_imp.pdf,system_impact
AF1-023,2020-01-21,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1023_imp.pdf,system_impact
AF1-030 - moved to TC1,2020-08-21,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1030  moved to tc1_imp.pdf,system_impact
AF1-040,2020-08-20,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1040_imp.pdf,system_impact
AF1-049,2020-08-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1049_imp.pdf,system_impact
AF1-053,2020-08-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1053_imp.pdf,system_impact
AF1-064,2020-08-27,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1064_imp.pdf,system_impact
AF1-072,2020-08-19,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1072_imp.pdf,system_impact
AF1-082,2020-08-27,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1082_imp.pdf,system_impact
AF1-083,2022-07-21,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1083_imp.pdf,system_impact
AF1-096,2022-10-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1096_imp.pdf,system_impact
AF1-106,2020-08-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1106_imp.pdf,system_impact
AF1-112,2020-08-27,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1112_imp.pdf,system_impact
AF1-122,2020-08-26,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1122_imp.pdf,system_impact
AF1-132,2020-08-30,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1132_imp.pdf,system_impact
AF1-146,2022-09-14,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1146_imp.pdf,system_impact
AF1-149,2020-08-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1149_imp.pdf,system_impact
AF1-159,2020-03-06,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1159_imp.pdf,system_impact
AF1-164,2020-08-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1164_imp.pdf,system_impact
AF1-167,2020-08-29,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1167_imp.pdf,system_impact
AF1-180,2020-01-30,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1180_imp.pdf,system_impact
AF1-185,2020-01-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1185_imp.pdf,system_impact
AF1-196,2020-01-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1196_imp.pdf,system_impact
AF1-203,2020-08-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1203_imp.pdf,system_impact
AF1-212,2020-08-26,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1212_imp.pdf,system_impact
AF1-219,2020-08-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1219_imp.pdf,system_impact
AF1-222,2020-08-27,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1222_imp.pdf,system_impact
AF1-238 - moved to TC1,2020-08-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1238  moved to tc1_imp.pdf,system_impact
AF1-245,2020-08-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1245_imp.pdf,system_impact
AF1-258,2020-08-31,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1258_imp.pdf,system_impact
AF1-264,2020-05-06,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1264_imp.pdf,system_impact
AF1-291,2020-01-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1291a_imp.pdf,system_impact
AF1-292,2020-08-25,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1292_imp.pdf,system_impact
AF1-294 - moved to TC1,2020-08-21,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1294  moved to tc1_imp.pdf,system_impact
AF1-305,2020-08-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1305_imp.pdf,system_impact
AF1-311,2020-08-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1311_imp.pdf,system_impact
AF1-324,2020-01-23,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1324_imp.pdf,system_impact
AF1-337,2020-08-18,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af1337_imp.pdf,system_impact
AF2-006,2021-02-23,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2006_imp.pdf,system_impact
AF2-010 - moved to TC1,2021-03-02,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2010  moved to tc1_imp.pdf,system_impact
AF2-032,2021-03-04,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2032_imp.pdf,system_impact
AF2-037 - moved to TC1,2021-02-19,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2037  moved to tc1_imp.pdf,system_impact
AF2-045,2020-07-28,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2045_imp.pdf,system_impact
AF2-054,2021-02-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2054_imp.pdf,system_impact
AF2-059,2021-02-23,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2059_imp.pdf,system_impact
AF2-068 - moved to TC1,2021-03-02,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2068  moved to tc1_imp.pdf,system_impact
AF2-082,2021-03-01,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2082_imp.pdf,system_impact
AF2-083,2022-02-18,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2083_imp.pdf,system_impact
AF2-088,2021-02-24,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2088_imp.pdf,system_impact
AF2-107,2021-02-25,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2107_imp.pdf,system_impact
AF2-115 - moved to TC1,2021-03-02,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2115  moved to tc1_imp.pdf,system_impact
AF2-125,2021-03-04,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2125_imp.pdf,system_impact
AF2-133,2021-03-04,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2133_imp.pdf,system_impact
AF2-134,2021-03-04,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2134_imp.pdf,system_impact
AF2-143 - moved to TC1,2021-04-23,/home/user/lblommesteyn/gridconstraint/data/raw_real/pjm/studies/af2143  moved to tc1_imp.pdf,system_impact
