queue,url,status,bytes,last_modified,submitted
AD2-018,https://www.pjm.com/pjmfiles/pub/planning/project-queues/arr-impact-studies/ad2018_arr-imp.pdf,ok,78470,"Fri, 16 Mar 2018 14:31:28 GMT",2017-11-14
AD2-025,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2025_imp.pdf,ok,432792,"Wed, 23 Oct 2019 17:07:51 GMT",2017-12-05
AD2-035,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2035_imp.pdf,ok,517239,"Mon, 24 Jun 2019 15:07:10 GMT",2018-01-12
AD2-045,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2045_imp.pdf,ok,415248,"Fri, 01 Mar 2019 17:36:44 GMT",2018-01-29
AD2-055,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2055_imp.pdf,ok,440178,"Wed, 21 Apr 2021 11:53:51 GMT",2018-02-09
AD2-064,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2064_imp.pdf,ok,369727,"Thu, 28 Feb 2019 15:07:24 GMT",2018-02-27
AD2-073,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2073_imp.pdf,ok,70621,"Tue, 26 Mar 2019 12:26:32 GMT",2018-03-14
AD2-079,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2079_imp.pdf,ok,735161,"Mon, 02 Dec 2019 20:17:12 GMT",2018-03-19
AD2-090,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2090_imp.pdf,ok,873844,"Tue, 31 Dec 2019 13:16:27 GMT",2018-03-20
AD2-098 4934836,https://www.pjm.com/pjmfiles/pub/planning/project-queues/ltf-phase-2/4934836_ltf2.pdf,ok,18674,"Thu, 07 Mar 2019 14:31:40 GMT",2018-03-21
AD2-108,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2108_imp.pdf,ok,254693,"Fri, 28 Jun 2019 14:04:18 GMT",2018-03-22
AD2-102,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2102_imp.pdf,ok,733127,"Tue, 07 Jun 2022 15:26:00 GMT",2018-03-22
AD2-138,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2138_imp.pdf,ok,1138101,"Tue, 31 Dec 2019 13:07:40 GMT",2018-03-23
AD2-133,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2133_imp.pdf,ok,1641182,"Wed, 09 Dec 2020 19:48:31 GMT",2018-03-25
AD2-166,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2166_imp.pdf,ok,508278,"Fri, 28 Jun 2019 14:27:41 GMT",2018-03-27
AD2-172,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ad2172_imp.pdf,ok,1688631,"Fri, 19 Jun 2020 19:06:30 GMT",2018-03-29
AD2-214,https://www.pjm.com/pub/planning/project-queues/impact_studies/ad2214_imp.pdf,ok,1430012,"Thu, 02 Mar 2023 23:40:00 GMT",2018-03-30
AE1-001,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1001_imp.pdf,ok,693849,"Tue, 11 Oct 2022 16:39:58 GMT",2018-04-02
AE1-013,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1013_imp.pdf,ok,408290,"Thu, 29 Aug 2019 16:14:49 GMT",2018-05-03
AE1-025,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1025_imp.pdf,ok,1923645,"Tue, 16 Jun 2020 20:06:43 GMT",2018-05-25
AE1-038,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1038_imp.pdf,ok,550870,"Mon, 26 Aug 2019 11:44:54 GMT",2018-06-22
AE1-051,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1051_imp.pdf,ok,700448,"Thu, 29 Aug 2019 11:21:03 GMT",2018-07-20
AE1-059,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1059_imp.pdf,ok,917135,"Thu, 29 Aug 2019 12:22:38 GMT",2018-07-27
AE1-064,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1064_imp.pdf,ok,344527,"Thu, 07 Jan 2021 20:06:30 GMT",2018-07-31
AE1-079,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1079_imp.pdf,ok,767482,"Tue, 27 Aug 2019 18:43:40 GMT",2018-08-11
AE1-098,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1098_imp.pdf,ok,137623,"Wed, 20 Feb 2019 19:11:46 GMT",2018-08-31
AE1-086,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1086_imp.pdf,http_404,103,,2018-08-31
AE1-100,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1100_imp.pdf,ok,768133,"Fri, 22 Nov 2019 17:29:15 GMT",2018-09-03
AE1-106,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1106_imp.pdf,ok,898577,"Mon, 10 Jan 2022 13:06:40 GMT",2018-09-11
AE1-113,https://www.pjm.com/pub/planning/project-queues/impact_studies/ae1113_imp.pdf,ok,1929745,"Thu, 17 Dec 2020 15:40:16 GMT",2018-09-14
AE1-252,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1252_imp.pdf,ok,1480745,"Thu, 23 Dec 2021 18:45:37 GMT",2018-09-18
AE1-123,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1123_imp.pdf,ok,897991,"Fri, 30 Aug 2019 17:41:17 GMT",2018-09-20
AE1-157,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1157_imp.pdf,ok,933478,"Fri, 14 Jan 2022 18:17:50 GMT",2018-09-24
AE1-147,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1147_imp.pdf,ok,781791,"Tue, 27 Aug 2019 15:10:31 GMT",2018-09-24
AE1-179,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1179_imp.pdf,ok,421646,"Wed, 16 Nov 2022 16:13:40 GMT",2018-09-25
AE1-168,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1168_imp.pdf,ok,1227785,"Thu, 31 Oct 2019 15:05:12 GMT",2018-09-25
AE1-160,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1160_imp.pdf,ok,967087,"Wed, 08 Jan 2020 18:09:18 GMT",2018-09-25
AE1-187,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1187_imp.pdf,ok,727637,"Thu, 29 Aug 2019 12:18:21 GMT",2018-09-26
AE1-198,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1198_imp.pdf,ok,1167369,"Thu, 16 Dec 2021 16:38:37 GMT",2018-09-26
AE1-207,https://www.pjm.com/pub/planning/project-queues/impact_studies/ae1207_imp.pdf,ok,812691,"Fri, 15 Jan 2021 12:37:32 GMT",2018-09-27
AE1-191,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1191_imp.pdf,ok,1102843,"Thu, 10 Mar 2022 13:03:55 GMT",2018-09-28
AE1-218,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1218_imp.pdf,ok,471851,"Fri, 23 Aug 2019 18:51:25 GMT",2018-09-28
AE1-225,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae1225_imp.pdf,ok,858946,"Tue, 27 Aug 2019 11:40:31 GMT",2018-09-29
AE2-009,https://www.pjm.com/pjmfiles/pub/planning/project-queues/arr-impact-studies/ae2009_arr-imp.pdf,ok,626322,"Wed, 26 Feb 2020 14:13:35 GMT",2018-10-17
AE2-025,https://www.pjm.com/pub/planning/project-queues/impact_studies/ae2025_imp.pdf,ok,766823,"Tue, 08 Mar 2022 21:14:02 GMT",2018-12-14
AE2-029,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2029_imp.pdf,ok,285932,"Wed, 06 Oct 2021 19:51:00 GMT",2018-12-29
AE2-040,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2040_imp.pdf,ok,960586,"Mon, 27 Dec 2021 17:24:54 GMT",2019-01-23
AE2-082,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2082_imp.pdf,ok,931045,"Wed, 26 Feb 2020 01:52:20 GMT",2019-01-31
AE2-047,https://www.pjm.com/pub/planning/project-queues/impact_studies/ae2047_imp.pdf,ok,808653,"Wed, 26 Feb 2020 16:23:43 GMT",2019-01-31
AE2-062,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2062_imp.pdf,ok,139359,"Tue, 20 Oct 2020 17:59:44 GMT",2019-02-05
AE2-073,https://www.pjm.com/pub/planning/project-queues/impact_studies/ae2073_imp.pdf,ok,1083764,"Fri, 28 Feb 2020 14:56:40 GMT",2019-02-15
AE2-148,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2148_imp.pdf,ok,918727,"Fri, 28 Feb 2020 17:23:01 GMT",2019-02-22
AE2-130 - moved to TC1,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2130_imp.pdf,ok,1045091,"Fri, 23 Sep 2022 16:41:00 GMT",2019-02-28
AE2-097,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2097_imp.pdf,ok,617185,"Mon, 22 Jul 2019 18:12:44 GMT",2019-02-28
AE2-132,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2132_imp.pdf,ok,659244,"Wed, 31 Jul 2019 12:24:27 GMT",2019-03-01
AE2-115,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2115_imp.pdf,ok,648544,"Mon, 29 Jul 2019 18:00:54 GMT",2019-03-01
AE2-133,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2133_imp.pdf,ok,870605,"Tue, 25 Feb 2020 14:09:29 GMT",2019-03-06
AE2-144,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2144_imp.pdf,ok,706918,"Tue, 23 Jul 2019 12:54:29 GMT",2019-03-11
AE2-151,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2151_imp.pdf,ok,801305,"Tue, 25 Feb 2020 14:50:43 GMT",2019-03-14
AE2-160,https://www.pjm.com/pub/planning/project-queues/impact_studies/ae2160_imp.pdf,ok,890414,"Tue, 25 Feb 2020 17:53:50 GMT",2019-03-15
AE2-172,https://www.pjm.com/pub/planning/project-queues/impact_studies/ae2172_imp.pdf,ok,886371,"Tue, 30 Jun 2020 15:05:00 GMT",2019-03-16
AE2-188,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2188_imp.pdf,ok,889876,"Wed, 26 Feb 2020 13:48:27 GMT",2019-03-18
AE2-187 - moved to TC1,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2187_imp.pdf,ok,583384,"Thu, 21 Jul 2022 19:24:00 GMT",2019-03-18
AE2-174,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2174_imp.pdf,ok,528260,"Mon, 15 Aug 2022 21:59:57 GMT",2019-03-19
AE2-208,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2208_imp.pdf,ok,909481,"Wed, 26 Feb 2020 20:58:52 GMT",2019-03-20
AE2-219,https://www.pjm.com/pub/planning/project-queues/impact_studies/ae2219_imp.pdf,ok,336101,"Tue, 23 Aug 2022 16:07:44 GMT",2019-03-21
AE2-234,https://www.pjm.com/pub/planning/project-queues/impact_studies/ae2234_imp.pdf,ok,863849,"Fri, 28 Feb 2020 14:19:09 GMT",2019-03-22
AE2-222,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2222_imp.pdf,ok,671140,"Wed, 13 Apr 2022 12:20:12 GMT",2019-03-22
AE2-230,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2230_imp.pdf,ok,944512,"Wed, 26 Feb 2020 21:44:37 GMT",2019-03-24
AE2-255,https://www.pjm.com/pub/planning/project-queues/impact_studies/ae2255_imp.pdf,ok,1235386,"Fri, 28 Feb 2020 18:47:17 GMT",2019-03-26
AE2-258,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2258_imp.pdf,ok,533663,"Wed, 26 Jan 2022 16:56:39 GMT",2019-03-27
AE2-272,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2272_imp.pdf,ok,335937,"Wed, 31 Jul 2019 12:05:51 GMT",2019-03-28
AE2-315,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2315_imp.pdf,ok,818822,"Mon, 06 Dec 2021 12:38:11 GMT",2019-03-29
AE2-301,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2301_imp.pdf,ok,802411,"Thu, 27 Feb 2020 20:38:40 GMT",2019-03-29
AE2-288,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2288_imp.pdf,ok,757000,"Mon, 24 Feb 2020 13:20:47 GMT",2019-03-29
AE2-326,https://www.pjm.com/pub/planning/project-queues/impact_studies/ae2326_imp.pdf,ok,952074,"Wed, 17 Jun 2020 15:06:38 GMT",2019-03-30
AE2-317,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ae2317_imp.pdf,ok,922188,"Fri, 28 Feb 2020 15:52:25 GMT",2019-03-30
