project_id,study_date,n_facilities,cost_alloc_total,cost_per_kw,n_queue_ahead
Q11-0083,2013-02-15,3,2621000.0,12.674081237911025,69
Q11-0086,2013-02-15,10,2618000.0,29.75,72
Q12-0107,2013-02-15,21,229101000.0,152.734,89
Q11-0028,2013-03-15,1,393000.0,6.799307958477509,21
Q11-0032,2013-03-15,11,116702000.0,326.71332586786116,24
Q11-0067,2013-03-15,13,43822000.0,240.91258933479935,54
Q11-0069,2013-03-15,25,195585000.0,330.82713125845737,55
Q11-0088,2013-03-15,7,29628000.0,101.67467398764585,72
Q12-0091,2013-03-15,0,0.0,0.0,75
Q12-0101,2013-03-15,6,33456000.0,291.42857142857144,84
Q12-0111,2013-03-15,2,2587000.0,36.13128491620112,92
Q12-0112,2013-03-15,17,76283000.0,232.85409035409035,93
Q12-0115,2013-03-15,2,20924000.0,75.67450271247739,95
Q11-0027,2013-04-15,0,0.0,0.0,20
Q11-0061,2013-04-15,3,9332000.0,125.26174496644295,49
Q12-0094,2013-04-15,0,0.0,0.0,77
Q12-0116,2013-04-15,6,2115000.0,18.232758620689655,96
Q12-0122,2013-04-15,19,199546000.0,2217.177777777778,102
Q11-0039,2013-05-15,14,35914000.0,69.77656887507285,28
Q11-0057,2013-05-15,4,39713000.0,137.55801870453757,45
Q11-0059,2013-05-15,19,48684000.0,753.6222910216719,47
Q11-0080,2013-05-15,2,1368000.0,12.447679708826206,64
Q12-0106,2013-05-15,16,31083000.0,179.0495391705069,84
Q12-0118,2013-05-15,5,53154000.0,105.13053797468355,95
Q11-0040,2013-06-15,0,0.0,0.0,28
Q11-0065,2013-06-15,21,25432000.0,138.82096069868996,49
Q11-0076,2013-06-15,2,5144000.0,45.84670231729055,58
Q12-0103,2013-06-15,0,0.0,0.0,80
Q12-0127,2013-06-15,17,51169000.0,242.16280170373875,100
Q12-0121,2013-07-15,12,114205000.0,76.13666666666667,92
Q12-0142,2013-07-15,1,4580000.0,123.11827956989248,111
Q11-0048,2013-08-15,2,31743000.0,37.610189573459714,35
Q11-0050,2013-08-15,0,0.0,0.0,36
Q11-0081,2013-08-15,21,171631000.0,218.36005089058523,60
Q12-0095,2013-08-15,2,2044000.0,15.626911314984708,70
Q12-0132,2013-08-15,2,48480000.0,626.3565891472869,100
Q12-0151,2013-08-15,25,105664000.0,108.94319001958965,117
Q12-0154,2013-08-15,20,27315000.0,201.14138438880707,121
Q12-0157,2013-08-15,14,98524000.0,242.37146371463714,124
Q12-0161,2013-08-15,9,53852000.0,209.8674980514419,125
Q11-0051,2013-09-15,25,98292000.0,263.3056522903831,37
Q11-0079,2013-09-15,2,2110000.0,7.879014189693802,55
Q12-0098,2013-09-15,0,0.0,0.0,70
Q12-0100,2013-09-15,2,4302000.0,57.59036144578313,72
Q11-0058,2013-10-15,0,0.0,0.0,41
Q11-0078,2013-10-15,11,59897000.0,345.8256351039261,54
Q12-0131,2013-10-15,8,3770000.0,44.77434679334917,95
Q12-0182,2013-10-15,25,156341000.0,460.2325581395349,140
Q12-0102,2013-11-15,0,0.0,0.0,73
Q12-0126,2013-11-15,4,1692000.0,14.725848563968668,90
Q12-0141,2013-11-15,1,1759000.0,35.7520325203252,104
Q12-0155,2013-11-15,8,9804000.0,24.052993130520118,116
Q12-0108,2013-12-15,3,6401000.0,37.432748538011694,74
Q12-0158,2013-12-15,13,35099000.0,105.21282973621103,118
Q12-0167,2013-12-15,20,88907000.0,74.38671352074967,127
Q12-0170,2013-12-15,11,37667000.0,187.39800995024876,130
Q12-0171,2013-12-15,2,27340000.0,165.89805825242718,131
Q12-0172,2013-12-15,4,7786000.0,33.30196749358426,131
Q13-0198,2013-12-15,17,42671000.0,335.4638364779874,154
Q11-0084,2014-01-15,12,25329000.0,589.046511627907,56
Q12-0092,2014-01-15,1,1027000.0,3.594679733986699,61
Q12-0109,2014-01-15,8,22000000.0,152.990264255911,72
Q12-0110,2014-01-15,25,158372000.0,397.52008032128515,73
Q12-0119,2014-01-15,21,46710000.0,583.875,79
Q12-0139,2014-01-15,25,20380000.0,339.6666666666667,96
Q12-0140,2014-01-15,22,14220000.0,244.75043029259896,97
Q12-0147,2014-01-15,25,24414000.0,122.62179809141135,104
Q12-0152,2014-01-15,37,179657000.0,3333.1539888682746,107
Q12-0160,2014-01-15,2,743000.0,9.060975609756097,112
Q12-0163,2014-01-15,27,77171000.0,414.89784946236557,117
Q12-0164,2014-01-15,25,125901000.0,225.79088952654232,118
Q12-0174,2014-01-15,13,15691000.0,118.33333333333333,128
Q13-0191,2014-01-15,25,425172000.0,553.8978634705576,141
Q12-0146,2014-02-15,24,112241000.0,207.46950092421443,101
Q12-0186,2014-02-15,25,20695000.0,180.74235807860262,136
Q12-0187,2014-02-15,11,2332000.0,259.1111111111111,136
Q12-0190,2014-02-15,2,6349000.0,29.448051948051948,139
Q13-0225,2014-02-15,25,54442000.0,275.9351241763811,174
Q12-0099,2014-03-15,5,4636000.0,60.68062827225131,64
Q12-0128,2014-03-15,3,2051000.0,9.715774514448128,83
Q12-0150,2014-03-15,25,111392000.0,447.7170418006431,104
Q12-0166,2014-03-15,16,163850000.0,420.6675224646983,118
Q13-0208,2014-03-15,25,12117000.0,200.28099173553719,156
Q13-0223,2014-03-15,12,19457000.0,76.00390625,170
Q12-0113,2014-04-15,0,0.0,0.0,72
Q12-0117,2014-05-15,7,6685000.0,47.277227722772274,73
Q12-0120,2014-05-15,0,0.0,0.0,76
Q12-0129,2014-05-15,25,80162000.0,142.6370106761566,82
Q12-0137,2014-05-15,10,12790000.0,75.45722713864306,89
Q12-0144,2014-05-15,0,0.0,0.0,96
Q12-0145,2014-05-15,25,56915000.0,170.1494768310912,97
Q12-0169,2014-05-15,3,20527000.0,171.6304347826087,116
Q13-0199,2014-05-15,18,19640000.0,204.58333333333334,143
Q13-0206,2014-05-15,0,0.0,0.0,149
Q13-0222,2014-05-15,2,1392000.0,13.03370786516854,166
Q13-0243,2014-05-15,25,118417000.0,257.37231036731146,187
Q13-0253,2014-05-15,8,26825000.0,134.73129080863887,197
Q12-0123,2014-06-15,3,8910000.0,91.38461538461539,75
Q12-0130,2014-06-15,25,13586000.0,129.0218423551757,80
Q12-0133,2014-06-15,19,21085000.0,103.00439667806546,83
Q12-0138,2014-06-15,25,266201000.0,197.5224456481413,87
Q13-0204,2014-06-15,25,22511000.0,87.65965732087227,145
Q13-0224,2014-06-15,0,0.0,0.0,165
Q13-0254,2014-06-15,19,60110000.0,231.37028483448807,193
Q12-0136,2014-07-15,25,44250000.0,43.61754558896008,81
Q12-0149,2014-07-15,18,19852000.0,35.39942938659058,94
Q12-0159,2014-07-15,15,22280000.0,54.75546817399852,100
Q12-0162,2014-07-15,4,9338000.0,68.06122448979592,104
Q12-0183,2014-07-15,25,63480000.0,52.35463917525773,123
Q13-0202,2014-07-15,15,5967000.0,80.30955585464334,140
Q13-0205,2014-07-15,5,466000.0,9.769392033542976,143
Q13-0209,2014-07-15,27,10017000.0,143.1,147
Q13-0235,2014-07-15,22,1326000.0,34.803149606299215,173
Q13-0241,2014-07-15,5,9265000.0,61.890447561790246,178
Q12-0135,2014-08-15,25,129275000.0,172.13715046604528,81
Q12-0143,2014-08-15,21,323452000.0,560.9642733263961,89
Q12-0173,2014-08-15,24,31342000.0,270.4227782571182,114
Q12-0175,2014-08-15,0,0.0,0.0,116
Q13-0207,2014-08-15,0,0.0,0.0,144
Q13-0261,2014-08-15,1,4205000.0,19.174646602827178,193
Q13-0274,2014-08-15,25,8974000.0,79.20564872021183,204
Q13-0275,2014-08-15,9,48052000.0,630.6036745406824,205
Q13-0282,2014-08-15,3,18530000.0,24.93943472409152,212
Q12-0156,2014-09-15,25,32602000.0,132.52845528455285,92
Q12-0168,2014-09-15,1,162000.0,1.6998950682056664,104
Q12-0178,2014-09-15,7,2635000.0,71.60326086956522,112
Q13-0193,2014-09-15,4,8258000.0,129.23317683881064,125
Q13-0251,2014-09-15,10,4047000.0,132.2549019607843,181
Q13-0271,2014-09-15,6,15717000.0,97.98628428927681,197
Q13-0287,2014-09-15,25,11757000.0,201.66380789022298,212
Q12-0181,2014-10-15,0,0.0,0.0,113
Q12-0185,2014-10-15,6,87560000.0,75.90152565880722,117
Q13-0196,2014-10-15,0,0.0,0.0,127
Q13-0200,2014-10-15,0,0.0,0.0,130
Q13-0214,2014-10-15,6,21175000.0,59.78260869565217,143
Q13-0216,2014-10-15,1,499000.0,15.942492012779553,146
Q13-0217,2014-10-15,0,0.0,0.0,147
Q13-0231,2014-10-15,0,0.0,0.0,160
Q13-0288,2014-10-15,22,78228000.0,145.89332338679597,211
Q13-0220,2014-11-15,1,1805000.0,9.751485683414371,148
Q12-0165,2014-12-15,11,35079000.0,94.65461413923367,94
Q13-0195,2014-12-15,17,74428000.0,110.394541679027,119
Q13-0221,2014-12-15,1,227000.0,1.2303523035230353,143
Q13-0236,2014-12-15,5,502000.0,16.405228758169933,158
Q13-0237,2014-12-15,25,37750000.0,117.1996274448929,159
Q13-0240,2014-12-15,0,0.0,0.0,161
Q13-0256,2014-12-15,0,0.0,0.0,176
Q13-0269,2014-12-15,11,30659000.0,377.5738916256158,185
Q13-0278,2014-12-15,0,0.0,0.0,192
Q13-0299,2014-12-15,9,27162000.0,825.5927051671732,214
Q14-0320,2014-12-15,4,4665000.0,36.790220820189276,233
Q12-0179,2015-01-15,10,17220000.0,30.987943134784956,103
Q12-0180,2015-01-15,15,24950000.0,85.56241426611797,104
Q12-0189,2015-01-15,0,0.0,0.0,111
Q13-0194,2015-01-15,0,0.0,0.0,115
Q13-0197,2015-01-15,25,26671000.0,93.84588318085855,118
Q13-0201,2015-01-15,2,14503000.0,35.529152376286135,120
Q13-0211,2015-01-15,3,2367000.0,7.755570117955439,131
Q13-0212,2015-01-15,2,9791000.0,59.66483851310177,132
Q13-0228,2015-01-15,25,115244000.0,76.82933333333334,147
Q13-0234,2015-01-15,15,67495000.0,172.7540312260046,153
Q13-0286,2015-01-15,7,28755000.0,114.06188020626736,197
Q13-0297,2015-01-15,4,33733000.0,278.5549132947977,208
Q14-0312,2015-01-15,6,2761000.0,10.438563327032137,221
Q13-0192,2015-02-15,25,8204000.0,72.66607617360496,106
Q13-0203,2015-02-15,19,90555000.0,851.8814675446848,116
Q13-0215,2015-02-15,11,23390000.0,350.6746626686657,126
Q13-0218,2015-02-15,22,155737000.0,317.18329938900206,131
Q13-0229,2015-02-15,25,50166000.0,103.47772277227723,141
Q14-0332,2015-02-15,25,89804000.0,74.37184265010352,232
Q13-0213,2015-03-15,20,22077000.0,241.27868852459017,118
Q13-0219,2015-03-15,3,6197000.0,64.82217573221757,124
Q13-0226,2015-03-15,0,0.0,0.0,131
Q13-0232,2015-03-15,16,66471000.0,275.2422360248447,135
Q13-0249,2015-03-15,21,176960000.0,307.64951321279557,152
Q13-0267,2015-03-15,0,0.0,0.0,165
Q13-0268,2015-03-15,25,127904000.0,85.26933333333334,166
Q13-0277,2015-03-15,18,13097000.0,328.2456140350877,173
Q13-0298,2015-03-15,25,149056000.0,492.74710743801654,191
Q14-0306,2015-03-15,14,7232000.0,120.1328903654485,199
Q14-0317,2015-03-15,1,412000.0,5.3785900783289815,208
Q14-0321,2015-03-15,0,0.0,0.0,211
Q14-0329,2015-03-15,0,0.0,0.0,219
Q14-0334,2015-03-15,10,22616000.0,98.7167175905718,223
Q14-0345,2015-03-15,5,5880000.0,36.58991910392035,233
Q13-0210,2015-04-15,0,0.0,0.0,112
Q13-0230,2015-04-15,21,45017000.0,51.982678983833715,131
Q13-0238,2015-04-15,0,0.0,0.0,139
Q13-0246,2015-04-15,21,95299000.0,213.4834229390681,146
Q13-0276,2015-04-15,1,311000.0,5.664845173041894,169
Q13-0280,2015-04-15,0,0.0,0.0,173
Q13-0293,2015-04-15,0,0.0,0.0,183
Q14-0336,2015-04-15,2,80000.0,3.3333333333333335,221
Q13-0242,2015-05-15,5,16418000.0,29.834635653280028,136
Q13-0244,2015-05-15,0,0.0,0.0,138
Q13-0265,2015-05-15,0,0.0,0.0,155
Q13-0272,2015-05-15,0,0.0,0.0,161
Q14-0318,2015-05-15,4,15264000.0,92.28536880290206,199
Q14-0328,2015-05-15,0,0.0,0.0,208
Q13-0233,2015-06-15,3,581000.0,12.548596112311015,123
Q13-0245,2015-06-15,1,710000.0,5.725806451612903,133
Q13-0257,2015-06-15,3,2608000.0,11.84377838328792,144
Q13-0283,2015-06-15,5,17171000.0,75.27838667251206,162
Q13-0292,2015-06-15,0,0.0,0.0,169
Q14-0311,2015-06-15,17,66782000.0,417.1267957526546,185
Q14-0319,2015-06-15,25,41888000.0,204.7311827956989,193
Q13-0248,2015-07-15,5,42279000.0,132.61919698870764,133
Q13-0270,2015-07-15,0,0.0,0.0,150
Q13-0279,2015-07-15,1,10013000.0,88.29805996472663,154
Q13-0285,2015-07-15,11,80851000.0,207.84318766066838,160
Q13-0290,2015-07-15,13,95215000.0,101.63855678906917,164
Q14-0325,2015-07-15,10,4195000.0,100.59952038369305,195
Q14-0341,2015-07-15,0,0.0,0.0,209
Q14-0356,2015-07-15,1,607000.0,3.962140992167102,223
Q14-0363,2015-07-15,25,81449000.0,146.35938903863433,229
Q14-0369,2015-07-15,1,1612000.0,7.039301310043668,235
Q14-0380,2015-07-15,9,28033000.0,86.09643734643734,246
Q13-0247,2015-08-15,6,25489000.0,118.71914299021891,128
Q13-0250,2015-08-15,15,31051000.0,152.65978367748278,131
Q13-0252,2015-08-15,2,193000.0,8.853211009174313,133
Q13-0258,2015-08-15,23,9363000.0,55.076470588235296,138
Q13-0294,2015-08-15,0,0.0,0.0,164
Q14-0301,2015-08-15,3,8272000.0,277.5838926174497,171
Q14-0305,2015-08-15,25,138640000.0,122.77718738930216,175
Q14-0307,2015-08-15,6,9238000.0,65.42492917847025,177
Q14-0313,2015-08-15,14,2835000.0,16.2,179
Q14-0355,2015-08-15,25,156557000.0,530.1625465628175,217
Q14-0379,2015-08-15,17,38410000.0,157.80608052588332,239
Q14-0388,2015-08-15,13,62506000.0,257.75670103092784,247
Q13-0281,2015-09-15,5,4525000.0,26.775147928994084,152
Q14-0303,2015-09-15,25,279893000.0,291.6159616586789,171
Q14-0314,2015-09-15,31,31996000.0,200.72772898368882,179
Q14-0316,2015-09-15,0,0.0,0.0,180
Q14-0340,2015-09-15,3,838000.0,9.447576099210822,201
Q14-0366,2015-09-15,25,17857000.0,187.5735294117647,225
Q14-0370,2015-09-15,11,31032000.0,111.86733958183129,229
Q14-0374,2015-09-15,25,8723000.0,176.9371196754564,233
Q14-0375,2015-09-15,7,16891000.0,48.5792349726776,234
Q14-0377,2015-09-15,5,20429000.0,43.70774497218656,236
Q14-0384,2015-09-15,10,35499000.0,273.0692307692308,242
Q13-0262,2015-10-15,25,123340000.0,150.34129692832764,135
Q13-0289,2015-10-15,25,145317000.0,184.90520422445604,153
Q13-0295,2015-10-15,5,5960000.0,52.234881682734446,159
Q13-0296,2015-10-15,0,0.0,0.0,160
Q14-0327,2015-10-15,5,7925000.0,47.11652794292509,185
Q14-0330,2015-10-15,5,4326000.0,86.52,188
Q14-0354,2015-10-15,3,317000.0,1.812464265294454,209
Q13-0291,2015-11-15,0,0.0,0.0,146
Q14-0357,2015-11-15,0,0.0,0.0,203
Q14-0391,2015-11-15,8,35516000.0,220.73337476693598,233
Q14-0396,2015-11-15,12,5935000.0,68.14006888633754,235
Q14-0404,2015-11-15,18,98453000.0,2197.6116071428573,244
Q15-0423,2015-11-15,25,62902000.0,395.36140791954745,262
Q15-0430,2015-11-15,25,60343000.0,307.24541751527494,269
Q13-0300,2015-12-15,8,69481000.0,404.1942990110529,149
Q14-0331,2015-12-15,0,0.0,0.0,173
Q14-0373,2015-12-15,6,1236000.0,17.63195435092725,211
Q14-0382,2015-12-15,14,8269000.0,71.77951388888889,218
Q14-0390,2015-12-15,13,2968000.0,21.109530583214795,224
Q14-0302,2016-01-15,0,0.0,0.0,146
Q14-0322,2016-01-15,4,22185000.0,25.50879613659883,160
Q14-0335,2016-01-15,10,56265000.0,190.27730808251607,171
Q14-0346,2016-01-15,9,3052000.0,27.25,180
Q14-0347,2016-01-15,0,0.0,0.0,181
Q14-0350,2016-01-15,0,0.0,0.0,183
Q14-0395,2016-01-15,10,11451000.0,52.84263959390863,222
Q14-0416,2016-01-15,2,388000.0,4.36936936936937,242
Q14-0304,2016-02-15,8,7832000.0,46.206489675516224,146
Q14-0339,2016-02-15,9,34812000.0,256.72566371681415,171
Q14-0352,2016-02-15,9,60654000.0,364.94584837545125,182
Q14-0353,2016-02-15,8,10430000.0,39.28436911487759,182
Q14-0367,2016-02-15,25,11806000.0,40.00677736360556,195
Q14-0385,2016-02-15,13,24378000.0,82.05318074722315,211
Q14-0405,2016-02-15,0,0.0,0.0,227
Q14-0406,2016-02-15,0,0.0,0.0,228
Q15-0426,2016-02-15,15,5981000.0,19.674342105263158,245
Q15-0429,2016-02-15,25,418637000.0,279.09133333333335,248
Q15-0440,2016-02-15,7,31176000.0,340.72131147540983,259
Q15-0447,2016-02-15,0,0.0,0.0,263
Q15-0452,2016-02-15,3,17112000.0,65.06463878326996,270
Q14-0324,2016-03-15,8,30138000.0,491.6476345840131,156
Q14-0351,2016-03-15,0,0.0,0.0,177
Q14-0358,2016-03-15,0,0.0,0.0,185
Q15-0424,2016-03-15,6,3317000.0,28.062605752961083,241
Q15-0432,2016-03-15,5,11032000.0,85.98597038191737,249
Q14-0326,2016-04-15,8,3545000.0,44.703656998738964,154
Q14-0342,2016-04-15,0,0.0,0.0,167
Q14-0364,2016-04-15,0,0.0,0.0,183
Q14-0383,2016-04-15,0,0.0,0.0,201
Q14-0389,2016-04-15,0,0.0,0.0,204
Q14-0407,2016-04-15,8,47729000.0,174.6395901939261,218
Q14-0411,2016-04-15,17,54132000.0,159.82285208148804,222
Q15-0446,2016-04-15,0,0.0,0.0,252
Q15-0450,2016-04-15,16,15149000.0,131.16017316017317,257
Q15-0462,2016-04-15,25,16047000.0,217.73405698778834,268
Q15-0475,2016-04-15,25,31510000.0,236.20689655172413,279
Q14-0360,2016-05-15,1,14000.0,1.044776119402985,175
Q14-0381,2016-05-15,3,1376000.0,16.739659367396595,194
Q14-0397,2016-05-15,25,88564000.0,117.99094058086864,203
Q14-0402,2016-05-15,5,13989000.0,62.53464461332141,208
Q15-0473,2016-05-15,25,120377000.0,244.96743996743996,270
Q15-0479,2016-05-15,25,5435000.0,72.37017310252996,276
Q14-0337,2016-06-15,25,92067000.0,158.08207417582418,154
Q14-0343,2016-06-15,25,39723000.0,304.62423312883436,159
Q14-0348,2016-06-15,22,124630000.0,115.84867075664621,161
Q14-0361,2016-06-15,25,78363000.0,462.04599056603774,173
Q14-0386,2016-06-15,0,0.0,0.0,193
Q14-0410,2016-06-15,8,8491000.0,40.31813865147198,211
Q15-0422,2016-06-15,25,90116000.0,103.67694431661297,222
Q15-0428,2016-06-15,17,13465000.0,110.18821603927987,227
Q15-0474,2016-06-15,0,0.0,0.0,265
Q15-0484,2016-06-15,6,3491000.0,16.405075187969924,275
Q15-0502,2016-06-15,43,102834000.0,392.3464326592903,292
Q14-0368,2016-07-15,0,0.0,0.0,172
Q14-0371,2016-07-15,22,33215000.0,191.44092219020172,175
Q14-0398,2016-07-15,25,164091000.0,650.8964696548989,193
Q14-0399,2016-07-15,6,5371000.0,24.02057245080501,194
Q15-0483,2016-07-15,18,3874000.0,54.794908062234796,266
Q15-0488,2016-07-15,19,91634000.0,302.0237310481213,271
Q14-0365,2016-08-15,5,26409000.0,86.21939275220372,163
Q14-0372,2016-08-15,6,14118000.0,188.99598393574297,170
Q14-0376,2016-08-15,25,161098000.0,107.39866666666667,172
Q14-0393,2016-08-15,1,428000.0,1.2711612711612712,183
Q15-0425,2016-08-15,13,152956000.0,141.12935966045396,211
Q15-0427,2016-08-15,16,39439000.0,471.75837320574163,213
Q15-0436,2016-08-15,3,1065000.0,7.220338983050848,222
Q15-0448,2016-08-15,20,52330000.0,416.640127388535,230
Q15-0477,2016-08-15,21,60501000.0,225.49757733879986,255
Q15-0490,2016-08-15,37,41391000.0,178.4094827586207,267
Q15-0506,2016-08-15,22,35222000.0,201.72966781214203,282
Q15-0517,2016-08-15,18,26822000.0,187.04323570432356,292
Q14-0403,2016-09-15,14,3025000.0,27.803308823529413,181
Q15-0421,2016-09-15,1,227000.0,2.7990135635018496,197
Q15-0454,2016-09-15,25,21108000.0,63.0842797369994,224
Q15-0466,2016-09-15,5,41549000.0,275.34128561961563,234
Q15-0540,2016-09-15,15,47894000.0,259.1666666666667,300
Q14-0400,2016-10-15,7,28827000.0,51.449223630198105,168
Q15-0439,2016-10-15,4,9463000.0,44.36474449132677,201
Q15-0485,2016-10-15,25,25009000.0,55.94854586129754,239
Q15-0489,2016-10-15,22,104221000.0,984.1454202077432,243
Q15-0528,2016-10-15,8,37519000.0,35.47560514372164,278
Q14-0419,2016-11-15,22,36943000.0,113.9864239432274,180
Q15-0431,2016-11-15,6,3871000.0,20.046607975142415,188
Q15-0435,2016-11-15,25,85487000.0,202.47986736144009,193
Q15-0476,2016-11-15,8,15836000.0,215.16304347826087,225
Q15-0478,2016-11-15,25,202834000.0,149.16458302691572,227
Q15-0487,2016-11-15,25,49491000.0,602.8136419001218,234
Q15-0494,2016-11-15,25,29277000.0,112.60384615384615,241
Q15-0513,2016-11-15,25,23418000.0,276.1556603773585,260
Q15-0535,2016-11-15,11,21254000.0,113.65775401069519,279
Q14-0401,2016-12-15,3,4679000.0,14.308868501529052,158
Q14-0412,2016-12-15,1,1761000.0,11.646825396825397,167
Q14-0413,2016-12-15,25,11252000.0,68.23529411764706,167
Q14-0414,2016-12-15,25,228705000.0,381.175,167
Q14-0417,2016-12-15,16,28461000.0,18.974,173
Q15-0433,2016-12-15,1,401000.0,3.8520653218059557,185
Q15-0442,2016-12-15,1,386000.0,4.2464246424642464,190
Q15-0451,2016-12-15,1,2906000.0,36.831432192648926,197
Q15-0453,2016-12-15,9,3426000.0,36.72025723472669,198
Q15-0458,2016-12-15,0,0.0,0.0,202
Q15-0470,2016-12-15,3,6682000.0,7.2433604336043365,212
Q15-0471,2016-12-15,6,14365000.0,40.6594961788848,213
Q15-0498,2016-12-15,25,127847000.0,152.25318566154579,236
Q15-0499,2016-12-15,0,0.0,0.0,236
Q15-0530,2016-12-15,5,7202000.0,27.86073500967118,265
Q15-0560,2016-12-15,22,60179000.0,321.64083377872794,290
Q16-0562,2016-12-15,25,119368000.0,415.91637630662024,291
Q16-0570,2016-12-15,10,32700000.0,336.0739979445015,298
Q16-0571,2016-12-15,5,9460000.0,50.07940709370037,299
Q16-0583,2016-12-15,25,13201000.0,77.92798110979929,311
Q14-0409,2017-01-15,25,8222000.0,35.06183368869936,155
Q14-0415,2017-01-15,0,0.0,0.0,161
Q14-0420,2017-01-15,25,245771000.0,163.84733333333332,165
Q15-0464,2017-01-15,5,2357000.0,28.74390243902439,195
Q15-0481,2017-01-15,4,12880000.0,185.5907780979827,209
Q15-0511,2017-01-15,25,5320000.0,70.93333333333334,237
Q15-0536,2017-01-15,0,0.0,0.0,259
Q15-0538,2017-01-15,25,15231000.0,219.15107913669064,260
Q15-0553,2017-01-15,7,1891000.0,23.20245398773006,272
Q15-0555,2017-01-15,25,37425000.0,168.3535762483131,273
Q16-0579,2017-01-15,3,792000.0,9.987389659520806,295
Q15-0445,2017-02-15,10,5927000.0,23.279654359780046,173
Q15-0463,2017-02-15,0,0.0,0.0,186
Q15-0493,2017-02-15,13,56497000.0,174.80507425742573,212
Q15-0501,2017-02-15,10,8185000.0,68.83936080740118,220
Q15-0509,2017-02-15,0,0.0,0.0,228
Q15-0516,2017-02-15,8,8336000.0,91.00436681222708,234
Q15-0519,2017-02-15,25,116694000.0,291.29805292061906,236
Q15-0524,2017-02-15,25,153797000.0,102.53133333333334,240
Q16-0586,2017-02-15,14,3667000.0,56.50231124807395,295
Q15-0434,2017-03-15,13,34201000.0,91.32443257676903,162
Q15-0460,2017-03-15,25,64247000.0,181.07948139797068,179
Q15-0468,2017-03-15,9,3157000.0,25.439161966156327,185
Q15-0469,2017-03-15,0,0.0,0.0,187
