project_id,n_cand,n_label,n_label_in_cand
Q19-1352,800,4,4
Q20-1455,800,1,1
Q20-1493,800,3,3
Q19-1254,800,6,6
Q19-1291,800,1,1
Q19-1360,800,0,0
Q20-1391,800,0,0
Q20-1465,800,6,6
Q20-1534,800,5,5
Q19-1288,800,25,25
Q19-1358,800,5,5
Q20-1439,800,18,17
Q20-1511,800,0,0
Q20-1558,800,0,0
Q19-1294,800,0,0
Q20-1377,800,2,2
Q20-1417,800,8,8
Q20-1544,800,26,26
Q19-1308,800,2,2
Q20-1418,800,15,14
Q20-1527,800,0,0
Q20-1539,800,25,19
Q20-1584,800,2,2
Q20-1615,800,2,0
Q20-1415,800,17,17
Q20-1572,800,0,0
Q20-1616,800,0,0
Q19-1340,800,0,0
Q20-1380,800,3,3
Q20-1459,800,0,0
Q20-1570,800,3,3
Q20-1617,800,2,2
Q20-1383,800,0,0
Q20-1448,800,4,4
Q20-1546,800,5,3
Q21-1666,800,13,11
Q20-1393,800,2,2
Q20-1440,800,12,12
Q20-1490,800,3,3
Q20-1561,575,10,10
Q20-1608,800,0,0
Q21-1662,800,1,1
Q20-1419,800,1,1
Q20-1502,800,4,4
Q20-1557,800,24,24
Q21-1644,800,0,0
Q21-1671,800,25,25
Q21-1740,800,3,3
Q20-1467,800,0,0
Q20-1497,800,18,18
Q20-1549,800,5,4
Q21-1659,800,2,1
Q21-1694,800,8,8
Q21-1743,772,1,1
Q20-1494,800,1,1
Q20-1541,800,8,8
Q20-1592,800,1,1
Q21-1700,800,8,8
Q20-1471,800,7,5
Q20-1509,800,9,9
Q20-1581,800,11,11
Q20-1640,800,6,6
Q21-1751,800,5,5
Q21-1785,800,10,10
Q21-1836,800,6,6
Q20-1492,800,0,0
Q20-1565,800,13,13
Q21-1680,800,25,24
Q21-1761,800,5,2
Q20-1512,800,0,0
Q20-1586,800,8,8
Q21-1653,800,0,0
Q21-1718,800,0,0
Q21-1745,800,0,0
Q21-1806,800,10,10
Q20-1545,800,2,2
Q20-1630,800,1,1
Q21-1658,603,6,5
Q21-1820,443,23,20
Q21-1904,800,25,22
Q20-1542,800,25,24
Q20-1619,800,0,0
Q21-1684,800,0,0
Q21-1727,800,8,7
Q21-1741,800,0,0
Q21-1789,800,25,24
Q21-1842,800,3,3
Q21-1912,800,13,12
Q20-1638,800,0,0
Q21-1695,800,0,0
Q21-1833,800,13,12
Q21-1903,800,27,23
Q21-1922,800,6,6
Q21-1968,800,2,2
Q20-1622,800,5,5
Q21-1664,800,0,0
Q21-1749,800,4,4
Q21-1808,800,0,0
Q21-1847,800,0,0
Q21-1891,800,10,5
Q21-1967,800,5,5
Q21-1705,800,0,0
Q21-1837,800,5,5
Q21-1880,800,12,12
Q21-1953,800,5,5
Q21-1647,800,0,0
Q21-1710,800,9,9
Q21-1775,800,15,14
Q21-1857,800,2,2
Q21-1911,800,2,0
Q21-1649,800,12,12
Q21-1717,800,2,0
Q21-1809,800,1,1
Q21-1850,800,0,0
Q21-1896,800,6,6
Q21-1961,800,2,2
Q22-2031,800,0,0
Q22-2063,800,20,20
Q21-1747,800,0,0
Q21-1821,800,2,1
Q22-1988,800,16,16
Q22-2076,800,2,2
Q22-2108,800,3,2
Q21-1711,788,11,10
Q21-1803,800,0,0
Q21-1841,280,5,5
Q21-1888,800,8,8
Q21-1936,800,0,0
Q22-2017,800,0,0
Q22-2067,800,1,1
Q21-1750,800,0,0
Q21-1816,800,8,8
Q21-1887,800,0,0
Q21-1954,800,16,16
Q22-1996,800,7,5
Q22-2091,800,15,14
Q21-1783,800,1,1
Q21-1844,800,0,0
Q21-1878,800,0,0
Q21-1932,800,0,0
Q22-1971,800,20,20
Q22-2134,800,3,3
Q21-1799,800,3,3
Q21-1879,800,5,5
Q21-1949,800,0,0
Q22-2049,800,0,0
Q22-2084,800,1,1
Q22-2137,800,2,1
Q21-1832,800,9,9
Q21-1956,800,6,6
Q22-1985,800,0,0
Q22-2154,800,2,2
Q22-2199,800,0,0
Q21-1913,800,7,7
Q22-1999,355,14,13
Q22-2052,800,2,2
Q22-2117,800,4,4
Q22-2172,800,0,0
Q22-2234,800,9,7
Q22-1989,800,6,5
Q22-2023,800,0,0
Q22-2053,800,23,22
Q22-2128,800,0,0
Q22-2184,800,3,2
Q22-2260,800,4,4
Q22-2002,800,3,3
Q22-2123,800,0,0
Q22-2174,800,5,5
Q22-2231,800,3,3
Q22-2249,800,0,0
Q21-1939,800,0,0
Q22-2022,800,0,0
Q22-2118,800,4,3
Q23-2273,800,10,10
Q22-2050,800,1,1
Q22-2070,800,16,16
Q22-2147,800,0,0
Q22-2193,800,2,2
Q22-2232,800,1,1
Q23-2271,800,7,5
Q22-2029,800,7,6
Q22-2104,800,2,2
Q22-2145,800,1,1
Q22-2173,800,1,1
Q23-2286,800,0,0
Q22-2048,800,1,1
Q22-2098,772,3,3
Q23-2291,800,4,4
Q22-2085,800,0,0
Q22-2165,800,0,0
Q23-2299,800,0,0
Q23-2325,800,0,0
Q22-2142,800,1,1
Q22-2270,800,8,8
Q22-2105,800,2,2
Q22-2220,800,0,0
Q23-2276,800,0,0
Q22-2148,800,1,1
Q23-2281,800,0,0
Q22-2159,800,3,3
Q22-2207,800,14,14
Q22-2245,800,0,0
Q23-2313,800,0,0
Q22-2169,800,0,0
Q22-2246,800,0,0
Q23-2274,800,4,3
Q23-2318,800,8,7
Q23-2353,800,0,0
Q23-2285,800,0,0
Q22-2230,800,1,1
Q22-2264,800,0,0
Q23-2340,800,0,0
Q22-2267,800,0,0
Q23-2361,254,25,23
Q23-2294,800,10,10
Q23-2351,800,17,13
Q24-2385,800,23,22
Q23-2288,800,0,0
Q24-2416,800,0,0
Q23-2310,800,0,0
Q24-2419,800,0,0
Q24-2371,800,21,19
Q24-2380,800,3,3
Q23-2330,800,10,10
Q24-2405,800,6,4
Q23-2327,800,0,0
Q24-2412,800,1,1
Q24-2433,800,2,2
Q23-2341,800,0,0
Q23-2369,800,0,0
Q24-2404,800,2,1
Q23-2333,800,26,26
Q24-2402,800,6,6
Q23-2346,800,8,6
Q24-2393,800,0,0
Q24-2482,800,13,11
Q23-2359,800,1,1
Q24-2475,800,0,0
Q11-0001,800,16,12
Q11-0017,800,0,0
Q11-0019,800,10,10
Q11-0016,800,25,21
Q11-0033,800,0,0
Q11-0009,800,4,4
Q11-0035,800,8,8
Q11-0082,800,12,11
Q11-0073,800,10,5
Q12-0096,264,8,1
Q11-0015,800,9,8
Q11-0021,800,5,0
Q11-0064,800,1,1
Q11-0025,800,4,4
Q11-0074,800,19,18
Q11-0028,800,1,1
Q11-0088,800,7,6
Q12-0112,800,17,16
Q12-0094,800,0,0
Q11-0057,800,4,3
Q12-0118,800,5,3
Q12-0103,800,0,0
Q11-0048,800,2,2
Q12-0132,800,2,2
Q12-0161,800,9,8
Q12-0100,800,1,1
Q12-0182,800,25,25
Q12-0155,800,8,2
Q12-0170,800,11,11
Q11-0084,800,12,2
Q12-0119,800,21,0
Q12-0152,800,37,27
Q12-0174,800,13,9
Q12-0187,800,11,5
Q12-0128,800,3,3
Q13-0223,800,11,5
Q12-0129,800,25,18
Q12-0169,800,3,0
Q13-0243,800,25,0
Q12-0133,800,19,17
Q13-0254,800,19,19
Q12-0162,800,4,4
Q13-0209,800,27,25
Q12-0143,800,21,19
Q13-0261,800,1,1
Q12-0156,800,25,25
Q13-0251,800,10,8
Q12-0185,800,6,6
Q13-0216,800,1,1
Q13-0220,800,1,1
Q13-0236,800,5,1
Q13-0269,800,10,10
Q12-0179,800,10,8
Q13-0197,800,25,23
Q13-0228,800,25,25
Q14-0312,800,5,5
Q13-0218,800,22,20
Q13-0219,800,3,2
Q13-0267,800,0,0
Q14-0306,800,14,13
Q14-0334,800,10,10
Q13-0238,800,0,0
Q13-0293,800,0,0
Q13-0265,800,0,0
Q13-0233,800,3,2
Q13-0292,800,0,0
Q13-0270,800,0,0
Q14-0325,800,10,10
Q14-0369,800,1,1
Q13-0252,800,2,1
Q14-0305,800,25,23
Q14-0379,800,16,7
Q14-0314,800,28,26
Q14-0370,430,11,11
Q14-0384,800,10,9
Q13-0296,800,0,0
Q13-0291,800,0,0
Q14-0404,800,17,15
Q14-0331,800,0,0
Q14-0302,800,0,0
Q14-0347,800,0,0
Q14-0304,800,8,8
Q14-0367,800,25,24
Q15-0426,800,14,14
Q15-0452,800,3,3
Q15-0424,800,6,5
Q14-0364,800,0,0
Q14-0411,800,15,15
Q15-0475,800,25,23
Q14-0402,800,5,5
Q14-0343,800,25,25
Q14-0410,800,8,7
Q15-0484,800,6,4
Q14-0398,800,25,18
Q14-0365,800,5,5
Q15-0425,800,13,6
Q15-0477,800,21,19
Q14-0403,800,14,13
Q15-0540,800,15,15
Q15-0489,800,22,22
Q15-0435,800,25,25
Q15-0494,800,24,3
Q14-0412,711,1,1
Q15-0433,800,1,0
Q15-0458,800,0,0
Q15-0499,800,0,0
Q16-0570,800,10,10
Q14-0415,800,0,0
Q15-0511,800,25,25
Q15-0555,800,25,23
Q15-0493,800,13,6
Q15-0519,106,24,6
Q15-0460,800,25,25
Q16-0567,800,25,6
Q16-0609,800,16,15
Q15-0449,800,17,17
Q15-0492,800,32,29
Q15-0523,800,14,13
Q16-0563,800,12,4
Q15-0496,800,0,0
Q16-0631,800,11,11
Q16-0578,800,2,1
Q16-0653,800,18,18
Q15-0507,800,6,6
Q15-0544,800,16,16
Q16-0604,800,1,1
Q16-0660,800,0,0
Q15-0551,800,21,20
Q16-0598,800,0,0
Q16-0681,800,25,24
Q16-0600,800,44,41
Q16-0655,800,11,11
Q16-0698,800,8,6
Q15-0533,800,0,0
Q16-0627,800,9,9
Q16-0668,800,0,0
Q16-0707,800,10,7
Q15-0545,800,15,14
Q16-0671,800,14,14
Q16-0596,800,8,7
Q16-0687,800,2,1
Q17-0726,800,5,5
Q16-0597,800,1,0
Q16-0628,800,17,17
Q16-0688,800,5,5
Q16-0576,319,0,0
Q16-0674,800,5,5
Q16-0584,800,7,6
Q16-0664,800,2,0
Q16-0714,800,15,13
Q17-0761,800,8,8
Q16-0617,800,5,5
Q16-0648,800,11,11
Q16-0716,800,7,6
Q16-0678,800,11,11
Q16-0606,800,19,18
Q16-0647,800,24,22
Q17-0785,800,25,22
Q17-0837,800,25,6
Q16-0705,800,21,9
Q17-0767,800,6,0
Q17-0819,800,6,6
Q16-0637,800,2,2
Q16-0680,800,25,0
Q16-0709,800,15,15
Q17-0764,800,25,13
Q17-0800,800,20,19
Q17-0863,800,17,16
Q16-0699,800,3,3
Q17-0756,800,9,9
Q17-0887,800,21,7
Q17-0736,800,2,2
Q17-0766,800,22,21
Q17-0806,800,20,4
Q17-0860,800,12,10
Q17-0721,800,20,14
Q17-0786,800,17,10
Q17-0867,800,8,8
Q17-0817,800,0,0
Q17-0876,800,5,5
Q17-0732,800,0,0
Q17-0829,800,0,0
Q17-0862,800,0,0
Q17-0722,800,0,0
Q17-0755,800,0,0
Q17-0724,800,25,23
Q17-0821,800,0,0
Q17-0853,800,9,8
Q18-0994,800,25,23
Q17-0774,800,7,7
Q17-0791,800,0,0
Q17-0875,800,7,7
Q18-0920,800,0,0
Q18-0954,800,8,6
Q17-0783,800,16,13
Q17-0910,800,20,19
Q18-0970,800,0,0
Q18-1014,800,1,0
Q17-0807,800,6,6
Q17-0878,800,0,0
Q18-1011,800,3,0
Q17-0818,800,0,0
Q17-0855,800,25,24
Q18-0939,800,19,19
Q18-1000,800,6,6
Q17-0886,800,1,0
Q18-0962,800,9,9
Q18-1040,800,16,15
Q17-0846,800,15,15
Q18-1041,800,25,0
Q17-0871,800,1,1
Q18-0940,800,1,0
Q18-0983,800,5,5
Q18-1106,800,24,23
Q18-0925,800,2,2
Q18-0976,800,0,0
Q18-1016,800,1,1
Q18-1110,800,25,25
Q17-0901,800,25,23
Q18-0998,800,0,0
Q18-1071,800,1,0
Q18-1118,800,9,8
Q18-0918,800,5,5
Q18-1035,800,22,22
Q18-1058,800,11,0
Q17-0909,800,0,0
Q18-0944,800,2,2
Q18-1010,800,0,0
Q18-1068,800,24,24
Q18-1102,597,6,6
Q18-0945,800,1,1
Q18-0980,800,13,12
Q18-1027,800,5,5
Q18-1047,800,0,0
Q18-1119,800,5,5
Q19-1188,800,10,9
Q18-0958,800,4,4
Q18-1022,800,1,0
Q18-1080,800,7,6
Q19-1176,800,16,16
Q19-1202,800,11,11
Q18-0955,800,1,1
Q18-1094,800,0,0
Q19-1174,800,1,1
Q18-0985,800,0,0
Q18-1098,800,2,1
Q19-1203,800,45,44
Q19-1244,800,4,3
Q18-1091,800,8,7
Q19-1135,800,0,0
Q19-1171,800,8,8
Q19-1253,564,9,9
Q18-1023,800,17,17
Q18-1057,800,5,5
Q19-1131,800,28,28
Q19-1167,800,7,7
Q19-1255,800,4,4
Q18-1033,800,0,0
Q19-1140,800,25,25
Q19-1168,800,5,3
Q19-1223,800,22,16
Q19-1320,800,2,2
Q18-1123,800,3,3
Q19-1152,328,0,0
Q19-1181,800,0,0
Q19-1243,800,10,10
Q19-1293,800,13,13
Q18-1082,800,4,3
Q19-1148,800,25,23
Q19-1252,800,1,1
Q19-1302,800,10,9
Q19-1325,800,1,1
Q19-1344,800,24,22
Q19-1169,800,0,0
Q19-1247,800,3,3
Q19-1305,800,5,5
Q20-1382,800,2,2
Q18-1115,800,0,0
Q19-1172,800,0,0
Q19-1237,800,3,3
Q19-1309,800,2,2
Q19-1368,800,1,1
Q19-1210,800,0,0
Q19-1257,800,0,0
Q19-1322,800,5,5
Q20-1402,800,0,0
Q19-1154,800,1,1
Q19-1211,800,3,3
Q19-1318,800,0,0
Q20-1414,800,7,6
Q19-1214,800,0,0
Q19-1236,800,0,0
Q19-1279,800,21,19
Q19-1341,800,0,0
Q19-1370,800,2,2
Q20-1427,800,0,0
Q19-1208,800,21,21
Q19-1250,800,0,0
Q19-1311,800,3,3
Q20-1384,800,6,6
Q20-1409,800,11,11
Q20-1433,800,1,1
Q20-1454,800,0,0
Q19-1260,800,0,0
Q19-1359,800,0,0
Q20-1460,800,3,3
Q20-1500,800,34,31
Q19-1258,800,7,6
Q19-1319,800,12,12
Q19-1366,800,0,0
Q20-1399,800,0,0
Q20-1498,800,1,1
Q20-1553,800,0,0
Q19-1290,800,1,1
Q19-1369,800,0,0
Q20-1470,800,5,4
Q20-1514,800,0,0
Q20-1582,800,6,6
Q19-1331,800,0,0
Q20-1390,800,6,6
Q20-1445,800,0,0
Q20-1596,800,3,3
Q19-1333,800,0,0
Q20-1438,800,0,0
Q20-1528,800,12,12
Q20-1566,800,1,1
Q20-1594,800,2,2
Q20-1371,800,4,4
Q20-1430,800,0,0
Q20-1591,800,0,0
Q20-1624,800,3,3
Q19-1347,800,0,0
Q20-1385,800,1,1
Q20-1474,800,26,19
Q20-1578,800,8,8
Q20-1636,800,5,4
Q20-1389,800,0,0
Q20-1466,800,3,3
Q20-1602,800,0,0
Q21-1674,800,0,0
Q20-1394,800,1,1
Q20-1444,800,8,8
Q20-1518,800,0,0
Q20-1593,800,3,3
Q20-1639,800,25,25
Q21-1683,800,3,3
Q20-1452,800,1,1
Q20-1510,800,5,5
Q20-1559,800,0,0
Q21-1646,800,6,6
Q21-1685,800,25,24
Q20-1447,800,2,2
Q20-1469,800,0,0
Q20-1522,800,6,6
Q20-1575,800,11,11
Q21-1669,800,11,9
Q21-1708,800,0,0
Q21-1769,800,0,0
Q20-1517,800,0,0
Q20-1543,800,0,0
Q20-1629,800,42,42
Q21-1713,800,25,24
Q20-1482,800,3,3
Q20-1513,800,0,0
Q20-1585,800,14,14
Q21-1651,800,0,0
Q21-1752,800,3,1
Q21-1786,800,0,0
Q20-1475,800,0,0
Q20-1501,800,6,6
Q20-1573,800,0,0
Q21-1738,800,4,3
Q21-1804,800,0,0
Q20-1516,800,1,1
Q20-1604,800,17,16
Q21-1677,800,2,2
Q21-1720,260,19,19
Q21-1772,800,0,0
Q21-1828,800,0,0
Q20-1598,800,14,14
Q20-1633,800,0,0
Q21-1686,800,3,3
Q21-1853,800,6,5
Q21-1906,800,23,20
Q20-1563,800,0,0
Q20-1632,800,0,0
Q21-1697,800,0,0
Q21-1728,800,2,2
Q21-1756,800,1,1
Q21-1800,800,0,0
Q21-1861,800,4,0
Q21-1918,800,2,2
Q21-1661,800,3,3
Q21-1709,800,3,3
Q21-1838,800,7,6
Q21-1908,800,20,19
Q21-1941,800,16,14
Q22-1977,800,1,1
Q20-1627,800,9,9
Q21-1719,800,6,5
Q21-1790,800,4,4
Q21-1811,800,4,4
Q21-1875,800,1,1
Q21-1917,800,4,3
Q22-1978,800,23,4
Q21-1765,800,6,5
Q21-1849,800,0,0
Q21-1905,800,25,23
Q21-1965,800,2,2
Q21-1654,800,1,1
Q21-1715,800,15,15
Q21-1776,800,2,2
Q21-1866,800,25,23
Q21-1935,800,4,4
Q21-1660,800,1,1
Q21-1724,800,2,1
Q21-1810,800,2,2
Q21-1851,800,10,10
Q21-1910,800,2,2
Q21-1966,800,4,4
Q22-2045,800,1,1
Q22-2078,800,1,1
Q21-1774,800,2,2
Q21-1877,323,6,6
Q22-2020,800,15,14
Q22-2081,800,4,3
Q22-2109,800,15,15
Q21-1722,800,6,6
Q21-1817,800,2,2
Q21-1848,800,25,22
Q21-1914,800,0,0
Q22-1976,800,0,0
Q22-2025,800,3,3
Q22-2074,800,10,10
Q21-1755,800,5,5
Q21-1840,800,1,0
Q21-1901,800,0,0
Q21-1970,800,1,1
Q22-2071,800,6,6
Q22-2099,800,4,4
Q21-1788,800,0,0
Q21-1845,800,9,9
Q21-1894,800,1,1
Q21-1934,800,1,0
Q22-2004,800,0,0
Q22-2143,800,1,1
Q21-1822,800,0,0
Q21-1893,800,10,8
Q22-1993,800,11,10
Q22-2054,800,0,0
Q22-2106,800,1,1
Q22-2191,800,18,18
Q21-1886,800,0,0
Q21-1960,800,0,0
Q22-2000,800,1,1
Q22-2157,800,1,0
Q21-1856,800,5,5
Q21-1929,217,0,0
Q22-2001,800,0,0
Q22-2069,800,10,8
Q22-2122,800,1,1
Q22-2180,800,2,2
Q22-2263,800,8,5
Q22-1998,800,1,1
Q22-2037,800,4,3
Q22-2066,800,0,0
Q22-2151,800,21,21
Q22-2185,800,0,0
Q23-2278,800,18,16
Q22-2006,800,3,3
Q22-2126,800,0,0
Q22-2175,800,14,14
Q22-2236,800,1,1
Q22-2265,800,0,0
Q22-1997,800,2,0
Q22-2087,800,1,0
Q22-2160,800,3,3
Q22-1980,800,2,2
Q22-2057,800,0,0
Q22-2073,800,3,3
Q22-2182,800,0,0
Q22-2210,800,4,4
Q22-2237,800,15,14
Q22-1991,800,0,0
Q22-2033,800,25,25
Q22-2113,800,4,4
Q22-2146,800,0,0
Q22-2200,800,3,3
Q23-2295,800,1,0
Q22-2060,800,3,3
Q22-2103,800,3,3
Q23-2302,800,0,0
Q22-2111,589,0,0
Q22-2203,800,3,3
Q23-2316,800,0,0
Q22-2112,800,0,0
Q22-2198,800,1,1
Q23-2290,800,0,0
Q22-2140,800,6,6
Q22-2238,800,1,1
Q23-2304,800,0,0
Q22-2209,800,0,0
Q23-2336,800,0,0
Q22-2177,800,8,8
Q22-2225,800,8,8
Q22-2256,800,0,0
Q23-2331,800,14,14
Q22-2170,800,0,0
Q22-2250,800,0,0
Q23-2282,800,9,9
Q23-2335,800,0,0
Q22-2195,800,15,15
Q23-2332,800,0,0
Q22-2251,800,0,0
Q23-2320,800,0,0
Q24-2374,800,19,16
Q23-2305,800,25,25
Q23-2362,800,7,7
Q23-2300,800,1,0
Q23-2357,800,9,9
Q24-2398,800,3,1
Q23-2339,800,7,7
Q23-2283,800,2,2
Q23-2312,800,1,1
Q23-2314,800,0,0
Q24-2372,800,25,24
Q24-2392,800,2,2
Q24-2387,800,25,20
Q24-2443,800,22,1
Q23-2342,800,2,2
Q24-2425,800,23,11
