name,fid
BREMERTON - W CROSSVILLE 138 KV,L:5764:5966:138
NESBIT SUBSTATION - SCHOHARIE 345 KV,L:5844:6968:345
INTERNATIONAL PAPER VICKSBURG MILL - DEWEY 138 KV,L:17327:17676:138
W BATESVILLE 100/1 kV TX,X:19917:100:1
LILAC - COLDSPRING 138 KV,L:8571:8577:138
CROZET - CHURCH 138 KV,L:9126:9175:138
LAUREL AVE - YAUCO PLAZA 138 KV Cir. 1,L:5372:5374:138
LAS MONJAS 1416 - BATH COUNTY 138 KV Line 2,L:9196:9654:138
DOLLARHIDE 230-138 kV TX,X:18706:230:138
KINGS - PORTERVILLE 138 KV,L:9508:9509:138
WHIRLPOOL CORPORATION - OTTAWA WIND FARM - DEERFIELD 100 KV,L:19602:20114:100
JANES CREEK - HARPER SUBSTATION 100 KV L,L:21799:21808:100
TOLLGATE SUBSTATION - TRWBRIDGE 138 KV L,L:10358:11099:138
TROWBRIDGE 138/69 kV Auto #1,X:11099:138:69
TROWBRIDGE SUBSTATION 138-69 kV Autotransformer #2,X:11099:138:69
TOWER AUTOMOTIVE - HEGEWISCH 100 KV,L:22958:22963:100
NESBIT - WALLENPAUPACK 345 KV,L:6968:7171:345
LOCUSST SUBSTATION - GREENACRES 138 KV,L:17673:17675:138
DEVILS DEN SUBSTATION - WEST PAINTSVILLE 138 KV,L:17569:17570:138
SURF SUBSTATION - RATCLIFFE 138 KV,L:18165:18174:138
KNOX - AQUALINDA 230 KV,L:18827:19676:230
TUOLUMNE - CIBOLO 138 KV,L:9549:18471:138
ACKLEY - PLUESS 138 KV,L:8824:8832:138
WAUNA - LONE PINE 3 SUBSTATION 100 KV Line 1,L:20994:20997:100
WHIPPANY SUBSTATION - GOLDFIELD 138 KV Line,L:5370:5371:138
ROUND VLY - SWITZERLAND 138 KV,L:5766:5956:138
SAN RAFAEL - DAYTON'S BLUFF 100 KV L,L:20125:20131:100
GRAYLING GENERATING STATION - SWITZERLAND 138 KV,L:5450:5956:138
BLUE RACER - MUSKOGEE 100 KV,L:19348:19350:100
AVE 52 - SUB 18310 138 KV,L:18309:18310:138
IMPERIAL - CHAMBERLIN 230 KV,L:19780:20091:230
MILL CTEEK - SALMON CRK 1 138 KV,L:5840:6707:138
PARK AVE - PLUESS 138 KV,L:8816:8824:138
THALIA - SEMINOLE ELECTRIC COOPERATIVE 138 KV Circuit 1,L:10223:10228:138
LESLIE SUBSTATION - SCOTT ST 138 KV,L:17623:17752:138
SHINROCK - N SHORE BEACH 100 KV,L:19843:19932:100
BRYANT - ROUND VLY 138 KV,L:5766:5777:138
N PT 345 kV/138 kV Auto,X:18299:345:138
CHERAW CASH ROAD - ECOELECTRICA 138 KV L,L:18444:18445:138
CHOLAME - ARMAWALK SUBSTATION 138 KV,L:8217:8218:138
CURRENT CRK - 40TH ST 138 KV,L:17616:18607:138
ALPLA CARIBE SUBSTATION - HOWARD 138 KV Line,L:8812:8825:138
FAYETTE PLANT 2 - THALIA 138 KV Line,L:10222:10223:138
KIRBY - JAMACHA TAP 138 KV,L:2650:5199:138
BULAN - HAZARD 138 KV Circuit 1,L:17592:17593:138
MCMINNVILLE - KELIM SUBSTATION 138 KV Line,L:9383:9385:138
WILLOWBROOK - NEW HVEN HARBOR 138 KV,L:17657:17659:138
CONCORD - UNIVERSITY 230 KV #1,L:22022:22032:230
EAGLE EYE - BRIGATANO 100 KV,L:19733:19753:100
HILLCREST SOLAR - JAMACHA TAP 138 KV,L:5162:5199:138
HAZARD - WEST ADAMSVILLE 138 KV line,L:17593:17770:138
MOREAU - ROSE HILL 100 KV,L:21764:21784:100
BELLINGHAM COGENERATION FACILITY 500-345 kV Autotransformer,X:8204:500:345
NAVY-1 - BARATARIA 138 KV L,L:18327:18328:138
BIG STONE S - POMERADO 138 KV L,L:8436:8866:138
CENTERVILLE SW - FROSTKRAFT 100 KV L,L:19595:19623:100
MCKAMY - GROTTOES 138 KV,L:9180:9438:138
ELLIS HYDRO - VERONA 138 KV,L:9188:9190:138
CLEVELAND THERMAL - ANETH 100 KV,L:19771:20279:100
JONESBORO SPA - WISSOTA SUBSTATION 138 KV,L:8734:8749:138
MANIS RD - NICKAJACK DAM 138 KV,L:17620:17621:138
MODEL CITY ENEGY FACILITY - WAGLEY ROBERTSON 100 KV line,L:18737:18843:100
WAUNA - DELTONA 100 KV,L:20994:22597:100
CALIFORNIA AVE SUBSTATION - WALNUT CITY 100 KV #2,L:19199:19204:100
RIDGELEY 345-138 kV TX,X:18394:345:138
EASTERN-MARCONI - CHANNEL ISLAND 138 KV Line,L:6194:6739:138
TELKWA - RATHDRUM 100 KV,L:20127:20128:100
RUBICON - HUNTERS PT 138 KV,L:8456:8817:138
INVENERGY NELSON EXPANSION LLC - VINELAND 100 KV L,L:23333:23338:100
BERGEN - HVDC B2B STATION HUDSON 161 KV,L:2634:2940:161
W MEDINA - RYAN 100 KV,L:19957:19958:100
CARMEL HILL - WOODBURN 100 KV Line,L:21807:21812:100
SHAWBORO - HUNTINGDON DISTRICT 100 KV,L:22025:22028:100
NAPAVINE - MURPHY 138 KV line,L:17947:17959:138
FIRSTENERGY FT MARTIN POWER STATION - HASSAYAMPA TAP 345 KV line,L:18688:18699:345
KEYSTONE HTS ELECTRICAL - LAKE CATHERINE 100 KV,L:20061:20281:100
S. MACON 138 kV/1 kV Auto,X:2921:138:1
PLASTER - CHEROKEE COUNTY COGEN 100 KV,L:19270:19271:100
HUNTINGDON DISTRICT - LEHMA 100 KV,L:22027:22028:100
BELLOWS FALLS - GODPASTURE 100 KV L,L:19804:19963:100
WESTHAVEN - VIADUCT AVENUE 138 KV L,L:8417:8513:138
JEFFERIES STATION - DARBY 138 KV line,L:5361:5792:138
GILSTRAP - CALERA T.S 100 KV Line 2,L:19941:19943:100
RUBICON - GRANT HILL 138 KV,L:8456:8511:138
USSC - ROTARY PARK 138 KV,L:6020:8620:138
SUB 20105 - MT. VERNON 100 KV,L:20098:20105:100
WHITEHURST - OLIVER DAM 138 KV L,L:8614:8632:138
WOLF CREEK GENERATOR - W CALDWELL 138 KV,L:5771:5793:138
HAMILTON PEAKING - HARMON 100 KV L,L:18799:19591:100
WESTGATE - VISCHER FERRY 100 KV L,L:21749:21751:100
PAUL D. JOHNSON 230-100 kV Autotransformer,X:24080:230:100
TOMBALL - ROCK ISLAND 100 KV line,L:18837:19385:100
REC BRADFORD - LONGVIEW 100 KV,L:18945:18946:100
TONASKET - MULDOON MILL 100 KV,L:21788:21792:100
HILLCREST SOLAR - NEW MILFORD 138 KV L,L:5162:5168:138
MINTOSH - WEST MEDINA 100 KV,L:19955:19957:100
RIVERSIDE GA - RBBINS COMMUNITY POWER LLC 100 KV Circuit 2,L:22946:23473:100
UNION RIDGE - WAUNETA 100 KV,L:18955:18959:100
BLUE RACER - ARCO WESTERN ENERGY 100 KV,L:19348:19349:100
Mooe St - Urich Tap Substation 138 kV Line 1,L:10034:10049:138
Van Buren - Abilene Maple St 138 kV #1,L:6637:6651:138
119Th Street - Kleen 138 kV Cir. 1,L:7914:8241:138
Tucannon River - Plant Avenue 138 kV,L:8516:8791:138
Gaucho - Cagnon Rd 100 kV Line 1,L:19039:19332:100
Bowes - Glenns Ferry 100 kV Cir. 1,L:19391:19441:100
Austin - 7Th St 138 kV Circuit 2,L:8519:8547:138
Strahan - Adair Substation 138 kV Cir. 1,L:5301:6877:138
Graphic Packaging - Dow St Chrles Operations 100 kV Ckt 1,L:21203:21738:100
Bulan - Hazard 138 kV Ckt 1,L:17592:17593:138
N Park - Sugarcreek 100 kV,L:19054:19059:100
Lucas - Iona 100 kV #1,L:19425:19426:100
Tahoe City - Main St Substation 138 kV Line 1,L:17927:18295:138
Golden Vly Substation - Alum Ridge 100 kV Circuit 1,L:20067:20120:100
Mcewen Substation - Stephentown 100 kV Circuit 1,L:18741:19625:100
Camuy 7601 - Western Digital 138 kV Circuit 1,L:18105:18115:138
Michigamme Falls Hy - Scanlon 138 kV #1,L:7178:7218:138
Dixon Tap - Hamilton Pa 138 kV Circuit 1,L:6033:7115:138
Rhode Island State Energy Ctr - Waldwick 138 kV Line 1,L:5172:5188:138
Morganville - Polson 100 kV Line 1,L:22831:22836:100
Benndale - Pirkey Substation 138 kV #2,L:5981:5988:138
Mtu - Garrott 138 kV Cir. 1,L:16959:17445:138
Sulphur Springs - Bengies 138 kV Circuit 1,L:8525:9094:138
Rittenhouse - Sun City 138 kV,L:5494:6188:138
Akron - Overlook 100 kV Circuit 1,L:19174:19568:100
Lockport - Putts Bridge 100 kV Cir. 1,L:23169:23170:100
Northern Steel Casing Substation - Philip Morris 138 kV Line 1,L:10137:10274:138
Rodeo - Sepluveda 100 kV Circuit 1,L:20238:20239:100
Foreman North - Belridge 1A 100 kV Cir. 1,L:23283:23474:100
Beardsley Tap Substation - Jamestown 138 kV,L:5557:5563:138
Cahullia - Canas Tc 100 kV,L:20142:20148:100
Lake Geneva - Eastlake Sta 100 kV,L:19792:19793:100
Clarendon - Radnor Heights 138 kV Cir. 1,L:8693:9688:138
Norris City N - 4602 Coamo 138 kV Ckt 1,L:10077:10078:138
Fourth Branch Hydroelectric Facility - 30Th Ave 100 kV #1,L:18882:19237:100
Mohave Electric - Nasa 138 kV,L:8929:8953:138
Sun Prairie Substation - Canreed 100 kV Line 1,L:22872:22930:100
Southgate - Lsu 345 kV Cir. 1,L:8148:8286:345
Queen City - Sunset Lae 138 kV Circuit 1,L:8319:8352:138
Gordonsville - Gordonsville Energy Lp 138 kV Circuit 1,L:9130:9131:138
Sollers Warf - Port Wing 138 kV Circuit 1,L:8594:8726:138
Jerusalem - Willow Lawn 138 kV,L:7217:7382:138
Pratt 2 Substation - Gibson 138 kV Circuit 1,L:7881:7920:138
Tunnel - Mogan 138 kV Ckt 1,L:6943:6946:138
John Sevier Substation - N Ublin 345 kV Cir. 1,L:9625:16877:345
Hiawatha Ese - Tunica 100 kV Line 1,L:19393:19585:100
Hilltop 230115Kv - Surry 138 kV line,L:10295:10305:138
Santee - Morrison 138 kV,L:10024:10025:138
Verdant - De Solar 1725 Drywall Dr 138 kV #1,L:9197:9198:138
Rittenhouse Tap 2 - Factor 1 8011 100 kV #1,L:22590:22594:100
J K Smith - Crabb Riv Road 138 kV Ckt 1,L:17721:17835:138
Avena Tap 2 - Burleson 100 kV Circuit 1,L:18935:19189:100
Hermanas Davila 1705 - Miners 138 kV Line 1,L:9168:9195:138
Cypress-Manzanita - Brush 100 kV Ckt 1,L:19726:19820:100
Jim Creek - Big Creek 1 138 kV Circuit 1,L:9786:9788:138
Peosta - Mile-Hi 100 kV,L:23297:23346:100
Trego - Angle Lake 138 kV Line 1,L:8399:18448:138
Hard Rock - Reiner Road 138 kV #1,L:9113:9129:138
Poplar Bluff Generating Sta - Evergreen Park 230 kV Line,L:22962:23053:230
West Austintown - Thomaston 230 kV Cir. 1,L:19696:20033:230
Derwood - Kenlworth 138 kV,L:8852:8881:138
Woodville - Napoleonville 138 kV Circuit 1,L:7368:7375:138
Jim Chrisal - Poplar Bluff Generating Station 230 kV Line,L:22951:22962:230
Wall St - Firstenergy W H Sammis 100 kV #1,L:19306:19589:100
Hartley - Raphael Road 138 kV Circuit 1,L:8538:8542:138
Westmoreland N - Moorepark 138 kV Line,L:18040:18049:138
Rosenberg Substation - Radfords Run Wind Farm 100 kV Cir. 1,L:18909:19278:100
Carrcroft - Silver Side Road 138 kV,L:8342:8388:138
Comox Substation - Orted 138 kV,L:10219:10225:138
Calderwood - Bertram 100 kV #1,L:19175:19182:100
Galloway Substation - Iron Bridge 138 kV Circuit 1,L:7878:7905:138
Norway - Wintun 100 kV line,L:19815:19880:100
Reenergy Ashland Substation - Mcclain Energy Facility 138 kV #1,L:8061:8062:138
Waymart Wind - Klondike 138 kV,L:7034:7035:138
Austrop - Killen 100 kV Circuit 1,L:19530:19540:100
Bedford 2 - Saugus 100 kV #1,L:19968:20076:100
Loma Vista - Cedar Hill 100 kV Cir. 1,L:18839:18862:100
Hale - Everglades City 100 kV Circuit 2,L:17154:19262:100
Parr Gt - St Croix Falls 100 kV line,L:20020:20025:100
Newark - Jonesboro 100 kV Circuit 1,L:19698:20014:100
Belleville - Cook Rd 138 kV Circuit 1,L:5366:5392:138
Corners - Idalia 345 kV Line 1,L:10070:10291:345
Portuguez - Sanford 138 kV line,L:7853:7856:138
Blue Ridge - Desmet 138 kV,L:9225:9227:138
Craggy - Hoytdale 138 kV Line 1,L:7459:7461:138
Aes Columbia Power - Western Fher 230 kV L,L:7764:19648:230
Mulberry Substation - Dixon Hydroelectric Dam 100 kV Circuit 1,L:23334:23517:100
Paul Sweet - Allings Crossing 138 kV,L:17735:17736:138
Avera - Tillman 100 kV Ckt 1,L:19113:19466:100
Floral Park - New Madrid 100 kV Ckt 2,L:23115:23116:100
Round Rock S - Johnsonburg Mill 138 kV Line,L:7694:7800:138
Rotary Park - Cape Canaveral Substation 138 kV,L:6020:6022:138
Round Rock - Kenzig 100 kV,L:18008:19150:100
Thayer - Youngwood 500 kV Ckt 1,L:7233:8220:500
Nelson - Norway 100 kV Circuit 1,L:19732:19815:100
Alamogordo Solar Energy Ctr - Wites Crk 138 kV Circuit 1,L:18559:18605:138
Amco - Covington 138 kV Line 1,L:8118:8123:138
Bayard - Taftsville 138 kV Ckt 1,L:8379:8392:138
Occoquan - Covanta Fairfax Energy 138 kV #1,L:9913:10159:138
River Mill - Arbors 100 kV Cir. 2,L:22325:23027:100
S Dakota Wind Energy Cente - Northadams 100 kV,L:19659:19926:100
South Hall - Deep Springs 100 kV Circuit 1,L:23302:23310:100
Huntersville Delivery No 2 - Mount Olive 138 kV Circuit 1,L:16969:17313:138
Fruit Industries - Marks 100 kV Cir. 1,L:22901:22925:100
Higgins - Bergen Generating Station 138 kV Line,L:5474:5994:138
Uc Davis - Woodrng 138 kV,L:5478:5948:138
Grand Ronde - Glenshire 138 kV Circuit 1,L:18558:18604:138
Arden Hills - Cheyene 100 kV Cir. 1,L:21778:21790:100
Warm Springs - Boyer 138 kV Line 1,L:6597:6609:138
W Receiving Substation - Auld 138 kV Circuit 1,L:6008:6012:138
Melones - Nine Mile Crk 138 kV #1,L:9325:9328:138
Buxmot - Worthington 138 kV,L:6183:6202:138
Trask - Loving S 138 kV Cir. 1,L:9971:9986:138
Saylor - Lower Ollala 138 kV Line 1,L:7846:7847:138
Cushman - Fowler 138 kV Ckt 1,L:5519:5808:138
Running Springs - Lakeside 138 kV,L:9983:9987:138
Ankeny - Boykins 100 kV Line 1,L:23205:23339:100
Crystal Mountain Generation - Lodi Stig 100 kV Line 1,L:19858:19866:100
Twin Lakes - Holt Switch 100 kV Circuit 1,L:19298:19299:100
S Summitville Substation - Nash Substation 138 kV Cir. 1,L:18275:18276:138
S Scottsvile - Mulberry 100 kV L,L:23331:23334:100
Rec Newark - St. Lawrence 100 kV #1,L:18981:19346:100
Korona - E Clearwater Subdivsion 100 kV Ckt 1,L:23384:23386:100
Winton - Crestbrook 138 kV #1,L:8793:8798:138
Watertown - Armstrong 138 kV #1,L:7437:8291:138
Tewksbury - Avon Lake 100 kV Line,L:19936:20260:100
Sidney - Wagley Robertson 100 kV,L:18843:19570:100
Wadsworth Substation - Ebroad Street 100 kV Line 1,L:19034:19072:100
Suter Substation - Ce Turbo 100 kV Cir. 1,L:23466:23501:100
Green Bluff - Deep Springs 100 kV Circuit 2,L:22818:23310:100
Medicine Lake - Hamilton Hydro 100 kV L,L:18794:18805:100
North Canaan - Swinks Mill 138 kV Cir. 2,L:8844:9718:138
Myrle - Suffolk 138 kV,L:10203:10207:138
Shiloh - Lebanon 138 kV Line 1,L:9565:9566:138
S Jefferson - East Proctorville 138 kV Cir. 1,L:18003:18004:138
Eastlake Station - White 100 kV #1,L:19793:19918:100
Rio Pecos - Lockheed 2 Tap 138 kV #1,L:18103:18120:138
Camp Far West - Roy 500 kV,L:5704:5819:500
Thomas Substation - Wps Power Niagaa 100 kV Line 1,L:18780:18879:100
Artesin - Gill 138 kV,L:18133:18449:138
Bridge - Riverview Substation 138 kV,L:9900:10164:138
University Of Florida - Taftsville 138 kV #1,L:8381:8392:138
Brigatano - Jm Manufacturing 100 kV L,L:19753:20285:100
Sub 18936 - Arabi 100 kV Ckt 1,L:18936:19505:100
Lake Platte - Indian 138 kV Circuit 1,L:8663:8680:138
Powersville Road - Packard 138 kV Line 1,L:7686:7688:138
Short Pump - Denny Terrace 138 kV,L:9946:10276:138
Harrisburg Facility - Woodmont 138 kV line,L:6396:6405:138
Universiity - Meadow Lake Wind Farm Llc 138 kV L,L:9282:9466:138
Viscount - Bridgewater Substation 100 kV,L:19228:19229:100
Northside - Njt Meadowlands Rail Substaion 138 kV Line 1,L:5448:5910:138
Pearsall Power Plant - Hoosier Fairview 138 kV Circuit 1,L:9334:9379:138
Grimley Rd - Adams St 100 kV #1,L:22013:22037:100
Sta L Scattergood - Frederic Diesel 345 kV #1,L:7880:8221:345
Beardsley St Substation - Alessandro 138 kV line,L:5581:5911:138
Gibson - Pratt 2 138 kV Circuit 1,L:7881:7920:138
Sugacreek Substation - Allatoona 100 kV Line 2,L:18995:19054:100
S Milford - Wolverine Creek 230 kV Circuit 1,L:18687:19524:230
Warrenville - Prager 100 kV Cir. 1,L:23142:23183:100
Astoria Generating Station - M105 138 kV,L:9376:9447:138
Springhill - Shell Chemical 138 kV Cir. 1,L:6681:7022:138
Engle-Eastern Tap - Dranesville 345 kV,L:8847:9896:345
Tipton - Shadow 138 kV Cir. 1,L:5158:5329:138
Mouton - Palm 138 kV Circuit 1,L:6126:6127:138
Sagola - Archibald 138 kV #1,L:7366:8188:138
Lansing Bwl Reo Town Plant - Badoura 11534 Kv 138 kV line,L:17924:18250:138
Ss3142 - Ralston Tap 138 kV #1,L:9240:9245:138
Nssau - Railroad 138 kV Ckt 1,L:5696:5714:138
E Liverpool - Portrero Substation 138 kV #1,L:7467:18147:138
Southpac - Bridgehampton 100 kV Ckt 1,L:19265:19267:100
Edward L. Addison Generating Plant Substation - Egle Mtn 138 kV Line 1,L:5495:6148:138
Hollis - West Bellaire 230 kV #1,L:18750:18757:230
F B Culley - Rockingham 100 kV Cir. 1,L:19187:19195:100
Mccullough - Short Hills 138 kV #1,L:9569:16816:138
Lewis River - Bandhead 138 kV line,L:9244:9640:138
Trigen St. Louis - Lake Lure Substation 230 kV,L:19865:20298:230
Darby - Jefferies Station 138 kV Circuit 1,L:5361:5792:138
Treat - Chamberlin 230 kV #1,L:19816:20091:230
Sjve Madera - Mammoth Pacific 2 138 kV,L:5850:5851:138
Woodside - Centro Judicial 138 kV Cir. 1,L:5732:5735:138
Elkhorn City - Multitrade Of Pittsylvania Lp 138 kV #1,L:6076:6095:138
Huston - Pittsburg 100 kV Ckt 1,L:18710:18716:100
Salinas - Leesburg Central 100 kV Ckt 1,L:19992:21397:100
Jim Chrisal - Drummond 100 kV Ckt 2,L:22951:22960:100
P.T.S - Northwood Cust 138 kV Line 1,L:18496:18511:138
Wommack - Progress Energy Clermont 100 kV,L:22868:23518:100
Fairlawn - American Crystal Sugar Drayton 138 kV Circuit 1,L:7577:8157:138
Carbon Limestone - Fondo Del Seguro Del Estado 138 kV #1,L:8045:8074:138
Frackville - Epsy 138 kV L,L:6981:6987:138
Baja Tap - Oaklad D 100 kV Ckt 1,L:23064:23066:100
Wards Hollow - Lansing Bwl Reo Town Plant Substation 138 kV Cir. 1,L:18228:18250:138
Sunderland Substation - K St 138 kV Ckt 1,L:8590:8593:138
Interchange - Complejo De Aguirre 230 138 kV #1,L:17215:17218:138
Rochester Hydro - Limon Wind 1 100 kV Cir. 1,L:18789:19202:100
Certainteed - Hanging Rock 230 kV Ckt 1,L:19494:19548:230
Cogentrix - Clay Crk 138 kV Circuit 1,L:10001:10134:138
N Marion - Limerick 2 138 kV #1,L:6237:7126:138
Edgeley - S Randolph 138 kV Line 1,L:18097:18160:138
Juniata - Cully 138 kV Cir. 1,L:6836:6838:138
S Fifth St - Hanson 138 kV L,L:7759:7852:138
Barton - Spillway 138 kV Ckt 1,L:7344:7348:138
Lowndes - Rosholt 138 kV Circuit 1,L:8008:8009:138
Mountlaurel - Coffee Port 345 kV,L:5237:5306:345
Alleghany - Martha Lake 230 kV Line 1,L:19900:20133:230
El Cerrito Sta G - Ucsd 138 kV L,L:8794:8802:138
Moorcroft - Waterloo Hydroelectric Project 100 kV,L:19888:19931:100
Killen - Great Lakes Substation 500 kV,L:19288:19540:500
