project_id,publication_date,n_findings,n_fid_resolved,total_cost_usd,xy_idx
AF1-149,2020-08-28,7,0,384575.0,
AF1-159,2020-03-06,0,0,,
AF1-164,2020-08-31,0,0,3544000.0,
AF1-167,2020-08-29,1,0,412067.0,
AF1-180,2020-01-30,0,0,0.0,
AF1-185,2020-01-31,0,0,0.0,
AF1-196,2020-01-31,0,0,0.0,
AF1-203,2020-08-28,3,0,350000.0,
AF1-212,2020-08-26,0,0,1126100.0,
AF1-219,2020-08-31,1,0,4250000.0,
AF1-222,2020-08-27,25,6,141500.0,
AF1-238 - moved to TC1,2020-08-31,25,1,0.0,
AF1-245,2020-08-31,1,0,5780000.0,
AF1-258,2020-08-31,0,0,0.0,
AF1-264,2020-05-06,0,0,0.0,
AF1-291,2020-01-24,0,0,25000.0,
AF1-292,2020-08-25,5,0,0.0,
AF1-294 - moved to TC1,2020-08-21,18,4,8800000.0,
AF1-305,2020-08-28,0,0,10750300.0,
AF1-311,2020-08-28,6,0,2591000.0,
AF1-324,2020-01-23,0,0,1679700.0,
AF1-337,2020-08-18,0,0,0.0,
AF2-006,2021-02-23,1,0,1228400.0,
AF2-010 - moved to TC1,2021-03-02,19,0,62191000.0,
AF2-032,2021-03-04,1,0,5000000.0,
AF2-037 - moved to TC1,2021-02-19,8,1,10400000.0,
AF2-045,2020-07-28,0,0,0.0,
AF2-054,2021-02-24,3,0,840000.0,
AF2-059,2021-02-23,0,0,45000.0,
AF2-068 - moved to TC1,2021-03-02,10,0,2593000.0,
AF2-082,2021-03-01,0,0,1555400.0,
AF2-083,2022-02-18,1,0,7842000.0,
AF2-088,2021-02-24,0,0,0.0,
AF2-107,2021-02-25,4,0,9061000.0,
AF2-115 - moved to TC1,2021-03-02,10,2,1708558.0,
AF2-125,2021-03-04,0,0,45000.0,
AF2-133,2021-03-04,0,0,1082000.0,
AF2-134,2021-03-04,0,0,45000.0,
AF2-143 - moved to TC1,2021-04-23,0,0,200000.0,
