project_id,publication_date,section,facility_str,bus_from,bus_to,ckt,name_pair,fid,fid_confidence,in_public_layer,loading_pct,pre_loading_pct,rating_mva,dfax_pct,contrib_mw,contingency_str
AC1-055,2017-11-13,prior_overloads,01GLENFL-01OAKMND 138 kV,235334,235380,1,01GLENFL|01OAKMND,L:777:812:138,0.92,False,136.67,129.76,192.0,,13.32,line fault with failed breaker contingency outage of 'C2-MP-138-025'
AC1-055,2017-11-13,prior_overloads,01GLENFL-01OAKMND 138 kV,235334,235380,1,01GLENFL|01OAKMND,L:777:812:138,0.92,False,116.79,112.7,192.0,,7.83,tower line contingency outage of 'C5-MP-138-015'
AC1-055,2017-11-13,prior_overloads,01GLENFL-01OAKMND 138 kV,235334,235380,1,01GLENFL|01OAKMND,L:777:812:138,0.92,False,106.55,100.87,192.0,,10.84,tower line contingency outage of 'C5-MP-138-011'
AC1-055,2017-11-13,prior_overloads,01GLENFL-01OAKMND 138 kV,235334,235380,1,01GLENFL|01OAKMND,L:777:812:138,0.92,False,104.16,100.55,192.0,,6.88,single line contingency outage of 'B2-MP-138-023'
AC1-068,2018-10-16,generator_deliverability,% 09ADKINS-05BEATTY 345 kV 1 Non Non DAY - AEP line,253110,243453,1,09ADKINS|05BEATTY,L:37619:56827:345,0.996612737288994,True,95.63,94.11,1233.0,,18.32,
AC1-074,2020-11-16,prior_overloads,% 363_B2_T LGEE - 7TRIMBLE-06CLIFTY 149.4 149.7 N-1 OR1682 OVEC 345 kV line,324114,248000,1,B2_T LGEE|7TRIMBLE,,0.0,False,149.7,149.4,1370.0,,4.9,
AC1-074,2020-11-16,prior_overloads,P7-1..C5 4541MELD AHLSPRL CKSTUAR TSPURLO EKPC - 4SPUR-KENT-R- 100.4 4 DCTL CKDPLEK LGEE 4KENTON 138 kV line,342661,324267,1,TSPURLO EKPC|4SPUR,,0.0,False,101.9,100.4,281.0,,4.68,
AC1-074,2020-11-16,prior_overloads,4 P7-1..C5 4541MELD AHLSPRL CKSTUAR TSPURLO EKPC - 4SPURLOCK-4SPUR- 100.4 101.8 5 DCTL CKDPLEK EKPC KENT-R 138 kV line,342664,342661,1,TSPURLO EKPC|4SPURLOCK,,0.0,False,101.8,100.4,281.0,,4.68,
AC1-094,2019-12-24,prior_overloads,MILF_230-STEELE 230 kV,232004,232000,1,MILF_230|STEELE,,0.0,False,102.21,100.39,551.0,,10.576,tower line contingency outage of 'DBL_4NC'
AC1-094,2019-12-24,prior_overloads,AB2-135 TAP-CHURC_69 69 kV,924820,232203,1,TAP|CHURC_69,,0.0,False,117.84,115.43,93.0,,2.34,tower line contingency outage of 'DBL_4NC'
AC1-132 4841993,2017-11-01,prior_overloads,3BTLEBRO-3ROCKYMT115T 115 kV,314554,304223,1,3BTLEBRO|3ROCKYMT115T,,0.0,False,156.84,151.52,164.0,,8.97,tower line contingency outage of 'LN 2058-2181'
AC1-161,2020-06-16,generator_deliverability,% DVP - 8CHCKAHM-8ELMONT N-1 LN 576 DVP 500 kV line,314903,314908,1,8CHCKAHM|8ELMONT N,L:31616:32812:500,0.8992051824321114,True,97.94,95.52,2442.0,,59.82,
AC1-161,2020-06-16,prior_overloads,% . DVP - 6SKIFF CREEK-6KINGS 5 N-1 LN 557 DVP M 230 kV line,314209,314386,1,6SKIFF CREEK|6KINGS,,0.0,False,118.42,115.27,442.0,,14.15,
AC1-161,2020-06-16,prior_overloads,4 DVP - 6PENNIMAN-6WALR209 6 N-1 LN 557 DVP 230 kV line,314296,314415,1,6PENNIMAN|6WALR209,L:6052:6054:230,0.8540098695024319,True,106.37,103.23,442.0,,14.15,
AC1-161,2020-06-16,prior_overloads,5 DVP - 6KINGS M-6PENNIMAN 7 N-1 LN 557 DVP 230 kV line,314386,314296,1,6KINGS M|6PENNIMAN,L:6052:33220:230,0.8774028402117814,False,110.21,107.06,442.0,,14.15,
AC1-161,2020-06-16,prior_overloads,6 DVP - 8CHANCE-8BRISTER 500 8 N-1 LN 594 DVP kV line,314905,314900,1,8CHANCE|8BRISTER,,0.8658745640490779,False,106.14,105.03,2442.0,,31.89,
AC1-161,2020-06-16,prior_overloads,DVP - 8ELMONT-8LDYSMTH 10 N-1 LN 576 DVP 500 kV line,314908,314911,1,8ELMONT|8LDYSMTH,L:7437:31616:500,0.8992051824321114,False,126.84,124.95,2442.0,,53.83,
AC1-161,2020-06-16,prior_overloads,76.78 % . DVP - 8ELMONT-8LDYSMTH 14 LFFB 563T576 DVP 500 kV line 314908 314911 1 AC 101.9 103.86 3351 76.81 DVP - 8LDYSMTH-8POSSUM 15 N-1 LN 594 DVP 500 kV line,314911,314922,1,8ELMONT|8LDYSMTH,L:7437:31616:500,0.8992051824321114,False,101.25,100.27,2442.0,,27.77,
AC1-163,2017-12-12,generator_deliverability,% . DVP - AB2-100 TAP-6CLUBHSE 1 N-1 LN 246_A,924510,314563,1,TAP|6CLUBHSE,,0.0,False,100.57,99.91,375.0,,2.51,
AC1-163,2017-12-12,prior_overloads,% 3BTLEBRO- LN 2058- DVP - 2 DCTL 3ROCKYMT115T 115 kV,314554,304223,1,3BTLEBRO|3ROCKYMT115T,,0.0,False,157.85,156.84,164.0,,1.7,
AC1-220,2017-12-08,prior_overloads,MIDLTNTP-MT PLSNT 138 kV,232106,232104,1,MIDLTNTP|MT PLSNT,L:31820:33140:138,0.8858892577737711,False,103.49,100.85,348.0,,10.12,tower line contingency outage of 'DBL_4NC'
AC1-220,2017-12-08,prior_overloads,TOWNSEND-MIDLTNTP 138 kV,232107,232106,1,TOWNSEND|MIDLTNTP,L:16002:33140:138,0.8858892577737711,False,113.81,111.18,348.0,,10.12,tower line contingency outage of 'DBL_4NC'
AC2-141,2021-07-02,generator_deliverability,% LN DVP - 8CHANCE-8BRISTER 1 N-1 594 DVP 500 kV line,314905,314900,1,8CHANCE|8BRISTER,L:31655:33197:500,0.8658745640490779,False,99.66,98.55,2442.0,,31.85,
AC2-141,2021-07-02,prior_overloads,% 8ELMONT- LN DVP - 8LDYSMTH 500 kV 2 N-1 576 DVP line,314908,314911,1,8ELMONT|8LDYSMTH,L:7437:31616:500,0.8992051824321114,False,,,2442.0,,53.77,
AD1-031,2021-09-24,prior_overloads,% CE - HENNEEPIN; T- COMED_P4_001- MISO 4HENNEPIN S 138 1 LFFB 38-TR81___ AMIL kV line,271655,348918,1,COMED_P4_001|MISO,,0.0,False,146.62,143.14,160.0,,6.01,
AD1-069,2018-10-08,prior_overloads,01ALLENP-01CHARLR 138 kV,235135,235161,1,01ALLENP|01CHARLR,L:13654:31726:138,0.9174867679359234,True,119.78,112.09,179.0,,13.77,tower line contingency outage of 'AP-P7- 1-WPP-138-80'
AD1-069,2018-10-08,prior_overloads,01ALLENP-01CHARLR 138 kV,235135,235161,1,01ALLENP|01CHARLR,L:13654:31726:138,0.9174867679359234,True,118.83,111.14,179.0,,13.77,tower line contingency outage of 'AP-P7-1-WPP-138-78'
AD1-069,2018-10-08,prior_overloads,01YUKON-01SMTH62 138 kV,235277,235252,1,01YUKON|01SMTH62,L:13655:31671:138,0.8783686603429988,False,102.35,101.62,376.0,,6.1,line fault with failed breaker contingency outage of 'AP-P2-3-WP-138-204'
AD1-069,2018-10-08,prior_overloads,01YUKON-01SMTH62 138 kV,235277,235252,1,01YUKON|01SMTH62,L:13655:31671:138,0.8783686603429988,False,102.19,101.45,376.0,,6.1,bus fault outage of 'AP-P2-2-WP-138-019'
AD1-074,2023-01-25,generator_deliverability,% 1 N-1 DVP_P1-2: LN 2181 DVP - CPLE 6MORNSTR-6ROCKYMT230T 230 kV line,313845,304222,1,6MORNSTR|6ROCKYMT230T,,0.0,False,100.26,92.81,374.0,,28.43,
AD1-074,2023-01-25,prior_overloads,Overl Circui Flowgat oad t % Contributio e Numb Typ MV n Appendi er e A x 6MORNSTR-6ROCKYMT230T 230 kV 6 DCTL DVP_P7-1: LN 81-2056 DVP - CPLE line,313845,304222,1,6MORNSTR|6ROCKYMT230T,,0.0,False,135.42,125.64,374.0,,43.04,
AD1-100,2022-05-27,multiple_facility,% BRAIDWOOD; B- BRAIDWOOD; R 345 kV 1 LFFB ADD AD1-100 5 CE - CE line,270670,270671,1,,,0.0,False,107.26,82.05,1341.0,,342.8,
AD1-100,2022-05-27,multiple_facility,1 AD1-100 TAP- BRAIDWOOD; B 345 kV 2 LFFB ADD AD1-100 5 CE - CE line,934730,270670,1,TAP|BRAIDWOOD,,0.0,False,128.83,86.59,1341.0,,591.2,
AD1-100,2022-05-27,prior_overloads,% AEP_P4_#2978_0 MISO NIPS 17STILLWELL- 3 LFFB 5DUMONT 765 - AEP 05DUMONT 345 kV line,255113,243219,1,,,0.0,False,108.11,100.31,1409.0,,128.38,
AD1-100,2022-05-27,prior_overloads,3 AEP_P4_#3128_0 MISO AMIL 7CASEY-05SULLIVAN 4 LFFB 5EUGENE 345 - AEP 345 kV line,346809,247712,1,7CASEY|05SULLIVAN,,0.0,False,125.68,122.81,1466.0,,48.55,
AD1-119,2020-12-30,multiple_facility,02RICHLD-02NAOMI 138 kV,239070,238521,1,02RICHLD|02NAOMI,,0.0,False,103.08,99.83,194.0,,3.26,line fault with failed breaker contingency outage of 'ATSI-P2-3-TE-138-005T'
AD1-119,2020-12-30,prior_overloads,02RICHLD-02NAOMI 138 kV,239070,238521,1,02RICHLD|02NAOMI,,0.0,False,106.91,103.66,194.0,,3.26,line fault with failed breaker contingency outage of 'ATSI-P2-4-TE-138-002T'
AD1-119,2020-12-30,prior_overloads,02RICHLD-02NAOMI 138 kV,239070,238521,1,02RICHLD|02NAOMI,,0.0,False,106.64,103.4,194.0,,3.26,bus fault outage of 'ATSI-P2-2-TE-138-003T'
AD2-055,2021-04-21,prior_overloads,01KARNS-01BUTLE,23519,23515,1,01KARNS|01BUTLE,L:13415:31705:138,0.8673643666821317,True,110.86,110.26,179.0,,1.97,ATSI-
AD2-090,2019-12-31,generator_deliverability,% 1 N-1 DVP_P1-2: LN 2056-A DVP - DVP 3COX DP-3CHESTNUT 115 kV line,314577,313719,1,3COX DP|3CHESTNUT,,0.0,False,100.61,98.66,134.0,,2.63,
AD2-090,2019-12-31,generator_deliverability,1 2 N-1 DVP_P1-2: LN 130-A DVP - DVP AB2-100 TAP-6CLUBHSE 230 kV line,924510,314563,1,TAP|6CLUBHSE,,0.0,False,100.48,99.29,375.0,,4.61,
AD2-090,2019-12-31,prior_overloads,% 3 N-1 DVP_P1-2: LN 2056-A DVP - DVP 3CHESTNUT-3WITAKRS 115 kV line,313719,314623,1,3CHESTNUT|3WITAKRS,,0.0,False,133.71,131.78,134.0,,2.62,
AD2-090,2019-12-31,prior_overloads,5 DCTL DVP_P7-1: LN 81-2056 DVP - CPLE 6MORNSTR-6ROCKYMT230T 230 kV line,313845,304222,1,6MORNSTR|6ROCKYMT230T,,0.0,False,155.71,154.38,374.0,,6.03,
AD2-090,2019-12-31,prior_overloads,5 6 DCTL DVP_P7-1: LN 2058-2181 DVP - CPLE 3BTLEBRO-3ROCKYMT115T 115 kV line,314554,304223,1,3BTLEBRO|3ROCKYMT115T,,0.0,False,264.14,261.68,164.0,,4.79,
AD2-090,2019-12-31,prior_overloads,8-2181 DVP - DVP 6EVERETS-AD2-068 TAP 230 kV line 314574 936530 1 AC 131.9 133.03 485 6.55 10 14 N-1 DVP_P1-2: LN 2056-A DVP - DVP 3WITAKRS-3BTLEBRO 115 kV line,314623,314554,1,3WITAKRS|3BTLEBRO,,0.0,False,134.68,132.75,134.0,,2.61,
AD2-090,2019-12-31,prior_overloads,16 N-1 DVP_P1-2: LN 246 DVP - DVP AB2-100 TAP-6CLUBHSE 230 kV line,924510,314563,1,TAP|6CLUBHSE,,0.0,False,103.09,102.11,375.0,,3.77,
AD2-090,2019-12-31,prior_overloads,17 DCTL DVP_P7-1: LN 2058-2181 DVP - CPLE AD2-068 TAP-6GREENVILE T 230 kV line,936530,304451,1,TAP|6GREENVILE T,,0.0,False,141.23,140.08,478.0,,6.55,
AD2-102,2022-06-07,prior_overloads,Facility % Description MISO 17STILLWELL- AEP_P4_#2978_05DUMONT NIPS - 05DUMONT 345 7 LFFB 765 AEP kV line,255113,243219,1,05DUMONT NIPS|05DUMONT,,0.0,False,111.51,109.84,1409.0,,27.5,
AE1-024,2020-06-16,generator_deliverability,6EARLEYS-6NUCO TP,314569,314575,1,6EARLEYS|6NUCO TP,,0.0,False,111.6,99.99,571.52,,67.55,DVP_P1-
AE1-024,2020-06-16,generator_deliverability,6EVERETS-AD2-068 TAP,314574,936530,1,,,0.0,False,107.17,98.52,449.32,,40.88,DVP_P1-
AE1-024,2020-06-16,generator_deliverability,6NUCO TP-AA1-138 TAP,314575,919140,1,,,0.0,False,105.24,93.67,571.52,,67.55,DVP_P1-
AE1-024,2020-06-16,generator_deliverability,6LAKEVEW-AB2-100 TAP,314583,924510,1,,,0.0,False,105.35,97.77,375.06,,29.33,DVP_P1-
AE1-024,2020-06-16,generator_deliverability,6NASH-6PA-,314591,304226,1,,,0.0,False,102.57,98.55,470.0,,19.21,DVP_P1-
AE1-024,2020-06-16,generator_deliverability,AA1-138-6SUFFOLK,919140,314537,1,TAP:AA1-138|6SUFFOLK,,0.9942737689527221,False,105.09,93.54,571.52,,67.55,DVP_P1-
AE1-024,2020-06-16,generator_deliverability,AD1-057-6HATHAWAY,934330,313845,1,TAP:AD1-057|6HATHAWAY,,0.0,False,100.18,97.15,441.8,,12.95,DVP_P1-
AE1-024,2020-06-16,generator_deliverability,AD2-068-6GREENVILE,936530,304451,1,TAP:AD2-068|6GREENVILE,,0.9417287500169192,False,104.9,96.81,478.0,,40.88,DVP_P1-
AE1-024,2020-06-16,multiple_facility,6PERQUIMANS-6S,313714,314662,1,,,0.0,False,107.01,98.76,897.0,,82.05,DVP_P4-
AE1-024,2020-06-16,multiple_facility,6S HERTFORD-6WINFALL,314662,314651,1,6S HERTFORD|6WINFALL,,0.0,False,105.16,96.92,897.0,,82.05,DVP_P4-
AE1-024,2020-06-16,multiple_facility,8CHANCE-8BRISTER,314905,314900,1,8CHANCE|8BRISTER,,0.0,False,100.27,99.19,3351.0,,41.63,DVP_P4-
AE1-024,2020-06-16,multiple_facility,8LADYSMITH-8CHANCE,314911,314905,1,8LADYSMITH|8CHANCE,,0.8559614921815155,False,100.81,99.71,3351.0,,42.35,DVP_P4-
AE1-024,2020-06-16,prior_overloads,6HATHAWAY-6ROCKYMT230T,313845,304222,1,6HATHAWAY|6ROCKYMT230T,,0.0,False,125.39,120.44,374.0,,18.84,DVP_P1-2:
AE1-024,2020-06-16,prior_overloads,6HATHAWAY-6NASH,313845,314591,1,6HATHAWAY|6NASH,,0.0,False,112.97,108.77,449.32,,19.21,DVP_P1-2:
AE1-024,2020-06-16,prior_overloads,6SKIFF-6KINGS M,314209,314386,1,6SKIFF|6KINGS M,,0.8661948500364008,False,138.02,136.07,441.8,,10.03,DVP_P1-2:
AE1-024,2020-06-16,prior_overloads,6CARSON-6CHRL249,314282,314285,1,6CARSON|6CHRL249,,0.8626689559903385,False,114.47,112.62,684.0,,14.76,DVP_P4-2:
AE1-024,2020-06-16,prior_overloads,6CHRL249-6LOCKS,314285,314316,1,6CHRL249|6LOCKS,,0.8626689559903385,False,111.75,109.9,684.0,,14.76,DVP_P4-2:
AE1-024,2020-06-16,prior_overloads,6CHESTF B-6BASIN,314287,314276,1,6CHESTF B|6BASIN,,0.0,False,138.99,136.7,549.0,,14.69,DVP_P4-2:
AE1-024,2020-06-16,prior_overloads,6PENNIMAN-6WALR209,314296,314415,1,6PENNIMAN|6WALR209,,0.8425891388339265,False,126.8,124.85,441.8,,10.03,DVP_P1-2:
AE1-024,2020-06-16,prior_overloads,6KINGS M-6PENNIMAN,314386,314296,1,6KINGS M|6PENNIMAN,,0.8708484090674399,False,130.4,128.46,441.8,,10.03,DVP_P1-2:
AE1-024,2020-06-16,prior_overloads,6WALR209-6LIGH209,314415,314391,1,6WALR209|6LIGH209,,0.0,False,112.42,110.47,441.8,,10.03,DVP_P1-2:
AE1-024,2020-06-16,prior_overloads,3BTLEBRO-3ROCKYMT115T,314554,304223,1,3BTLEBRO|3ROCKYMT115T,,0.0,False,302.25,294.06,164.0,,15.3,DVP_P7-1:
AE1-024,2020-06-16,prior_overloads,3EARLEYS-6EARLEYS,314568,314569,2,3EARLEYS|6EARLEYS,,0.9967465479813954,False,150.48,144.76,208.0,,10.96,DVP_P4-2:
AE1-024,2020-06-16,prior_overloads,3EARLEYS-6EARLEYS,314568,314569,1,3EARLEYS|6EARLEYS,,0.9967465479813954,False,132.2,128.41,208.0,,7.57,DVP_P4-2:
AE1-024,2020-06-16,prior_overloads,6EVERETS-AD2-068 TAP,314574,936530,1,,,0.0,False,140.07,129.67,485.0,,52.36,DVP_P4-2:
AE1-024,2020-06-16,prior_overloads,6LAKEVEW-AB2-100 TAP,314583,924510,1,,,0.0,False,135.54,127.66,427.0,,39.55,DVP_P4-2:
AE1-024,2020-06-16,prior_overloads,6ELIZ CT-6SHAWBRO,314638,314647,1,6ELIZ CT|6SHAWBRO,,0.0,False,143.81,132.18,658.0,,71.46,DVP_P4-2:
AE1-024,2020-06-16,prior_overloads,8CHCKAHM-8ELMONT,314903,314908,1,8CHCKAHM|8ELMONT,,0.889555307112079,False,116.19,114.47,3144.0,,62.85,DVP_P4-2:
AE1-024,2020-06-16,prior_overloads,8CHANCE-8BRISTER,314905,314900,1,8CHANCE|8BRISTER,,0.0,False,115.2,114.02,2442.12,,33.11,DVP_P1-2:
AE1-024,2020-06-16,prior_overloads,8ELMONT-8LADYSMITH,314908,314911,1,8ELMONT|8LADYSMITH,,0.889555307112079,False,124.95,123.2,3351.0,,68.1,DVP_P4-2:
AE1-024,2020-06-16,prior_overloads,8LADYSMITH-8CHANCE,314911,314905,1,8LADYSMITH|8CHANCE,,0.8559614921815155,False,104.27,103.18,3351.0,,41.92,DVP_P4-2:
AE1-024,2020-06-16,prior_overloads,8MDLTHAN-8NO ANNA,314914,314918,1,8MDLTHAN|8NO ANNA,,0.9758419060001495,False,113.4,111.97,3637.0,,67.94,DVP_P4-2:
AE1-024,2020-06-16,prior_overloads,AB2-100 TAP-6CLUBHSE,924510,314563,1,TAP|6CLUBHSE,,0.0,False,120.39,113.03,375.06,,29.33,DVP_P1-2:
AE1-024,2020-06-16,prior_overloads,AD2-068 TAP-6GREENVILE T,936530,304451,1,TAP|6GREENVILE T,,0.0,False,146.94,136.47,478.0,,52.36,DVP_P4-2:
AE1-059,2019-08-29,multiple_facility,LACK-LACKAW,208009,200074,3,LACK|LACKAW,,0.0,False,103.81,89.41,1165.0,,173.78,PL:02:P42:001057
AE1-059,2019-08-29,multiple_facility,MONT-MILT,208040,208034,1,MONT|MILT,,0.0,False,100.21,97.28,739.0,,26.16,PL:08:P71:101343
AE1-064,2021-01-07,prior_overloads,05MEADS-05CLOVR,24389,24260,1,05MEADS|05CLOVR,L:1837:39888:138,0.8535298376517803,False,125.43,107.54,277.0,,51.48,AEP_P7-
AE1-123,2019-08-30,prior_overloads,01KARNSC-01BUTLER,235197,235152,1,01KARNSC|01BUTLER,,0.0,False,113.34,111.89,179.0,,2.87,PN-P1-
AE1-123,2019-08-30,prior_overloads,01COLMBGPN-01KISKIV,235240,235202,1,01COLMBGPN|01KISKIV,,0.0,False,112.54,111.41,151.0,,1.74,PN-P1-
AE1-123,2019-08-30,prior_overloads,01GAR RN-01COLMBGPN,235282,235240,1,01GAR RN|01COLMBGPN,,0.0,False,120.69,119.56,151.0,,1.74,ATSI-
AE1-168,2019-10-31,generator_deliverability,3CAROLNA-6CAROLNA,314559,314561,1,3CAROLNA|6CAROLNA,,0.9898790536054208,False,102.96,99.4,239.89,,8.49,DVP_P1-3:
AE1-168,2019-10-31,generator_deliverability,3CLUBHSE-6CLUBHSE,314562,314563,1,3CLUBHSE|6CLUBHSE,,0.9925747940060188,False,100.65,97.33,176.81,,7.76,Base Case
AE1-168,2019-10-31,generator_deliverability,6BUCKING-6BREMO,314677,314747,1,6BUCKING|6BREMO,,0.8553146582658551,False,100.77,94.86,571.52,,33.73,DVP_P1-2:
AE1-168,2019-10-31,generator_deliverability,3KERR-3GW KING,314702,304102,1,3KERR|3GW KING,,0.0,False,102.81,98.68,199.0,,8.63,Base Case
AE1-168,2019-10-31,multiple_facility,6BUCKING-6BREMO,314677,314747,1,6BUCKING|6BREMO,,0.8553146582658551,False,104.22,96.17,699.0,,56.26,DVP_P4-
AE1-168,2019-10-31,multiple_facility,3FARMVIL-6FARMVIL,314691,314692,2,3FARMVIL|6FARMVIL,,0.9119749319936665,False,135.27,93.58,208.7,,83.05,DVP_P4-
AE1-168,2019-10-31,multiple_facility,6FARMVIL-6BUCKING,314692,314677,1,6FARMVIL|6BUCKING,,0.9119749319936665,False,102.95,94.63,684.0,,56.29,DVP_P4-
AE1-168,2019-10-31,prior_overloads,6BREMODIST-6MTEAGLE,313867,314765,1,6BREMODIST|6MTEAGLE,,0.0,False,118.08,114.93,661.76,,20.88,DVP_P1-2:
AE1-168,2019-10-31,prior_overloads,6CARSON-6CHRL249,314282,314285,1,6CARSON|6CHRL249,,0.8783161856667321,False,130.51,129.42,684.0,,8.71,DVP_P4-2:
AE1-168,2019-10-31,prior_overloads,6CHRL249-6LOCKS,314285,314316,1,6CHRL249|6LOCKS,,0.8783161856667321,False,127.73,126.64,684.0,,8.71,DVP_P4-2:
AE1-168,2019-10-31,prior_overloads,3CAROLNA-6CAROLNA,314559,314561,1,3CAROLNA|6CAROLNA,,0.9898790536054208,False,105.74,103.8,239.89,,4.6,DVP_P1-2:
AE1-168,2019-10-31,prior_overloads,3CLUBHSE-6CLUBHSE,314562,314563,1,3CLUBHSE|6CLUBHSE,,0.9925747940060188,False,198.49,191.81,208.6,,16.75,DVP_P4-6:
AE1-168,2019-10-31,prior_overloads,6SEDGE HILL-AC1-221 TAP,314697,927250,1,,,0.0,False,107.9,104.77,674.92,,20.89,DVP_P1-2:
AE1-168,2019-10-31,prior_overloads,3KERR-3GW KING,314702,304102,1,3KERR|3GW KING,,0.0,False,156.84,148.53,199.0,,19.9,DVP_P4-6:
AE1-168,2019-10-31,prior_overloads,6BREMO-6BREMODIST,314747,313867,1,6BREMO|6BREMODIST,,0.0,False,120.35,117.21,661.76,,20.88,DVP_P1-2:
AE1-168,2019-10-31,prior_overloads,6MTEAGLE-6CHARLVL,314765,314749,1,6MTEAGLE|6CHARLVL,,0.0,False,114.93,111.79,661.76,,20.88,DVP_P1-2:
AE1-168,2019-10-31,prior_overloads,AC1-221 TAP-6PERSON230,927250,304070,1,TAP|6PERSON230,,0.0,False,111.08,108.19,718.0,,20.89,DVP_P1-2:
AE1-252,2021-12-23,generator_deliverability,% 1 N-1 COMED_P1- CE - CE AD1-133 TAP,935000,270717,1,,,0.0,False,102.56,99.83,1528.0,,41.89,
AE1-252,2021-12-23,generator_deliverability,1 2_345-L11212_B- DRESDEN ; R 345 S-C-A kV line 2 N-1 COMED_P1- CE - CE AE1-172 TAP-AD1,939400,934720,1,TAP:AE1-172|AD1,,0.0,False,101.7,97.89,1528.0,,60.5,
AE1-252,2021-12-23,prior_overloads,% MISO 17GREEN_ACRE- AEP_P4_#2978_05DUMONT NIPS - GREENACRE; T 3 LFFB 765_B CE 345 kV line,255104,270771,1,05DUMONT NIPS|GREENACRE,,0.0,False,100.68,100.61,1091.0,,11.7,
AE1-252,2021-12-23,prior_overloads,2 MISO 17STJOHN-ST COMED_P4_023-65-BT2- NIPS - JOHN ; T 345 kV 4 LFFB 3__ CE line,255112,270886,1,17STJOHN|ST COMED,,0.0,False,133.3,132.32,1091.0,,12.79,
AE1-252,2021-12-23,prior_overloads,MISO 17STILLWELL- AEP_P4_#2978_05DUMONT NIPS - 05DUMONT 345 kV 8 LFFB 765_B AEP line,255113,243219,1,05DUMONT NIPS|05DUMONT,,0.0,False,128.71,128.3,1409.0,,20.6,
AE1-252,2021-12-23,prior_overloads,FFB ADD AD1-100 5 CE - CE 345 kV line 270670 270671 1 AC 127.7 130.93 1341 43.4 5 GREENACRE; T- AEP_P4_#2978_05DUMONT CE - 05OLIVE 345 kV 10 LFFB 765_B AEP line,270771,243229,1,05DUMONT CE|05OLIVE,,0.0,False,113.12,113.05,971.0,,11.7,
AE1-252,2021-12-23,prior_overloads,6 CE - ST JOHN ; T- COMED_P4_023-65-BT2- MISO 17GREEN_ACRE 11 LFFB 3__ NIPS 345 kV line,270886,255104,1,,,0.0,False,133.29,132.31,1091.0,,12.79,
AE1-252,2021-12-23,prior_overloads, 345 16 LFFB 3__ CE - CE kV line 270927 275233 1 AC 118.65 120.43 1379 27.7 9 CE - CRETE EC ;BP- COMED_P4_112-65-BT4- MISO 17STJOHN 345 kV 17 LFFB 5__ NIPS line,274750,255112,1,,,0.0,False,163.1,162.01,1399.0,,17.69,
AE1-252,2021-12-23,prior_overloads,DCTL S_+_345-L0102__R-S CE - CE line 937030 270926 1 AC 111.1 113.41 1846 42.64 COMED_P1-2_345- AE1-172 TAP-AD1- 27 N-1 L8014___-S-B CE - CE 100 TAP 345 kV line,939400,934720,1,S CE|CE LINE,,0.0,False,107.57,103.74,1528.0,,60.5,
