project_id,publication_date,parsed_project_id,mw,poi_str,n_facilities_stated,n_findings_parsed,n_fid_resolved,total_cost_usd,n_queue_ahead,warnings,template
Q12-0142,2013-07-20,Q12-0142,37.2,,1.0,1,1,4580000.0,111.0,,B
Q11-0048,2013-08-21,Q11-0048,844.0,,2.0,2,2,31743000.0,,,C
Q11-0050,2013-08-15,Q11-0050,41.0,,,0,0,0.0,36.0,,A
Q11-0081,2013-08-24,Q11-0081,786.0,,21.0,21,21,171631000.0,,,B
Q12-0095,2013-08-30,Q12-0095,130.8,,2.0,2,2,2044000.0,,,B
Q12-0132,2013-08-24,Q12-0132,77.4,,2.0,2,2,48480000.0,100.0,,C
Q12-0151,2013-08-26,Q12-0151,969.9,,25.0,25,22,105664000.0,,,B
Q12-0154,2013-09-01,Q12-0154,135.8,,20.0,20,20,27315000.0,,,C
Q12-0157,2013-09-01,Q12-0157,406.5,,14.0,14,9,98524000.0,,,C
Q12-0161,2013-08-16,Q12-0161,256.6,,9.0,9,9,53852000.0,125.0,,A
Q11-0051,2013-09-30,Q11-0051,373.3,,25.0,25,24,98292000.0,,,B
Q11-0079,2013-09-28,Q11-0079,267.8,,2.0,2,2,2110000.0,,,A
Q12-0098,2013-09-15,Q12-0098,178.9,,,0,0,0.0,,,A
Q12-0100,2013-09-16,Q12-0100,74.7,,2.0,2,1,4302000.0,72.0,,B
Q11-0058,2013-10-27,Q11-0058,59.2,,,0,0,0.0,,,B
Q11-0078,2013-11-03,Q11-0078,173.2,,11.0,11,11,59897000.0,54.0,,C
Q12-0131,2013-10-15,Q12-0131,84.2,,8.0,8,8,3770000.0,95.0,,C
Q12-0182,2013-10-18,Q12-0182,339.7,,25.0,25,25,156341000.0,,,B
Q12-0102,2013-11-25,Q12-0102,228.3,,,0,0,0.0,73.0,,B
Q12-0126,2013-11-21,Q12-0126,114.9,,4.0,4,4,1692000.0,,,B
Q12-0141,2013-11-25,Q12-0141,49.2,,1.0,1,1,1759000.0,104.0,,B
Q12-0155,2013-11-20,Q12-0155,407.6,,8.0,8,8,9804000.0,,,A
Q12-0108,2013-12-22,Q12-0108,171.0,,3.0,3,3,6401000.0,,,C
Q12-0158,2013-12-23,Q12-0158,333.6,,13.0,13,13,35099000.0,,,C
Q12-0167,2013-12-19,Q12-0167,1195.2,,20.0,20,20,88907000.0,127.0,,B
Q12-0170,2013-12-24,Q12-0170,201.0,,11.0,11,11,37667000.0,,,B
Q12-0171,2013-12-21,Q12-0171,164.8,,2.0,2,2,27340000.0,,,B
Q12-0172,2014-01-03,Q12-0172,233.8,,4.0,4,4,7786000.0,131.0,,B
Q13-0198,2013-12-19,Q13-0198,127.2,,17.0,17,17,42671000.0,,,B
Q11-0084,2014-02-01,Q11-0084,43.0,,12.0,12,12,25329000.0,,,C
Q12-0092,2014-01-27,Q12-0092,285.7,,1.0,1,1,1027000.0,61.0,,B
Q12-0109,2014-01-24,Q12-0109,143.8,,8.0,8,8,22000000.0,72.0,,A
Q12-0110,2014-01-26,Q12-0110,398.4,,25.0,25,25,158372000.0,,,A
Q12-0119,2014-01-26,Q12-0119,80.0,,21.0,21,21,46710000.0,79.0,,C
Q12-0139,2014-01-21,Q12-0139,60.0,,25.0,25,25,20380000.0,96.0,,B
Q12-0140,2014-01-23,Q12-0140,58.1,,22.0,22,22,14220000.0,97.0,,B
Q12-0147,2014-01-31,Q12-0147,199.1,,25.0,25,25,24414000.0,104.0,,A
Q12-0152,2014-02-03,Q12-0152,53.9,,37.0,37,37,179657000.0,,,B
Q12-0160,2014-01-31,Q12-0160,82.0,,2.0,2,2,743000.0,,,B
Q12-0163,2014-01-25,Q12-0163,186.0,,27.0,27,27,77171000.0,,,C
Q12-0164,2014-02-02,Q12-0164,557.6,,25.0,25,25,125901000.0,,,C
Q12-0174,2014-01-22,Q12-0174,132.6,,13.0,13,13,15691000.0,,,B
Q13-0191,2014-01-19,Q13-0191,767.6,,25.0,25,25,425172000.0,,,B
Q12-0146,2014-02-20,Q12-0146,541.0,,24.0,24,24,112241000.0,,,A
Q12-0186,2014-02-25,Q12-0186,114.5,,25.0,25,25,20695000.0,,,C
Q12-0187,2014-02-28,Q12-0187,9.0,,11.0,11,11,2332000.0,136.0,,B
Q12-0190,2014-02-16,Q12-0190,215.6,,2.0,2,2,6349000.0,,,A
Q13-0225,2014-02-15,Q13-0225,197.3,,25.0,25,25,54442000.0,174.0,,A
Q12-0099,2014-03-25,Q12-0099,76.4,,5.0,5,5,4636000.0,64.0,,B
Q12-0128,2014-04-03,Q12-0128,211.1,,3.0,3,3,2051000.0,,,B
Q12-0150,2014-03-30,Q12-0150,248.8,,25.0,25,25,111392000.0,,,B
Q12-0166,2014-03-20,Q12-0166,389.5,,16.0,16,16,163850000.0,,,C
Q13-0208,2014-03-17,Q13-0208,60.5,,25.0,25,25,12117000.0,,,B
Q13-0223,2014-03-25,Q13-0223,256.0,,12.0,12,11,19457000.0,170.0,,C
Q12-0113,2014-04-16,Q12-0113,247.6,,,0,0,0.0,72.0,,B
Q12-0117,2014-05-28,Q12-0117,141.4,,7.0,7,7,6685000.0,73.0,,B
Q12-0120,2014-05-28,Q12-0120,330.2,,,0,0,0.0,,,C
Q12-0129,2014-05-17,Q12-0129,562.0,,25.0,25,25,80162000.0,,,B
Q12-0137,2014-05-26,Q12-0137,169.5,,10.0,10,10,12790000.0,89.0,,A
Q12-0144,2014-05-17,Q12-0144,117.1,,,0,0,0.0,96.0,,B
Q12-0145,2014-05-29,Q12-0145,334.5,,25.0,25,25,56915000.0,97.0,,C
Q12-0169,2014-05-26,Q12-0169,119.6,,3.0,3,3,20527000.0,116.0,,B
Q13-0199,2014-05-20,Q13-0199,96.0,,18.0,18,18,19640000.0,143.0,,B
Q13-0206,2014-05-29,Q13-0206,103.1,,,0,0,0.0,,,B
Q13-0222,2014-05-15,Q13-0222,106.8,,2.0,2,2,1392000.0,166.0,,B
Q13-0243,2014-06-02,Q13-0243,460.1,,25.0,25,25,118417000.0,187.0,,B
Q13-0253,2014-05-18,Q13-0253,199.1,,8.0,8,8,26825000.0,197.0,,B
Q12-0123,2014-06-27,Q12-0123,97.5,,3.0,3,3,8910000.0,,,C
Q12-0130,2014-07-02,Q12-0130,105.3,,25.0,25,25,13586000.0,80.0,,B
Q12-0133,2014-06-17,Q12-0133,204.7,,19.0,19,19,21085000.0,,,A
Q12-0138,2014-07-04,Q12-0138,1347.7,,25.0,25,25,266201000.0,,,A
Q13-0204,2014-06-23,Q13-0204,256.8,,25.0,25,25,22511000.0,,,C
Q13-0224,2014-06-29,Q13-0224,132.4,,,0,0,0.0,165.0,,C
Q13-0254,2014-06-23,Q13-0254,259.8,,19.0,19,19,60110000.0,193.0,,A
Q12-0136,2014-07-28,Q12-0136,1014.5,,25.0,25,21,44250000.0,,,C
Q12-0149,2014-07-29,Q12-0149,560.8,,18.0,18,14,19852000.0,,,B
Q12-0159,2014-07-23,Q12-0159,406.9,,15.0,15,13,22280000.0,,,A
Q12-0162,2014-07-18,Q12-0162,137.2,,4.0,4,4,9338000.0,104.0,,B
Q12-0183,2014-07-15,Q12-0183,1212.5,,25.0,25,25,63480000.0,,,B
Q13-0202,2014-07-30,Q13-0202,74.3,,15.0,15,15,5967000.0,,,B
Q13-0205,2014-07-31,Q13-0205,47.7,,5.0,5,5,466000.0,,,C
Q13-0209,2014-07-21,Q13-0209,70.0,,27.0,27,27,10017000.0,147.0,,C
Q13-0235,2014-07-28,Q13-0235,38.1,,22.0,22,21,1326000.0,,,B
Q13-0241,2014-07-27,Q13-0241,149.7,,5.0,5,4,9265000.0,178.0,,B
Q12-0135,2014-08-31,Q12-0135,751.0,,25.0,25,25,129275000.0,,,A
Q12-0143,2014-08-19,Q12-0143,576.6,,21.0,21,21,323452000.0,,,C
Q12-0173,2014-08-20,Q12-0173,115.9,,24.0,24,24,31342000.0,,,B
Q12-0175,2014-08-26,Q12-0175,240.0,,,0,0,0.0,,,B
Q13-0207,2014-08-18,Q13-0207,170.6,,,0,0,0.0,144.0,,B
Q13-0261,2014-08-29,Q13-0261,219.3,,1.0,1,1,4205000.0,,,C
Q13-0274,2014-08-19,Q13-0274,113.3,,25.0,25,24,8974000.0,204.0,,A
Q13-0275,2014-08-15,Q13-0275,76.2,,9.0,9,9,48052000.0,205.0,,A
Q13-0282,2014-08-25,Q13-0282,743.0,,3.0,3,3,18530000.0,,,B
Q12-0156,2014-09-21,Q12-0156,246.0,,25.0,25,25,32602000.0,92.0,,B
Q12-0168,2014-09-22,Q12-0168,95.3,,1.0,1,1,162000.0,104.0,,B
Q12-0178,2014-09-17,Q12-0178,36.8,,7.0,7,7,2635000.0,,,A
Q13-0193,2014-09-23,Q13-0193,63.9,,4.0,4,4,8258000.0,,,A
Q13-0251,2014-09-22,Q13-0251,30.6,,10.0,10,10,4047000.0,,,C
Q13-0271,2014-09-30,Q13-0271,160.4,,6.0,6,6,15717000.0,,,B
Q13-0287,2014-09-24,Q13-0287,58.3,,25.0,25,25,11757000.0,,,A
Q12-0181,2014-10-31,Q12-0181,152.7,,,0,0,0.0,113.0,,C
Q12-0185,2014-10-24,Q12-0185,1153.6,,6.0,6,6,87560000.0,,,C
Q13-0196,2014-10-31,Q13-0196,113.3,,,0,0,0.0,127.0,,B
Q13-0200,2014-10-18,Q13-0200,291.6,,,0,0,0.0,130.0,,A
Q13-0214,2014-10-26,Q13-0214,354.2,,6.0,6,6,21175000.0,143.0,,B
Q13-0216,2014-10-15,Q13-0216,31.3,,1.0,1,1,499000.0,,,A
Q13-0217,2014-10-29,Q13-0217,19.4,,,0,0,0.0,147.0,,B
Q13-0231,2014-10-25,Q13-0231,659.1,,,0,0,0.0,,,B
Q13-0288,2014-10-31,Q13-0288,536.2,,22.0,22,22,78228000.0,,,B
Q13-0220,2014-11-17,Q13-0220,185.1,,1.0,1,1,1805000.0,148.0,,C
Q12-0165,2014-12-20,Q12-0165,370.6,,11.0,11,11,35079000.0,94.0,,B
Q13-0195,2014-12-20,Q13-0195,674.2,,17.0,17,17,74428000.0,,,C
Q13-0221,2014-12-30,Q13-0221,184.5,,1.0,1,1,227000.0,,,B
Q13-0236,2014-12-28,Q13-0236,30.6,,5.0,5,5,502000.0,,,C
Q13-0237,2014-12-16,Q13-0237,322.1,,25.0,25,25,37750000.0,159.0,,B
Q13-0240,2014-12-28,Q13-0240,252.0,,,0,0,0.0,,,C
Q13-0256,2015-01-01,Q13-0256,26.5,,,0,0,0.0,176.0,,B
Q13-0269,2014-12-30,Q13-0269,81.2,,11.0,11,10,30659000.0,185.0,,B
Q13-0278,2014-12-19,Q13-0278,62.4,,,0,0,0.0,,,C
Q13-0299,2014-12-27,Q13-0299,32.9,,9.0,9,9,27162000.0,,,B
Q14-0320,2015-01-01,Q14-0320,126.8,,4.0,4,4,4665000.0,233.0,,B
Q12-0179,2015-01-17,Q12-0179,555.7,,10.0,10,10,17220000.0,,,C
Q12-0180,2015-01-27,Q12-0180,291.6,,15.0,15,12,24950000.0,,,C
Q12-0189,2015-01-22,Q12-0189,15.8,,,0,0,0.0,111.0,,A
Q13-0194,2015-02-01,Q13-0194,89.1,,,0,0,0.0,115.0,,A
Q13-0197,2015-02-02,Q13-0197,284.2,,25.0,25,25,26671000.0,118.0,,B
Q13-0201,2015-01-30,Q13-0201,408.2,,2.0,2,2,14503000.0,,,B
Q13-0211,2015-01-23,Q13-0211,305.2,,3.0,3,3,2367000.0,,,B
Q13-0212,2015-01-27,Q13-0212,164.1,,2.0,2,2,9791000.0,,,B
Q13-0228,2015-01-28,Q13-0228,1500.0,,25.0,25,25,115244000.0,,,B
Q13-0234,2015-01-31,Q13-0234,390.7,,15.0,15,15,67495000.0,153.0,,B
Q13-0286,2015-01-27,Q13-0286,252.1,,7.0,7,7,28755000.0,197.0,,A
Q13-0297,2015-01-23,Q13-0297,121.1,,4.0,4,4,33733000.0,208.0,,C
Q14-0312,2015-01-24,Q14-0312,264.5,,6.0,6,5,2761000.0,,,B
Q13-0192,2015-02-18,Q13-0192,112.9,,25.0,25,25,8204000.0,,,B
Q13-0203,2015-02-26,Q13-0203,106.3,,19.0,19,19,90555000.0,,,B
Q13-0215,2015-03-03,Q13-0215,66.7,,11.0,11,11,23390000.0,,,B
Q13-0218,2015-02-16,Q13-0218,491.0,,22.0,22,22,155737000.0,,,A
Q13-0229,2015-02-27,Q13-0229,484.8,,25.0,25,25,50166000.0,141.0,,B
Q14-0332,2015-02-24,Q14-0332,1207.5,,25.0,25,25,89804000.0,,,B
Q13-0213,2015-04-02,Q13-0213,91.5,,20.0,20,19,22077000.0,,,A
Q13-0219,2015-03-20,Q13-0219,95.6,,3.0,3,3,6197000.0,124.0,,B
Q13-0226,2015-03-16,Q13-0226,447.2,,,0,0,0.0,131.0,,C
Q13-0232,2015-03-18,Q13-0232,241.5,,16.0,16,16,66471000.0,135.0,,B
Q13-0249,2015-04-02,Q13-0249,575.2,,21.0,21,20,176960000.0,,,B
Q13-0267,2015-03-30,Q13-0267,220.8,,,0,0,0.0,165.0,,B
Q13-0268,2015-03-19,Q13-0268,1500.0,,25.0,25,25,127904000.0,,,B
Q13-0277,2015-03-28,Q13-0277,39.9,,18.0,18,18,13097000.0,,,C
Q13-0298,2015-04-03,Q13-0298,302.5,,25.0,25,25,149056000.0,191.0,,B
Q14-0306,2015-03-17,Q14-0306,60.2,,14.0,14,14,7232000.0,199.0,,B
Q14-0317,2015-03-29,Q14-0317,76.6,,1.0,1,1,412000.0,,,C
Q14-0321,2015-03-17,Q14-0321,84.4,,,0,0,0.0,,,B
Q14-0329,2015-03-17,Q14-0329,66.7,,,0,0,0.0,,,B
Q14-0334,2015-03-21,Q14-0334,229.1,,10.0,10,10,22616000.0,,,B
Q14-0345,2015-03-30,Q14-0345,160.7,,5.0,5,4,5880000.0,233.0,,B
Q13-0210,2015-05-01,Q13-0210,199.9,,,0,0,0.0,112.0,,B
Q13-0230,2015-04-22,Q13-0230,866.0,,21.0,21,19,45017000.0,,,B
Q13-0238,2015-04-21,Q13-0238,47.4,,,0,0,0.0,139.0,,C
Q13-0246,2015-04-22,Q13-0246,446.4,,21.0,21,21,95299000.0,146.0,,B
Q13-0276,2015-04-21,Q13-0276,54.9,,1.0,1,1,311000.0,,,B
Q13-0280,2015-05-02,Q13-0280,62.3,,,0,0,0.0,,,B
Q13-0293,2015-04-26,Q13-0293,294.7,,,0,0,0.0,,,A
Q14-0336,2015-04-26,Q14-0336,24.0,,2.0,2,2,80000.0,221.0,,B
Q13-0242,2015-05-16,Q13-0242,550.3,,5.0,5,5,16418000.0,,,B
Q13-0244,2015-05-19,Q13-0244,133.2,,,0,0,0.0,138.0,,B
Q13-0265,2015-05-22,Q13-0265,210.7,,,0,0,0.0,155.0,,A
Q13-0272,2015-05-30,Q13-0272,127.5,,,0,0,0.0,161.0,,B
Q14-0318,2015-06-01,Q14-0318,165.4,,4.0,4,4,15264000.0,199.0,,C
Q14-0328,2015-05-22,Q14-0328,107.5,,,0,0,0.0,,,A
Q13-0233,2015-06-16,Q13-0233,46.3,,3.0,3,3,581000.0,,,A
Q13-0245,2015-06-27,Q13-0245,124.0,,1.0,1,1,710000.0,133.0,,B
Q13-0257,2015-06-24,Q13-0257,220.2,,3.0,3,3,2608000.0,,,A
Q13-0283,2015-06-28,Q13-0283,228.1,,5.0,5,5,17171000.0,,,B
Q13-0292,2015-06-21,Q13-0292,168.3,,,0,0,0.0,169.0,,B
Q14-0311,2015-07-01,Q14-0311,160.1,,17.0,17,17,66782000.0,185.0,,C
Q14-0319,2015-07-03,Q14-0319,204.6,,25.0,25,24,41888000.0,193.0,,C
Q13-0248,2015-07-26,Q13-0248,318.8,,5.0,5,5,42279000.0,,,B
Q13-0270,2015-07-21,Q13-0270,34.0,,,0,0,0.0,150.0,,C
Q13-0279,2015-07-22,Q13-0279,113.4,,1.0,1,1,10013000.0,154.0,,B
Q13-0285,2015-07-22,Q13-0285,389.0,,11.0,11,11,80851000.0,,,B
Q13-0290,2015-07-20,Q13-0290,936.8,,13.0,13,13,95215000.0,,,B
Q14-0325,2015-07-16,Q14-0325,41.7,,10.0,10,10,4195000.0,195.0,,B
Q14-0341,2015-07-26,Q14-0341,105.5,,,0,0,0.0,,,B
Q14-0356,2015-08-02,Q14-0356,153.2,,1.0,1,1,607000.0,,,C
Q14-0363,2015-07-16,Q14-0363,556.5,,25.0,25,25,81449000.0,,,C
Q14-0369,2015-07-16,Q14-0369,229.0,,1.0,1,1,1612000.0,235.0,,C
Q14-0380,2015-08-02,Q14-0380,325.6,,9.0,9,7,28033000.0,246.0,,B
Q13-0247,2015-08-25,Q13-0247,214.7,,6.0,6,6,25489000.0,128.0,,B
Q13-0250,2015-08-29,Q13-0250,203.4,,15.0,15,15,31051000.0,,,B
Q13-0252,2015-08-25,Q13-0252,21.8,,2.0,2,2,193000.0,133.0,,B
Q13-0258,2015-08-22,Q13-0258,170.0,,23.0,23,23,9363000.0,138.0,,B
Q13-0294,2015-08-21,Q13-0294,752.3,,,0,0,0.0,,,B
Q14-0301,2015-08-26,Q14-0301,29.8,,3.0,3,3,8272000.0,,,A
Q14-0305,2015-08-26,Q14-0305,1129.2,,25.0,25,25,138640000.0,,,C
Q14-0307,2015-08-24,Q14-0307,141.2,,6.0,6,6,9238000.0,177.0,,B
Q14-0313,2015-08-28,Q14-0313,175.0,,14.0,14,14,2835000.0,,,B
Q14-0355,2015-08-15,Q14-0355,295.3,,25.0,25,21,156557000.0,217.0,,C
Q14-0379,2015-08-27,Q14-0379,243.4,,17.0,17,16,38410000.0,,,C
Q14-0388,2015-09-02,Q14-0388,242.5,,13.0,13,13,62506000.0,247.0,,A
Q13-0281,2015-09-27,Q13-0281,169.0,,5.0,5,5,4525000.0,152.0,,B
Q14-0303,2015-09-29,Q14-0303,959.8,,25.0,25,25,279893000.0,,,B
Q14-0314,2015-09-27,Q14-0314,159.4,,31.0,31,28,31996000.0,,,A
Q14-0316,2015-09-26,Q14-0316,222.3,,,0,0,0.0,180.0,,C
Q14-0340,2015-09-21,Q14-0340,88.7,,3.0,3,3,838000.0,,,C
Q14-0366,2015-09-25,Q14-0366,95.2,,25.0,25,25,17857000.0,225.0,,B
Q14-0370,2015-10-01,Q14-0370,277.4,,11.0,11,11,31032000.0,,,C
Q14-0374,2015-09-15,Q14-0374,49.3,,25.0,25,25,8723000.0,,,B
Q14-0375,2015-09-25,Q14-0375,347.7,,7.0,7,7,16891000.0,,,B
Q14-0377,2015-09-17,Q14-0377,467.4,,5.0,5,5,20429000.0,236.0,,C
Q14-0384,2015-09-25,Q14-0384,130.0,,10.0,10,10,35499000.0,,,B
Q13-0262,2015-10-23,Q13-0262,820.4,,25.0,25,25,123340000.0,,,B
Q13-0289,2015-10-20,Q13-0289,785.9,,25.0,25,25,145317000.0,,,B
Q13-0295,2015-10-15,Q13-0295,114.1,,5.0,5,5,5960000.0,,,A
Q13-0296,2015-11-02,Q13-0296,85.3,,,0,0,0.0,160.0,,C
Q14-0327,2015-10-20,Q14-0327,168.2,,5.0,5,5,7925000.0,,,B
Q14-0330,2015-10-16,Q14-0330,50.0,,5.0,5,5,4326000.0,,,C
Q14-0354,2015-10-23,Q14-0354,174.9,,3.0,3,2,317000.0,,,B
Q13-0291,2015-11-30,Q13-0291,105.1,,,0,0,0.0,146.0,,B
Q14-0357,2015-12-03,Q14-0357,329.3,,,0,0,0.0,203.0,,B
Q14-0391,2015-11-30,Q14-0391,160.9,,8.0,8,7,35516000.0,233.0,,B
Q14-0396,2015-11-26,Q14-0396,87.1,,12.0,12,11,5935000.0,235.0,,B
Q14-0404,2015-11-30,Q14-0404,44.8,,18.0,18,17,98453000.0,,,A
Q15-0423,2015-11-15,Q15-0423,159.1,,25.0,25,25,62902000.0,,,B
