plant_id,sub_id,fuel,mw,online_year,retire_year,queue_project_id
2006,5938,solar,2.119,1960,,
2007,5938,solar,2.77,1998,,
2008,5938,solar,2.77,1971,,
2009,5939,ng,92.727,2009,,
2010,5939,ng,92.727,1998,,
2011,5939,ng,92.727,2004,,
2012,5939,ng,92.727,2001,,
2013,5939,ng,92.727,2009,,
2014,5939,ng,92.727,1992,,
2017,5941,solar,11.408,2005,,
2018,5942,dfo,11.542,1960,2011.0,
2019,5943,ng,55.856,1979,,
2020,5943,ng,55.856,1986,,
2021,5943,ng,55.856,1993,,
2022,5943,ng,55.856,1961,,
2023,5943,ng,55.856,1971,,
2024,5944,solar,2.445,1997,,
2025,5944,solar,4.726,1977,,
2026,5944,solar,6.682,1978,,
2027,5944,solar,1.63,2003,,
2028,5944,solar,2.282,1995,,
2029,5945,dfo,8.031,1984,2017.0,
2030,5945,dfo,8.031,2006,2013.0,
2031,5945,dfo,8.031,1989,,
2032,5945,dfo,8.031,2007,2017.0,
2033,5945,dfo,8.031,2001,2014.0,
2034,5946,ng,45.532,1980,,
2036,5947,ng,76.285,1983,,
2037,5947,ng,76.285,1986,,
2038,5947,ng,76.285,1994,,
2039,5947,ng,76.285,1997,,
2040,5947,ng,76.285,2005,,
2041,5948,solar,13.037,1982,,
2043,5949,solar,3.748,1991,,
2048,5950,solar,4.889,1969,,
2055,5952,ng,74.112,1970,,
2056,5953,solar,2.445,1973,,
2057,5953,solar,16.297,1988,,
2058,5954,solar,4.889,2005,,
2059,5954,solar,4.889,2006,,
2060,5955,solar,2.933,1969,,
2066,5957,solar,8.963,1982,,
2067,5958,ng,65.744,2003,,
2068,5958,ng,65.744,2009,,
2069,5958,ng,65.744,1967,,
2070,5958,ng,65.744,1985,,
2072,5960,ng,90.847,1994,,
2073,5960,ng,90.847,2006,,
2074,5960,ng,90.847,1960,,
2075,5960,ng,90.847,1980,,
2076,5960,ng,90.847,1998,,
2077,5960,ng,90.847,1973,,
2079,5962,solar,6.682,1961,,
2080,5962,solar,3.585,1974,,
2084,5964,ng,45.097,2006,,
2085,5964,ng,45.097,2002,,
2086,5965,solar,12.223,2002,,
2087,5966,hydro,4.1,1974,,
2088,5966,hydro,4.1,1981,,
2089,5966,hydro,4.1,1982,,
2091,5966,hydro,0.6,2009,,
2092,5966,hydro,0.6,1974,,
2093,5966,hydro,0.6,1974,,
2096,5968,ng,104.43,2005,,
2097,5968,ng,104.43,1973,,
2098,5968,ng,104.43,1991,,
2099,5968,ng,104.43,1969,,
2104,5972,hydro,151.0,1988,,
2105,5972,hydro,151.0,1963,,
2106,5972,hydro,151.0,1993,,
2109,5974,dfo,5.777,2009,2011.0,
2110,5974,dfo,5.777,1991,,
2111,5975,ng,29.34,2005,,
2114,5977,solar,8.148,1994,,
2115,5978,ng,122.578,1987,,
2116,5979,ng,57.594,1961,,
2117,5979,ng,57.594,1974,,
2118,5979,ng,57.594,1993,,
2120,5981,solar,1.956,1964,,
2121,5981,solar,6.519,1970,,
2122,5982,dfo,25.087,1996,,
2123,5983,ng,155.831,2002,,
2124,5983,ng,155.831,1982,,
2125,5983,ng,155.831,1970,,
2128,5984,dfo,7.317,1965,2012.0,
2129,5984,dfo,7.317,1961,,
2130,5985,dfo,0.327,1977,2016.0,
2131,5985,dfo,0.327,1972,2011.0,
2132,5985,dfo,0.327,2002,,
2133,5985,dfo,0.327,1993,2011.0,
2134,5986,solar,3.096,1973,,
2135,5986,solar,7.985,2001,,
2136,5987,solar,19.556,1968,,
2137,5988,ng,273.116,1987,,
2139,5988,ng,273.116,1997,,
2140,5989,ng,125.621,2002,,
2141,5989,ng,125.621,1968,,
2142,5990,solar,1.63,1987,,
2143,5990,solar,3.259,2002,,
2144,5990,solar,3.911,1983,,
2145,5990,solar,4.4,1965,,
2150,5993,ng,81.501,1985,,
2151,5993,ng,81.501,1985,,
2152,5993,ng,81.501,1975,,
2153,5994,ng,253.708,1997,,
2154,5994,ng,253.708,1995,,
2155,5994,ng,253.708,1972,,
2156,5994,ng,253.708,1970,,
2157,5994,ng,253.708,1965,,
2158,5994,ng,253.708,2010,,
2162,5996,solar,1.63,1964,,
2164,5997,solar,6.03,1967,,
2165,5997,solar,1.956,1969,,
2166,5997,solar,1.956,2006,,
2167,5997,solar,1.793,1991,,
2168,5998,wind,1.5,1963,,
2169,5998,wind,7.5,1990,,
2170,5999,dfo,8.088,2009,2024.0,
2171,5999,dfo,8.088,1989,,
2172,5999,dfo,8.088,1985,,
2173,5999,dfo,8.088,1995,2016.0,
2174,5999,dfo,8.088,1964,2022.0,
2175,6000,ng,176.423,2004,,
2176,6000,ng,176.423,1962,,
2177,6000,ng,176.423,1979,,
2178,6000,ng,176.423,2002,,
2179,6000,ng,176.423,1974,,
2180,6000,ng,176.423,1991,,
2181,6001,ng,107.799,1968,,
2182,6001,ng,107.799,1998,,
2183,6001,ng,107.799,2004,,
2184,6001,ng,107.799,1967,,
2185,6001,ng,107.799,1977,,
2186,6001,ng,107.799,1966,,
2187,6002,ng,85.305,1965,,
2188,6002,ng,85.305,1983,,
2192,6004,solar,8.474,2000,,
2193,6004,solar,1.793,1995,,
2194,6005,solar,29.334,1994,,
2196,7096,ng,77.108,1967,,
2197,7097,coal,60.026,1975,2016.0,
2198,7098,dfo,15.133,1967,,
2199,7098,dfo,15.133,1989,,
2200,7098,dfo,15.133,1999,,
2201,7099,ng,260.854,2008,,
2202,7099,ng,260.854,1995,,
2203,7099,ng,260.854,1966,,
2204,7100,dfo,1.192,2001,,
2205,7100,dfo,1.192,1996,,
2206,7100,dfo,19.273,1995,2021.0,
2207,7100,dfo,19.273,1985,,
2208,7100,dfo,1.192,1985,,
2209,7101,wind,100.112,1977,,
2211,7102,solar,3.342,1993,,
2212,7102,solar,2.117,1989,,
2213,7102,solar,1.04,1986,,
2216,7103,nuclear,897.888,1977,,
2217,7104,ng,61.98,1984,,
2218,7104,ng,61.98,1976,,
2219,7104,ng,61.98,1989,,
2220,7105,wind,67.723,2003,,
2221,7106,solar,11.252,1998,,
2222,7106,solar,3.342,2000,,
2223,7106,solar,2.005,1989,,
2225,7107,dfo,46.969,2003,2014.0,
2226,7107,dfo,46.969,2010,,
2227,7108,ng,178.432,1963,,
2228,7108,ng,178.432,2002,,
2229,7108,ng,178.432,2001,,
2230,7108,ng,178.432,1976,,
2231,7109,nuclear,1188.274,2007,,
2232,7109,nuclear,1188.274,2000,,
2233,7110,solar,0.724,1993,,
2235,7110,solar,3.231,1976,,
2236,7110,solar,3.342,2008,,
2240,7110,solar,1.114,1982,,
2243,7110,solar,1.448,1961,,
2244,7110,solar,1.671,1974,,
2245,7110,solar,2.228,1965,,
2246,7111,ng,276.824,1998,,
2247,7111,ng,276.824,1999,,
2248,7111,ng,276.824,2000,,
2249,7112,ng,54.651,1987,,
2250,7112,ng,54.651,1980,,
2251,7112,ng,54.651,1990,,
2252,7112,ng,54.651,1964,,
2258,7115,dfo,13.991,1965,,
2259,7116,ng,286.128,1980,,
2260,7116,ng,286.128,2000,,
2261,7116,ng,286.128,1995,,
2262,7116,ng,286.128,1994,,
2263,7117,ng,30.588,1960,,
2264,7118,hydro,41.195,1970,,
2265,7118,hydro,41.195,1961,,
2266,7118,hydro,41.195,2009,,
2267,7118,hydro,41.195,1968,,
2268,7118,hydro,41.195,1972,,
2269,7118,hydro,41.195,1978,,
2270,7119,dfo,13.277,2003,2017.0,
2271,7119,dfo,13.277,1999,,
2272,7119,dfo,13.277,1960,2011.0,
2273,7120,dfo,14.205,1974,2011.0,
2274,7120,dfo,14.205,1981,2019.0,
2281,7122,dfo,11.421,2002,2013.0,
2282,7122,dfo,11.421,2000,2019.0,
2283,7123,coal,42.377,1978,2022.0,
2284,7124,coal,120.142,2009,2013.0,
2285,7125,dfo,14.276,1984,,
2286,7126,nuclear,1042.257,1987,,
2287,7126,nuclear,1042.257,1996,,
2288,7127,nuclear,1200.083,1987,,
2289,7127,nuclear,1200.083,1984,,
2297,7129,coal,191.278,1964,2018.0,
2298,7129,coal,191.278,1963,,
2299,7130,dfo,11.421,1976,2019.0,
2300,7130,dfo,11.421,1999,2013.0,
2301,7131,ng,64.363,1969,,
2302,7132,dfo,19.273,1986,,
2303,7132,dfo,19.273,2008,2022.0,
2304,7133,wind,63.306,2007,,
2305,7134,ng,309.286,1983,,
2306,7134,ng,309.286,1992,,
2307,7134,ng,309.286,1988,,
2308,7135,coal,84.216,1964,,
2309,7136,ng,284.216,2003,,
2310,7136,ng,284.216,1971,,
2311,7136,ng,284.216,1978,,
2312,7136,ng,284.216,2002,,
2313,7136,ng,284.216,1966,,
2314,7136,ng,284.216,1966,,
2315,7137,coal,52.859,1989,2018.0,
2316,7138,dfo,13.206,1979,,
2317,7138,dfo,13.206,1975,,
2323,7140,dfo,102.505,1998,,
2324,7140,dfo,102.505,1990,,
2325,7140,dfo,102.505,1966,,
2326,7140,dfo,102.505,2007,,
2327,7140,dfo,102.505,1980,,
2328,7140,dfo,102.505,1997,2019.0,
2329,7141,wind,98.64,1979,,
2330,7142,dfo,11.421,2002,,
2331,7142,dfo,11.421,2004,2023.0,
2332,7143,hydro,19.59,1968,,
2334,7145,dfo,12.542,1968,,
2335,7145,dfo,12.542,1966,,
2336,7145,dfo,12.542,1978,,
2337,7146,dfo,46.163,1998,,
2338,7146,dfo,46.163,2005,2016.0,
2339,7146,dfo,46.163,2000,2019.0,
2342,7147,ng,122.736,1976,,
2343,7147,ng,122.736,1999,,
2350,7149,ng,276.149,1961,,
2351,7149,ng,276.149,1974,,
2352,7149,ng,276.149,1996,,
2353,7149,ng,276.149,1975,,
2354,7149,ng,276.149,1998,,
2355,7149,ng,276.149,1985,,
2356,7150,coal,43.004,2001,,
2357,7151,wind,138.39,1961,,
2358,7152,ng,28.422,1981,,
2359,7152,ng,28.422,1977,,
2360,7152,ng,28.422,1991,,
2361,7152,ng,28.422,2002,,
2362,7153,wind,23.556,2007,,
2363,7154,coal,88.875,1980,,
2364,7155,hydro,178.573,1982,,
2365,7155,hydro,178.573,1970,,
2366,7155,hydro,178.573,2004,,
2367,7155,hydro,178.573,1980,,
2368,7155,hydro,178.573,1998,,
2369,7155,hydro,178.573,1985,,
2370,7156,dfo,65.008,1978,,
2371,7156,dfo,65.008,1985,,
2372,7156,dfo,65.008,1991,,
2373,7156,dfo,65.008,1996,,
2374,7156,dfo,65.008,1962,,
2375,7156,dfo,65.008,1990,2012.0,
2376,7157,dfo,13.277,1971,,
2377,7157,dfo,13.277,1968,2015.0,
2378,7157,dfo,13.277,1982,2013.0,
2379,7157,dfo,13.277,1993,2014.0,
2380,7158,dfo,1.927,1961,2023.0,
2381,7158,dfo,1.927,1960,2022.0,
2382,7158,dfo,1.927,1972,,
2383,7159,coal,482.629,1994,,
2386,7160,wind,25.519,2004,,
2387,7161,dfo,13.206,1992,2024.0,
2388,7162,ng,1083.973,1962,,
2389,7162,ng,1083.973,1979,,
2390,7163,ng,266.411,2010,,
2391,7163,ng,266.411,1995,,
2392,7163,ng,266.411,1965,,
2393,7163,ng,266.411,1982,,
2394,7164,dfo,19.273,1983,2015.0,
2395,7165,dfo,13.206,1996,2023.0,
2396,7165,dfo,13.206,2000,2017.0,
2397,7166,ng,74.941,1971,,
2398,7166,ng,74.941,1979,,
2400,7167,dfo,14.276,1969,,
2401,7167,dfo,14.276,2004,2016.0,
2402,7167,dfo,14.276,1989,2020.0,
2403,7168,coal,32.253,1996,,
2404,7169,ng,330.354,1973,,
2405,7169,ng,330.354,1978,,
2406,7169,ng,330.354,2010,,
2409,7170,ng,56.079,1993,,
2411,7171,hydro,19.989,1961,,
2412,7172,dfo,15.133,1984,2014.0,
2413,7172,dfo,15.133,2009,,
2414,7172,dfo,15.133,1974,,
2415,7173,dfo,13.741,1998,,
2416,7173,dfo,13.741,2003,2021.0,
2417,7173,dfo,13.741,1987,,
2418,7173,dfo,13.741,1981,,
2419,7174,dfo,12.849,1983,,
2420,7174,dfo,12.849,2005,2015.0,
2421,7175,hydro,69.547,2007,,
2422,7175,hydro,69.547,1999,,
2423,7175,hydro,69.547,1982,,
2424,7175,hydro,69.547,1999,,
2427,8244,coal,66.746,1996,2022.0,
2428,8244,coal,66.746,1998,2024.0,
2429,8245,coal,524.11,2008,,
2430,8246,ng,75.069,1960,,
2431,8246,ng,75.069,2009,,
2432,8246,ng,75.069,1960,,
2433,8246,ng,75.069,1970,,
2434,8246,ng,75.069,1962,,
2435,8247,coal,87.8,1969,2011.0,
2436,8248,wind,10.208,1987,,
2437,8248,wind,8.833,1979,,
2438,8249,coal,140.211,1979,,
2439,8249,coal,140.211,2000,,
2440,8249,coal,140.211,2009,2025.0,
2441,8249,coal,140.211,2005,2011.0,
2442,8250,hydro,10.844,1969,,
2443,8250,hydro,10.844,2010,,
2444,8250,hydro,1.299,1963,,
2446,8250,hydro,0.7,1976,,
2447,8250,hydro,0.7,1983,,
2457,8252,wind,49.075,1980,,
2458,8253,hydro,9.995,2005,,
2459,8253,hydro,9.995,1995,,
2460,8253,hydro,9.995,2008,,
2462,8255,coal,84.843,1998,,
2463,8256,wind,61.343,2009,,
2464,8257,coal,103.926,1966,,
2465,8257,coal,103.926,1997,2011.0,
2466,8257,coal,103.926,2009,,
2468,8258,hydro,156.25,1993,,
2469,8258,hydro,156.25,1971,,
2471,8260,wind,29.445,1975,,
2472,8261,wind,28.856,1985,,
2473,8262,wind,49.467,1978,,
2474,8263,ng,55.824,1993,,
2475,8263,ng,55.824,1967,,
2476,8264,dfo,0.393,1986,,
2477,8264,dfo,0.393,1970,,
2478,8264,dfo,2.284,1979,2023.0,
2479,8264,dfo,2.284,1996,2012.0,
2480,8264,dfo,3.141,1978,2013.0,
2481,8264,dfo,18.202,1991,,
2482,8264,dfo,18.202,1986,,
2483,8264,dfo,18.202,1970,,
2484,8265,ng,236.205,2006,,
2485,8265,ng,236.205,1987,,
2486,8265,ng,236.205,1962,,
2489,8267,coal,105.718,1987,,
2490,8268,wind,54.178,1996,,
2491,8269,coal,570.698,1979,2014.0,
2492,8270,coal,818.598,1971,,
2493,8270,coal,818.598,1996,,
2494,8270,coal,818.598,1960,2023.0,
2495,8271,wind,14.722,1983,,
2496,8271,wind,33.861,1963,,
2497,8272,wind,29.445,2006,,
2498,8273,nuclear,845.34,1964,,
2499,8273,nuclear,845.34,2006,,
2500,8274,ng,55.824,1976,,
2501,8274,ng,55.824,1976,,
2502,8275,ng,55.824,1987,,
2503,8275,ng,55.824,1962,,
2505,8277,coal,838.576,1980,2011.0,
2506,8277,coal,838.576,1993,,
2507,8278,wind,37.297,2010,,
2508,8279,coal,600.863,2005,2018.0,
2509,8279,coal,600.863,1961,2017.0,
2510,8279,coal,600.863,2008,2011.0,
2511,8280,ng,273.638,1985,,
2512,8280,ng,273.638,1961,,
2513,8280,ng,273.638,2009,,
2514,8281,hydro,6.796,2010,,
2515,8281,hydro,5.997,2006,,
2517,8281,hydro,8.895,1991,,
2518,8281,hydro,8.895,1962,,
2522,8282,ng,7.647,1990,,
2523,8282,ng,7.647,1995,,
2525,8282,ng,7.647,1976,,
2526,8282,ng,8.922,2006,,
2527,8283,dfo,2.141,1983,2013.0,
2528,8283,dfo,2.141,1980,2022.0,
2529,8283,dfo,2.141,2007,,
2533,8283,dfo,2.141,2000,,
2534,8283,dfo,2.141,1974,,
2535,8283,dfo,1.428,1968,2013.0,
2536,8283,dfo,1.428,1968,2020.0,
2537,8283,dfo,1.428,1990,2012.0,
2538,8284,hydro,0.4,1998,,
2539,8284,hydro,0.4,2007,,
2540,8284,hydro,4.598,1995,,
2541,8284,hydro,7.496,1988,,
2542,8284,hydro,7.496,1993,,
2543,8284,hydro,0.4,1975,,
2544,8284,hydro,2.599,1986,,
2545,8284,hydro,2.599,2003,,
2546,8284,hydro,4.598,2000,,
2547,8284,hydro,4.598,1964,,
2548,8284,hydro,4.598,1999,,
2550,8286,wind,136.82,2000,,
2551,8287,dfo,37.904,1995,,
2552,8288,wind,78.519,1969,,
2556,8289,hydro,12.793,1994,,
2557,8289,hydro,6.097,1982,,
2558,8289,hydro,6.097,1983,,
2559,8290,ng,108.295,1972,,
2560,8290,ng,108.295,1992,,
2561,8290,ng,108.295,1990,,
2562,8290,ng,108.295,1964,,
2563,8291,ng,219.216,1979,,
2564,8291,ng,219.216,1996,,
2565,8291,ng,219.216,1967,,
2566,8291,ng,219.216,1963,,
2567,8292,wind,51.528,1972,,
2568,8381,dfo,18.6,2010,2018.0,
2569,8382,solar,12.842,1998,,
2571,8382,solar,4.353,2001,,
2572,8382,solar,1.415,2000,,
2573,8382,solar,1.306,1990,,
2574,8383,ng,5.392,1993,,
2575,8383,ng,5.392,2003,,
2579,8383,ng,5.392,1960,,
2580,8383,ng,3.715,1969,,
2581,8383,ng,2.396,2008,,
2582,8384,dfo,26.0,1975,,
2583,8384,dfo,26.0,1975,2012.0,
2584,8384,dfo,18.5,1986,2021.0,
2585,8384,dfo,12.5,1989,,
2586,8385,ng,60.392,1989,,
2587,8385,ng,60.392,1979,,
2588,8385,ng,60.392,1981,,
2589,8386,ng,57.516,2008,,
2590,8386,ng,57.516,2000,,
2591,8387,ng,54.041,1961,,
2592,8388,ng,238.247,2002,,
2593,8388,ng,238.247,1987,,
2594,8388,ng,238.247,1984,,
2595,8388,ng,238.247,2006,,
2596,8388,ng,238.247,1990,,
2597,8388,ng,238.247,1997,,
2600,8390,ng,110.239,2004,,
2601,8390,ng,110.239,2007,,
2602,8391,dfo,20.0,1962,2015.0,
2603,8392,coal,445.5,1985,2014.0,
2606,8394,ng,278.712,2006,,
2607,8394,ng,278.712,1965,,
2608,9055,dfo,37.892,1985,,
2609,9055,dfo,37.892,1975,2021.0,
2610,9056,ng,300.562,2001,,
2611,9056,ng,300.562,1978,,
2612,9057,ng,354.036,1979,,
2613,9058,ng,224.039,1986,,
2614,9059,nuclear,841.015,1974,,
2615,9059,nuclear,841.015,2010,,
2616,9060,solar,2.228,1974,,
2617,9060,solar,3.343,1999,,
2618,9060,solar,4.457,1963,,
2621,9062,ng,10.51,1960,,
2622,9063,dfo,0.965,1983,2025.0,
2625,9064,hydro,10.0,1988,,
2626,9064,hydro,10.0,1999,,
2627,9065,wind,11.875,1966,,
2629,9067,ng,190.848,1978,,
2630,9068,dfo,2.715,1989,,
2631,9068,dfo,2.715,2005,2019.0,
2632,9068,dfo,2.715,1966,,
2633,9068,dfo,2.715,1996,2012.0,
2634,9068,dfo,2.715,2003,,
2635,9068,dfo,2.715,2002,,
2636,9069,coal,228.447,1999,2013.0,
2637,9070,ng,177.516,1970,,
2638,9070,ng,177.516,1977,,
2639,9070,ng,177.516,1984,,
2640,9071,wind,47.5,1980,,
2645,9074,ng,12.299,1961,,
2646,9074,ng,12.299,2010,,
2647,9074,ng,12.299,1997,,
2648,9075,wind,83.125,1989,,
2649,9076,ng,28.157,1972,,
2651,9076,ng,28.157,1997,,
2652,9076,ng,28.157,2000,,
2653,9076,ng,28.157,1975,,
2655,9077,dfo,20.7,1992,,
2656,9077,dfo,20.7,1990,2025.0,
2657,9077,dfo,20.7,1961,,
2658,9077,dfo,20.7,2009,2014.0,
2659,9077,dfo,20.7,1994,,
2660,9077,dfo,20.7,2005,2016.0,
2661,9078,ng,356.157,1978,,
2662,9078,ng,356.157,2003,,
2663,9078,ng,356.157,2003,,
2664,9078,ng,356.157,1997,,
2665,9079,ng,244.875,2006,,
2667,9081,dfo,90.367,2007,2024.0,
2668,9081,dfo,90.367,1992,2017.0,
2671,9083,dfo,7.973,2000,2025.0,
2672,9084,solar,2.228,2002,,
2673,9084,solar,3.12,1995,,
2674,9084,solar,4.457,1981,,
2675,9084,solar,4.68,2005,,
2676,9084,solar,1.783,1978,,
2678,9084,solar,2.228,1980,,
2679,9084,solar,2.228,1978,,
2680,9085,coal,195.527,2008,,
2681,9085,coal,195.527,1970,,
2682,9085,coal,195.527,1992,2014.0,
2683,9086,dfo,8.686,2003,2018.0,
2684,9086,dfo,8.686,1986,2015.0,
2685,9086,dfo,8.686,1986,,
2686,9086,dfo,8.686,1988,2015.0,
2687,9087,ng,133.132,1965,,
2689,9088,dfo,10.491,1983,2022.0,
2690,9088,dfo,10.491,2009,,
2691,9089,coal,363.122,1989,,
2692,9089,coal,363.122,1998,2016.0,
2693,9090,dfo,0.357,1982,,
2694,9090,dfo,0.357,1995,,
2695,9090,dfo,0.42,1967,2013.0,
2696,9090,dfo,0.42,1974,,
2701,9091,coal,624.49,1992,,
2702,9091,coal,624.49,1977,2018.0,
2703,9092,coal,246.903,2004,,
2704,9092,coal,246.903,1985,2019.0,
2705,9093,solar,2.228,1996,,
2706,9093,solar,6.24,1978,,
2708,9094,dfo,6.714,2001,2022.0,
2709,9095,dfo,0.755,1987,,
2710,9095,dfo,0.755,2007,,
2711,9095,dfo,0.755,1965,2015.0,
2712,9095,dfo,0.755,1972,2012.0,
2713,9095,dfo,0.755,1963,,
2714,9096,ng,10.75,1963,,
2715,9096,ng,10.75,1968,,
2717,9097,dfo,2.35,2005,,
2718,9097,dfo,2.35,1987,2017.0,
2719,9097,dfo,2.35,2010,,
2720,9097,dfo,2.35,1996,2015.0,
2721,9097,dfo,2.35,1985,2012.0,
2722,9097,dfo,2.35,1987,,
2723,9098,dfo,134.209,1988,,
2724,9098,dfo,134.209,2005,2015.0,
2725,9098,dfo,134.209,1976,,
2726,9098,dfo,134.209,1985,,
2727,9098,dfo,134.209,1992,2015.0,
2728,9098,dfo,134.209,1974,2016.0,
2729,9099,ng,44.255,2004,,
2730,9099,ng,44.255,1963,,
2731,9099,ng,44.255,1972,,
2732,9099,ng,44.255,1986,,
2734,9099,ng,44.255,1991,,
2735,9100,ng,20.283,1964,,
2736,9100,ng,20.283,1979,,
2739,9102,wind,47.5,1980,,
2740,9103,dfo,22.282,1995,2012.0,
2741,9103,dfo,22.282,1976,2021.0,
2742,9103,dfo,22.282,1967,,
2743,9103,dfo,22.282,1960,,
2744,9104,hydro,88.467,1964,,
2746,9104,hydro,88.467,1997,,
2747,9104,hydro,88.467,1965,,
2755,9631,ng,282.725,1977,,
2756,9631,ng,282.725,1986,,
2757,9631,ng,282.725,1968,,
2758,9631,ng,282.725,1961,,
2759,9632,dfo,2.008,1964,2011.0,
2760,9633,ng,52.593,1995,,
2761,9633,ng,52.593,1965,,
2768,9636,dfo,1.807,1966,2018.0,
2772,9637,hydro,21.734,1978,,
2773,9638,coal,163.327,1971,2016.0,
2774,9638,coal,163.327,2002,,
2775,9638,coal,163.327,2009,2019.0,
2777,9639,hydro,0.755,1970,,
2778,9640,hydro,2.092,1968,,
2779,9640,hydro,2.092,1973,,
2780,9641,ng,151.923,1984,,
2781,9641,ng,151.923,1994,,
2782,9642,dfo,0.904,1972,2017.0,
2783,9643,ng,121.706,2006,,
2784,9643,ng,121.706,2009,,
2785,9643,ng,121.706,2006,,
2786,9643,ng,121.706,2004,,
2787,9643,ng,121.706,1969,,
2794,9645,dfo,6.858,1976,,
2795,9645,dfo,6.858,1985,2013.0,
2796,9645,dfo,6.858,2003,2021.0,
2797,9646,hydro,0.62,1967,,
2798,9646,hydro,0.62,1984,,
2799,9646,hydro,0.62,1990,,
2801,9647,hydro,0.62,1996,,
2802,9647,hydro,0.62,1971,,
2803,9648,coal,116.048,1973,,
2805,9649,hydro,1.162,1994,,
2806,9650,coal,48.07,1987,,
2807,9650,coal,48.07,1996,2019.0,
2811,9653,ng,89.767,1997,,
2812,9653,ng,89.767,1989,,
2813,9653,ng,89.767,1977,,
2814,9653,ng,89.767,1974,,
2815,9654,hydro,554.399,1977,,
2816,9654,hydro,554.399,1976,,
2817,9654,hydro,554.399,1999,,
2819,9654,hydro,554.399,2007,,
2820,9654,hydro,554.399,1990,,
2821,9655,hydro,0.581,1993,,
2823,9655,hydro,0.581,1984,,
2825,9656,hydro,4.3,1991,,
2826,9656,hydro,4.3,1998,,
2827,9657,hydro,2.906,1979,,
