date,facility_name,upgrade
2011-01-01,Southwark - Delaware 138 kV Line 2,baseline reliability upgrade
2011-01-01,Mint Arm - Oneta Energy Ctr 138 kV,baseline reliability upgrade
2011-01-01,Freewater - Jenkintown 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Angora - Taft Cogeneration Facility 138 kV Line 1,baseline reliability upgrade
2011-01-01,New Hogan - Perry St 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,El Porta - Indian Springs 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Municipal Light - Penrose 138 kV,baseline reliability upgrade
2011-01-01,Municipal Light - Penrose 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Penrose - Morgan 138 kV #1,baseline reliability upgrade
2011-01-01,Mrgan - Penrose 138 kV,baseline reliability upgrade
2011-01-01,Watercure - Sheldon Springs Hydroelectric 138 kV #1,baseline reliability upgrade
2011-01-01,Noxon Substation - Epsy 138 kV #1,baseline reliability upgrade
2011-01-01,Noxon Substation - Westwood Generation Llc 138 kV #1,baseline reliability upgrade
2011-01-01,Kine Township Cogen Facility - Rio Verde Substation 138 kV Line 1,baseline reliability upgrade
2011-01-01,Sub 7011 161-138 kV Auto #1,baseline reliability upgrade
2011-01-01,E Knoxville - Merchandise 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Archbald Power Sta 500/345 kV Auto Bank 1,baseline reliability upgrade
2011-01-01,Archbald Pwer Sta Substation 345 kV/138 kV Autotransformer #1,baseline reliability upgrade
2011-01-01,Eddystone 138 kV/18 kV Auto Bank 1,baseline reliability upgrade
2011-01-01,Bucks Crk - Eddystoe 138 kV #1,baseline reliability upgrade
2011-01-01,Indiantown Cogeneration Lp - Peach Bottom 345 kV,baseline reliability upgrade
2011-01-01,Shred 345-138 kV Auto,baseline reliability upgrade
2011-01-01,Wallenpaupack 500/345kV Auto,baseline reliability upgrade
2011-01-01,Wallenpaupack 161-138 kV Auto Unit 1,baseline reliability upgrade
2011-01-01,Syl Laskin - Kammer 345 kV Line 1,baseline reliability upgrade
2011-01-01,Syl Laskin - Potlatch 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Walton Discover Power Facility - Cuyamungue Tap Jmec 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Elbe - Walton Discover Power Facility 138 kV,baseline reliability upgrade
2011-01-01,Spencer - Hill Country 345 138 kV,baseline reliability upgrade
2011-01-01,Hill Country 345 Substation - Patterson Pass 138 kV L,baseline reliability upgrade
2011-01-01,Yukon - Fairview 138 kV #1,baseline reliability upgrade
2011-01-01,Yukon - Sevierville 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Logans Ferry - Ss3143 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Spencer - Fairview 138 kV,baseline reliability upgrade
2011-01-01,Firmont - Mon Valley Works Illinois 138 kV L,baseline reliability upgrade
2011-01-01,Farmont - Koksilah Tap 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Cuyamungue Tap Jmec - Logans Ferry 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Elbe - Wnchester 138 kV line,baseline reliability upgrade
2011-01-01,Tenaya-Northgate - Richland Chambers Substation 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,E Port Orchard - Aes Beaver Valley Partners Beaver Vly 138 kV,baseline reliability upgrade
2011-01-01,S Lake Geneva - Zane 100 kV Ckt 1,baseline reliability upgrade
2011-01-01,Empire - S Lake Geneva 100 kV Ckt 1,baseline reliability upgrade
2011-01-01,Mahoning - Westfield Substation 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,La Conner - Gum Street 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,La Conner - Zoar 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,E Waynesboro - La Conner 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Elgin Switching - Gum St 138 kV #1,baseline reliability upgrade
2011-01-01,Elgin Switching - Uncer 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Uncer Substation - Chambersburg 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Mwd Eastside Res - Bitter Creek 138 kV Line,baseline reliability upgrade
2011-01-01,Tornado - Bitter Creek Substation 138 kV,baseline reliability upgrade
2011-01-01,Fletcher - Tornado 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,West Waynesboro 345 kV/138 kV Autotransformer #1,baseline reliability upgrade
2011-01-01,Mntauk - West Waynesboro 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,W Waynesboro - E Waynesboro 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Montauk - Boundary 138 kV #1,baseline reliability upgrade
2011-01-01,Merritt Park - Reid Substation 138 kV,baseline reliability upgrade
2011-01-01,Boundary - Reid 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Carbon Limestone - Tenaya-Northgate 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Carbon Limestone - Tartesso 138 kV #1,baseline reliability upgrade
2011-01-01,Gillett 100/1 kV Auto,baseline reliability upgrade
2011-01-01,Oracle - Saint Landry 100 kV Cir. 1,baseline reliability upgrade
2011-01-01,Cassidy - Old Hickory 100 kV Line 1,baseline reliability upgrade
2011-01-01,Hato Rey Gis 1403-1404 - Pinehrst 345 kV Line,baseline reliability upgrade
2011-01-01,Youngwood - Sevierville 345 kV Line 1,baseline reliability upgrade
2011-01-01,Sevierville 345-138 kV Autotransformer #1,baseline reliability upgrade
2011-01-01,Detoit - Ridgeley 345 kV Line 1,baseline reliability upgrade
2011-01-01,Detroit - Black Oak 138 kV Line 1,baseline reliability upgrade
2011-01-01,Norfork 500-345 kV Autotransformer Bank 1,baseline reliability upgrade
2011-01-01,Norfork - Hassayampa Tap 345 kV Cir. 1,baseline reliability upgrade
2011-01-01,Homer City 500 kV/345 kV Autotransformer #1,baseline reliability upgrade
2011-01-01,Ronco - Firstenergy Ft Martin Power Station Substation 345 kV Line 1,baseline reliability upgrade
2011-01-01,Lsu 500/345 kV Autotransformer Bank 1,baseline reliability upgrade
2011-01-01,Hogal - Culebra 3801 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Peavine - Astoria 138 kV,baseline reliability upgrade
2011-01-01,Astoria - Peavine 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Peavine - Gentilly Road 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Astoria - Wellman Substation 138 kV #1,baseline reliability upgrade
2011-01-01,Astoria - Wellman 138 kV #2,baseline reliability upgrade
2011-01-01,Red Lion Energy Ctr - Delaware City Plant 138 kV,baseline reliability upgrade
2011-01-01,Flournoy - Westwego 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Ss3140 - Bethpage 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Bethage Substation - Luquillo 2201 138 kV Line 1,baseline reliability upgrade
2011-01-01,Ess Lewes Substation - Woodenshoe 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Ess Lewes - Rehoboth 138 kV,baseline reliability upgrade
2011-01-01,Siggen - Dorset 138 kV,baseline reliability upgrade
2011-01-01,Harvard Substation - Dorset 138 kV #1,baseline reliability upgrade
2011-01-01,Harvard - N Rutland Substation 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Ss3140 - Riley Generating Sta Substation 138 kV Line,baseline reliability upgrade
2011-01-01,Westwego - Cidra Pueblo 138 kV #1,baseline reliability upgrade
2011-01-01,Lower Village Water Power Project - Manistique 138 kV,baseline reliability upgrade
2011-01-01,Carrcroft 138 kV/14 kV TX,baseline reliability upgrade
2011-01-01,Monochem - Nicholson 138 kV line,baseline reliability upgrade
2011-01-01,Monochem - Ridgeley 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Aes Warrior Run Cogeneration Facility - Westrock Southeast Llc 138 kV #1,baseline reliability upgrade
2011-01-01,Aes Warrior Run Cogeneration Facility Substation - Ridgeley 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Txi - Shunock 138 kV,baseline reliability upgrade
2011-01-01,Chenoweth - Txi 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Frotburg 1 - Ascutney 138 kV #1,baseline reliability upgrade
2011-01-01,Frostburg 1 - Mt Angel 138 kV Line 1,baseline reliability upgrade
2011-01-01,Royalton - Tecuya 138 kV,baseline reliability upgrade
2011-01-01,South Manchester - Dinosaur 138 kV #1,baseline reliability upgrade
2011-01-01,Eastpoint - S Manchester 138 kV,baseline reliability upgrade
2011-01-01,S Manchester - Eastpoint 138 kV,baseline reliability upgrade
2011-01-01,Berkeley F - Gray Manor 138 kV #1,baseline reliability upgrade
2011-01-01,Portner - Berkeley F 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Kenyon Substation - Gray Manor Substation 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Erdman - Monument Street 138 kV,baseline reliability upgrade
2011-01-01,Shaw Rd - Bge Timonium 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Weston Village - Eaymond 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Purewater - Eaymond 138 kV,baseline reliability upgrade
2011-01-01,Dos Palos - White Plains 138 kV L,baseline reliability upgrade
2011-01-01,Purewater - Clinton Power Station 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Weston Village - 7Th St Substation 138 kV #1,baseline reliability upgrade
2011-01-01,Riverside 2 - Portner 138 kV line,baseline reliability upgrade
2011-01-01,Valley Way - Austin 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Valley Way - Austin 138 kV #2,baseline reliability upgrade
2011-01-01,Vly Way - Austin 138 kV Circuit 3,baseline reliability upgrade
2011-01-01,6Th S - White Plains 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,6Th S - Falls Hydro 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Rattlesnake - Hacienda Las Carolinas 138 kV Line 1,baseline reliability upgrade
2011-01-01,Pingree - Falls Hydro 138 kV Line 1,baseline reliability upgrade
2011-01-01,7Th St - Goudchaux 138 kV line,baseline reliability upgrade
2011-01-01,Goudchaux - 7Th Street Substation 138 kV Line 2,baseline reliability upgrade
2011-01-01,Decatur Adm North - Trumbull 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Plant Avenue Substation - Joppatowne 138 kV,baseline reliability upgrade
2011-01-01,Plant Avenue - Joppatowne 138 kV Line 2,baseline reliability upgrade
2011-01-01,7Th Street - Austin 138 kV Line 2,baseline reliability upgrade
2011-01-01,Fullerton Substation - Hartley 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Sulphur Springs 138/1kV XFMR T1,baseline reliability upgrade
2011-01-01,Sulphur Springs - Bengies 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Bengies - Sulphur Springs 138 kV Line 2,baseline reliability upgrade
2011-01-01,Middle River - Pahokee 138 kV,baseline reliability upgrade
2011-01-01,Wolf Rd - Hazelwood 138 kV,baseline reliability upgrade
2011-01-01,Hazelwood Substation - Oroville 138 kV Line 1,baseline reliability upgrade
2011-01-01,Oroville - Gunpowder 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Tulloch Tap - Hartley Substation 138 kV line,baseline reliability upgrade
2011-01-01,Hartley - Raphael Road 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Hartley - Raphael Rd 138 kV #2,baseline reliability upgrade
2011-01-01,Joppatowne - Raphael Road 138 kV #1,baseline reliability upgrade
2011-01-01,Pana - Merchandise 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Lochern - Pana 138 kV #1,baseline reliability upgrade
2011-01-01,Skaggs Branch Substation - Wolf Rd 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Greene Street Station - Orchard St 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Coldspring - Lilac 138 kV,baseline reliability upgrade
2011-01-01,Tyhee - Ctr 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Purewater - East Towson 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Ctr - E Owson 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Sollers Warf - Port Wing 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Sollers Warf Substation - Calvert Cliffs 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Calvert Cliffs - Sollers Warf 138 kV Cir. 2,baseline reliability upgrade
2011-01-01,Burns Lake - Omro 138 kV line,baseline reliability upgrade
2011-01-01,Omro - Hillsboro 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Pasco Cnty Solid Waste Resource Recovery Substation - Cidra Pueblo 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Pasco Cnty Solid Waste Resource Recovery - Butler Ridge 138 kV,baseline reliability upgrade
2011-01-01,Burns Lake - Butler Ridge 138 kV Line 1,baseline reliability upgrade
2011-01-01,Eagle Valley In - Gentilly Road 138 kV #1,baseline reliability upgrade
2011-01-01,Fontier - Unisource Sq Hi 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Rock Springs - Hogan 138 kV,baseline reliability upgrade
2011-01-01,Holland - Conowingo 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Great Falls Rainbow - Panama 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Havre Assinniboine - Huntington Beach 138 kV,baseline reliability upgrade
2011-01-01,Huntington Beach - Havre Assinniboine 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Badrock - Grinding Substation 138 kV #1,baseline reliability upgrade
2011-01-01,Norml West-Parkside Substaition - Bethesda 138 kV,baseline reliability upgrade
2011-01-01,Pepco 117 - Grinding 138 kV #1,baseline reliability upgrade
2011-01-01,Grinding Substation - Pepco 117 138 kV Ckt 2,baseline reliability upgrade
2011-01-01,Squamish - Grinding 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Witer - Seek Lane 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Lyonsdale Associates - Pepco 117 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Cia - Alto 138 kV Line 1,baseline reliability upgrade
2011-01-01,Air Force Base - Cia 138 kV,baseline reliability upgrade
2011-01-01,Cia - Air Force Base 138 kV #2,baseline reliability upgrade
2011-01-01,Soutwest - Luxemburg 24.9 138 kV Ckt 3,baseline reliability upgrade
2011-01-01,Glen Carlyn - Arlington 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Orrington - Riley Generating Station 138 kV Line 1,baseline reliability upgrade
2011-01-01,Thurmont - Caledonia Switching Yard 138 kV,baseline reliability upgrade
2011-01-01,Yost Bridge - N Alderwood 138 kV,baseline reliability upgrade
2011-01-01,N Strasbug - Yost Bridge 138 kV Line 1,baseline reliability upgrade
2011-01-01,Twin Bridges - Ferncliff 138 kV Line,baseline reliability upgrade
2011-01-01,Twin Bridges - De Sabla 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Caera D.S - N Strasburg Substation 138 kV #1,baseline reliability upgrade
2011-01-01,Calera D.S - Onion Creek 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Las Cruces 3602 Substation - Pixley 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Las Cruces 3602 - White Sands Missile Range 138 kV #1,baseline reliability upgrade
2011-01-01,Nauvoo - Baker St 138 kV,baseline reliability upgrade
2011-01-01,Mount Storm - Nauvoo 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Quilcene - Lake Tradition 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Bagley - Quilcene 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Berkshire - Soport 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Bagley Substation - Keystone Hts Electric 138 kV Cir. 1,baseline reliability upgrade
2011-01-01,Berkshire - Ford Drive 138 kV,baseline reliability upgrade
2011-01-01,Harford - Sharon Amtrak 138 kV Ckt 1,baseline reliability upgrade
2011-01-01,Park Ave - Pluess 138 kV Circuit 1,baseline reliability upgrade
2011-01-01,Park Ave - Pluess 138 kV #2,baseline reliability upgrade
2011-01-01,Pomerado - St Crispin 138 kV #1,baseline reliability upgrade
2011-01-01,Ackley - Montpelier 138 kV Line 1,baseline reliability upgrade
