project_id,study_type,publication_date,template,pdf_path
Q11-0053,system_impact,2013-02-02,B,data/studies/pdf/q110053_imp.pdf
Q11-0055,system_impact,2013-01-17,B,data/studies/pdf/q110055_imp.pdf
Q11-0064,system_impact,2013-01-16,B,data/studies/pdf/q110064_imp.pdf
Q11-0071,system_impact,2013-01-23,C,data/studies/pdf/q110071_imp.pdf
Q11-0089,system_impact,2013-01-29,B,data/studies/pdf/q110089_imp.pdf
Q12-0097,system_impact,2013-01-30,B,data/studies/pdf/q120097_imp.pdf
Q11-0025,system_impact,2013-02-27,A,data/studies/pdf/q110025_imp.pdf
Q11-0041,system_impact,2013-02-22,C,data/studies/pdf/q110041_imp.pdf
Q11-0049,system_impact,2013-03-01,B,data/studies/pdf/q110049_imp.pdf
Q11-0062,system_impact,2013-02-27,B,data/studies/pdf/q110062_imp.pdf
Q11-0074,system_impact,2013-03-05,C,data/studies/pdf/q110074_imp.pdf
Q11-0083,system_impact,2013-02-19,C,data/studies/pdf/q110083_imp.pdf
Q11-0086,system_impact,2013-03-06,B,data/studies/pdf/q110086_imp.pdf
Q12-0107,system_impact,2013-03-04,B,data/studies/pdf/q120107_imp.pdf
Q11-0028,system_impact,2013-03-15,A,data/studies/pdf/q110028_imp.pdf
Q11-0032,system_impact,2013-03-19,B,data/studies/pdf/q110032_imp.pdf
Q11-0067,system_impact,2013-03-22,B,data/studies/pdf/q110067_imp.pdf
Q11-0069,system_impact,2013-03-19,B,data/studies/pdf/q110069_imp.pdf
Q11-0088,system_impact,2013-03-21,B,data/studies/pdf/q110088_imp.pdf
Q12-0091,system_impact,2013-03-22,C,data/studies/pdf/q120091_imp.pdf
Q12-0101,system_impact,2013-03-16,B,data/studies/pdf/q120101_imp.pdf
Q12-0111,system_impact,2013-03-16,B,data/studies/pdf/q120111_imp.pdf
Q12-0112,system_impact,2013-03-17,C,data/studies/pdf/q120112_imp.pdf
Q12-0115,system_impact,2013-04-03,B,data/studies/pdf/q120115_imp.pdf
Q11-0027,system_impact,2013-04-23,B,data/studies/pdf/q110027_imp.pdf
Q11-0061,system_impact,2013-04-30,B,data/studies/pdf/q110061_imp.pdf
Q12-0094,system_impact,2013-04-15,B,data/studies/pdf/q120094_imp.pdf
Q12-0116,system_impact,2013-04-24,B,data/studies/pdf/q120116_imp.pdf
Q12-0122,system_impact,2013-04-20,B,data/studies/pdf/q120122_imp.pdf
Q11-0039,system_impact,2013-05-28,C,data/studies/pdf/q110039_imp.pdf
Q11-0057,system_impact,2013-05-15,B,data/studies/pdf/q110057_imp.pdf
Q11-0059,system_impact,2013-05-19,B,data/studies/pdf/q110059_imp.pdf
Q11-0080,system_impact,2013-06-03,B,data/studies/pdf/q110080_imp.pdf
Q12-0106,system_impact,2013-06-03,B,data/studies/pdf/q120106_imp.pdf
Q12-0118,system_impact,2013-05-15,A,data/studies/pdf/q120118_imp.pdf
Q11-0040,system_impact,2013-06-25,C,data/studies/pdf/q110040_imp.pdf
Q11-0065,system_impact,2013-06-18,A,data/studies/pdf/q110065_imp.pdf
Q11-0076,system_impact,2013-07-04,B,data/studies/pdf/q110076_imp.pdf
Q12-0103,system_impact,2013-07-04,B,data/studies/pdf/q120103_imp.pdf
Q12-0127,system_impact,2013-06-17,A,data/studies/pdf/q120127_imp.pdf
Q12-0121,system_impact,2013-07-28,C,data/studies/pdf/q120121_imp.pdf
Q12-0142,system_impact,2013-07-20,B,data/studies/pdf/q120142_imp.pdf
Q11-0048,system_impact,2013-08-21,C,data/studies/pdf/q110048_imp.pdf
Q11-0050,system_impact,2013-08-15,A,data/studies/pdf/q110050_imp.pdf
Q11-0081,system_impact,2013-08-24,B,data/studies/pdf/q110081_imp.pdf
Q12-0095,system_impact,2013-08-30,B,data/studies/pdf/q120095_imp.pdf
Q12-0132,system_impact,2013-08-24,C,data/studies/pdf/q120132_imp.pdf
Q12-0151,system_impact,2013-08-26,B,data/studies/pdf/q120151_imp.pdf
Q12-0154,system_impact,2013-09-01,C,data/studies/pdf/q120154_imp.pdf
Q12-0157,system_impact,2013-09-01,C,data/studies/pdf/q120157_imp.pdf
Q12-0161,system_impact,2013-08-16,A,data/studies/pdf/q120161_imp.pdf
Q11-0051,system_impact,2013-09-30,B,data/studies/pdf/q110051_imp.pdf
Q11-0079,system_impact,2013-09-28,A,data/studies/pdf/q110079_imp.pdf
Q12-0098,system_impact,2013-09-15,A,data/studies/pdf/q120098_imp.pdf
Q12-0100,system_impact,2013-09-16,B,data/studies/pdf/q120100_imp.pdf
Q11-0058,system_impact,2013-10-27,B,data/studies/pdf/q110058_imp.pdf
Q11-0078,system_impact,2013-11-03,C,data/studies/pdf/q110078_imp.pdf
Q12-0131,system_impact,2013-10-15,C,data/studies/pdf/q120131_imp.pdf
Q12-0182,system_impact,2013-10-18,B,data/studies/pdf/q120182_imp.pdf
Q12-0102,system_impact,2013-11-25,B,data/studies/pdf/q120102_imp.pdf
Q12-0126,system_impact,2013-11-21,B,data/studies/pdf/q120126_imp.pdf
Q12-0141,system_impact,2013-11-25,B,data/studies/pdf/q120141_imp.pdf
Q12-0155,system_impact,2013-11-20,A,data/studies/pdf/q120155_imp.pdf
Q12-0108,system_impact,2013-12-22,C,data/studies/pdf/q120108_imp.pdf
Q12-0158,system_impact,2013-12-23,C,data/studies/pdf/q120158_imp.pdf
Q12-0167,system_impact,2013-12-19,B,data/studies/pdf/q120167_imp.pdf
Q12-0170,system_impact,2013-12-24,B,data/studies/pdf/q120170_imp.pdf
Q12-0171,system_impact,2013-12-21,B,data/studies/pdf/q120171_imp.pdf
Q12-0172,system_impact,2014-01-03,B,data/studies/pdf/q120172_imp.pdf
Q13-0198,system_impact,2013-12-19,B,data/studies/pdf/q130198_imp.pdf
Q11-0084,system_impact,2014-02-01,C,data/studies/pdf/q110084_imp.pdf
Q12-0092,system_impact,2014-01-27,B,data/studies/pdf/q120092_imp.pdf
Q12-0109,system_impact,2014-01-24,A,data/studies/pdf/q120109_imp.pdf
Q12-0110,system_impact,2014-01-26,A,data/studies/pdf/q120110_imp.pdf
Q12-0119,system_impact,2014-01-26,C,data/studies/pdf/q120119_imp.pdf
Q12-0139,system_impact,2014-01-21,B,data/studies/pdf/q120139_imp.pdf
Q12-0140,system_impact,2014-01-23,B,data/studies/pdf/q120140_imp.pdf
Q12-0147,system_impact,2014-01-31,A,data/studies/pdf/q120147_imp.pdf
Q12-0152,system_impact,2014-02-03,B,data/studies/pdf/q120152_imp.pdf
Q12-0160,system_impact,2014-01-31,B,data/studies/pdf/q120160_imp.pdf
Q12-0163,system_impact,2014-01-25,C,data/studies/pdf/q120163_imp.pdf
Q12-0164,system_impact,2014-02-02,C,data/studies/pdf/q120164_imp.pdf
Q12-0174,system_impact,2014-01-22,B,data/studies/pdf/q120174_imp.pdf
Q13-0191,system_impact,2014-01-19,B,data/studies/pdf/q130191_imp.pdf
Q12-0146,system_impact,2014-02-20,A,data/studies/pdf/q120146_imp.pdf
Q12-0186,system_impact,2014-02-25,C,data/studies/pdf/q120186_imp.pdf
Q12-0187,system_impact,2014-02-28,B,data/studies/pdf/q120187_imp.pdf
Q12-0190,system_impact,2014-02-16,A,data/studies/pdf/q120190_imp.pdf
Q13-0225,system_impact,2014-02-15,A,data/studies/pdf/q130225_imp.pdf
Q12-0099,system_impact,2014-03-25,B,data/studies/pdf/q120099_imp.pdf
Q12-0128,system_impact,2014-04-03,B,data/studies/pdf/q120128_imp.pdf
Q12-0150,system_impact,2014-03-30,B,data/studies/pdf/q120150_imp.pdf
Q12-0166,system_impact,2014-03-20,C,data/studies/pdf/q120166_imp.pdf
Q13-0208,system_impact,2014-03-17,B,data/studies/pdf/q130208_imp.pdf
Q13-0223,system_impact,2014-03-25,C,data/studies/pdf/q130223_imp.pdf
Q12-0113,system_impact,2014-04-16,B,data/studies/pdf/q120113_imp.pdf
Q12-0117,system_impact,2014-05-28,B,data/studies/pdf/q120117_imp.pdf
Q12-0120,system_impact,2014-05-28,C,data/studies/pdf/q120120_imp.pdf
Q12-0129,system_impact,2014-05-17,B,data/studies/pdf/q120129_imp.pdf
Q12-0137,system_impact,2014-05-26,A,data/studies/pdf/q120137_imp.pdf
Q12-0144,system_impact,2014-05-17,B,data/studies/pdf/q120144_imp.pdf
Q12-0145,system_impact,2014-05-29,C,data/studies/pdf/q120145_imp.pdf
Q12-0169,system_impact,2014-05-26,B,data/studies/pdf/q120169_imp.pdf
Q13-0199,system_impact,2014-05-20,B,data/studies/pdf/q130199_imp.pdf
Q13-0206,system_impact,2014-05-29,B,data/studies/pdf/q130206_imp.pdf
Q13-0222,system_impact,2014-05-15,B,data/studies/pdf/q130222_imp.pdf
Q13-0243,system_impact,2014-06-02,B,data/studies/pdf/q130243_imp.pdf
Q13-0253,system_impact,2014-05-18,B,data/studies/pdf/q130253_imp.pdf
Q12-0123,system_impact,2014-06-27,C,data/studies/pdf/q120123_imp.pdf
Q12-0130,system_impact,2014-07-02,B,data/studies/pdf/q120130_imp.pdf
Q12-0133,system_impact,2014-06-17,A,data/studies/pdf/q120133_imp.pdf
Q12-0138,system_impact,2014-07-04,A,data/studies/pdf/q120138_imp.pdf
Q13-0204,system_impact,2014-06-23,C,data/studies/pdf/q130204_imp.pdf
Q13-0224,system_impact,2014-06-29,C,data/studies/pdf/q130224_imp.pdf
Q13-0254,system_impact,2014-06-23,A,data/studies/pdf/q130254_imp.pdf
Q12-0136,system_impact,2014-07-28,C,data/studies/pdf/q120136_imp.pdf
Q12-0149,system_impact,2014-07-29,B,data/studies/pdf/q120149_imp.pdf
Q12-0159,system_impact,2014-07-23,A,data/studies/pdf/q120159_imp.pdf
Q12-0162,system_impact,2014-07-18,B,data/studies/pdf/q120162_imp.pdf
Q12-0183,system_impact,2014-07-15,B,data/studies/pdf/q120183_imp.pdf
Q13-0202,system_impact,2014-07-30,B,data/studies/pdf/q130202_imp.pdf
Q13-0205,system_impact,2014-07-31,C,data/studies/pdf/q130205_imp.pdf
Q13-0209,system_impact,2014-07-21,C,data/studies/pdf/q130209_imp.pdf
Q13-0235,system_impact,2014-07-28,B,data/studies/pdf/q130235_imp.pdf
Q13-0241,system_impact,2014-07-27,B,data/studies/pdf/q130241_imp.pdf
Q12-0135,system_impact,2014-08-31,A,data/studies/pdf/q120135_imp.pdf
Q12-0143,system_impact,2014-08-19,C,data/studies/pdf/q120143_imp.pdf
Q12-0173,system_impact,2014-08-20,B,data/studies/pdf/q120173_imp.pdf
Q12-0175,system_impact,2014-08-26,B,data/studies/pdf/q120175_imp.pdf
Q13-0207,system_impact,2014-08-18,B,data/studies/pdf/q130207_imp.pdf
Q13-0261,system_impact,2014-08-29,C,data/studies/pdf/q130261_imp.pdf
Q13-0274,system_impact,2014-08-19,A,data/studies/pdf/q130274_imp.pdf
Q13-0275,system_impact,2014-08-15,A,data/studies/pdf/q130275_imp.pdf
Q13-0282,system_impact,2014-08-25,B,data/studies/pdf/q130282_imp.pdf
Q12-0156,system_impact,2014-09-21,B,data/studies/pdf/q120156_imp.pdf
Q12-0168,system_impact,2014-09-22,B,data/studies/pdf/q120168_imp.pdf
Q12-0178,system_impact,2014-09-17,A,data/studies/pdf/q120178_imp.pdf
Q13-0193,system_impact,2014-09-23,A,data/studies/pdf/q130193_imp.pdf
Q13-0251,system_impact,2014-09-22,C,data/studies/pdf/q130251_imp.pdf
Q13-0271,system_impact,2014-09-30,B,data/studies/pdf/q130271_imp.pdf
Q13-0287,system_impact,2014-09-24,A,data/studies/pdf/q130287_imp.pdf
Q12-0181,system_impact,2014-10-31,C,data/studies/pdf/q120181_imp.pdf
Q12-0185,system_impact,2014-10-24,C,data/studies/pdf/q120185_imp.pdf
Q13-0196,system_impact,2014-10-31,B,data/studies/pdf/q130196_imp.pdf
Q13-0200,system_impact,2014-10-18,A,data/studies/pdf/q130200_imp.pdf
Q13-0214,system_impact,2014-10-26,B,data/studies/pdf/q130214_imp.pdf
Q13-0216,system_impact,2014-10-15,A,data/studies/pdf/q130216_imp.pdf
Q13-0217,system_impact,2014-10-29,B,data/studies/pdf/q130217_imp.pdf
Q13-0231,system_impact,2014-10-25,B,data/studies/pdf/q130231_imp.pdf
Q13-0288,system_impact,2014-10-31,B,data/studies/pdf/q130288_imp.pdf
Q13-0220,system_impact,2014-11-17,C,data/studies/pdf/q130220_imp.pdf
Q12-0165,system_impact,2014-12-20,B,data/studies/pdf/q120165_imp.pdf
Q13-0195,system_impact,2014-12-20,C,data/studies/pdf/q130195_imp.pdf
Q13-0221,system_impact,2014-12-30,B,data/studies/pdf/q130221_imp.pdf
Q13-0236,system_impact,2014-12-28,C,data/studies/pdf/q130236_imp.pdf
Q13-0237,system_impact,2014-12-16,B,data/studies/pdf/q130237_imp.pdf
Q13-0240,system_impact,2014-12-28,C,data/studies/pdf/q130240_imp.pdf
Q13-0256,system_impact,2015-01-01,B,data/studies/pdf/q130256_imp.pdf
Q13-0269,system_impact,2014-12-30,B,data/studies/pdf/q130269_imp.pdf
Q13-0278,system_impact,2014-12-19,C,data/studies/pdf/q130278_imp.pdf
Q13-0299,system_impact,2014-12-27,B,data/studies/pdf/q130299_imp.pdf
Q14-0320,system_impact,2015-01-01,B,data/studies/pdf/q140320_imp.pdf
Q12-0179,system_impact,2015-01-17,C,data/studies/pdf/q120179_imp.pdf
Q12-0180,system_impact,2015-01-27,C,data/studies/pdf/q120180_imp.pdf
Q12-0189,system_impact,2015-01-22,A,data/studies/pdf/q120189_imp.pdf
Q13-0194,system_impact,2015-02-01,A,data/studies/pdf/q130194_imp.pdf
Q13-0197,system_impact,2015-02-02,B,data/studies/pdf/q130197_imp.pdf
Q13-0201,system_impact,2015-01-30,B,data/studies/pdf/q130201_imp.pdf
Q13-0211,system_impact,2015-01-23,B,data/studies/pdf/q130211_imp.pdf
Q13-0212,system_impact,2015-01-27,B,data/studies/pdf/q130212_imp.pdf
Q13-0228,system_impact,2015-01-28,B,data/studies/pdf/q130228_imp.pdf
Q13-0234,system_impact,2015-01-31,B,data/studies/pdf/q130234_imp.pdf
Q13-0286,system_impact,2015-01-27,A,data/studies/pdf/q130286_imp.pdf
Q13-0297,system_impact,2015-01-23,C,data/studies/pdf/q130297_imp.pdf
Q14-0312,system_impact,2015-01-24,B,data/studies/pdf/q140312_imp.pdf
Q13-0192,system_impact,2015-02-18,B,data/studies/pdf/q130192_imp.pdf
Q13-0203,system_impact,2015-02-26,B,data/studies/pdf/q130203_imp.pdf
Q13-0215,system_impact,2015-03-03,B,data/studies/pdf/q130215_imp.pdf
Q13-0218,system_impact,2015-02-16,A,data/studies/pdf/q130218_imp.pdf
Q13-0229,system_impact,2015-02-27,B,data/studies/pdf/q130229_imp.pdf
Q14-0332,system_impact,2015-02-24,B,data/studies/pdf/q140332_imp.pdf
Q13-0213,system_impact,2015-04-02,A,data/studies/pdf/q130213_imp.pdf
Q13-0219,system_impact,2015-03-20,B,data/studies/pdf/q130219_imp.pdf
Q13-0226,system_impact,2015-03-16,C,data/studies/pdf/q130226_imp.pdf
Q13-0232,system_impact,2015-03-18,B,data/studies/pdf/q130232_imp.pdf
Q13-0249,system_impact,2015-04-02,B,data/studies/pdf/q130249_imp.pdf
Q13-0267,system_impact,2015-03-30,B,data/studies/pdf/q130267_imp.pdf
Q13-0268,system_impact,2015-03-19,B,data/studies/pdf/q130268_imp.pdf
Q13-0277,system_impact,2015-03-28,C,data/studies/pdf/q130277_imp.pdf
Q13-0298,system_impact,2015-04-03,B,data/studies/pdf/q130298_imp.pdf
Q14-0306,system_impact,2015-03-17,B,data/studies/pdf/q140306_imp.pdf
Q14-0317,system_impact,2015-03-29,C,data/studies/pdf/q140317_imp.pdf
Q14-0321,system_impact,2015-03-17,B,data/studies/pdf/q140321_imp.pdf
Q14-0329,system_impact,2015-03-17,B,data/studies/pdf/q140329_imp.pdf
Q14-0334,system_impact,2015-03-21,B,data/studies/pdf/q140334_imp.pdf
Q14-0345,system_impact,2015-03-30,B,data/studies/pdf/q140345_imp.pdf
Q13-0210,system_impact,2015-05-01,B,data/studies/pdf/q130210_imp.pdf
Q13-0230,system_impact,2015-04-22,B,data/studies/pdf/q130230_imp.pdf
Q13-0238,system_impact,2015-04-21,C,data/studies/pdf/q130238_imp.pdf
Q13-0246,system_impact,2015-04-22,B,data/studies/pdf/q130246_imp.pdf
Q13-0276,system_impact,2015-04-21,B,data/studies/pdf/q130276_imp.pdf
Q13-0280,system_impact,2015-05-02,B,data/studies/pdf/q130280_imp.pdf
Q13-0293,system_impact,2015-04-26,A,data/studies/pdf/q130293_imp.pdf
Q14-0336,system_impact,2015-04-26,B,data/studies/pdf/q140336_imp.pdf
Q13-0242,system_impact,2015-05-16,B,data/studies/pdf/q130242_imp.pdf
Q13-0244,system_impact,2015-05-19,B,data/studies/pdf/q130244_imp.pdf
Q13-0265,system_impact,2015-05-22,A,data/studies/pdf/q130265_imp.pdf
Q13-0272,system_impact,2015-05-30,B,data/studies/pdf/q130272_imp.pdf
Q14-0318,system_impact,2015-06-01,C,data/studies/pdf/q140318_imp.pdf
Q14-0328,system_impact,2015-05-22,A,data/studies/pdf/q140328_imp.pdf
Q13-0233,system_impact,2015-06-16,A,data/studies/pdf/q130233_imp.pdf
Q13-0245,system_impact,2015-06-27,B,data/studies/pdf/q130245_imp.pdf
Q13-0257,system_impact,2015-06-24,A,data/studies/pdf/q130257_imp.pdf
Q13-0283,system_impact,2015-06-28,B,data/studies/pdf/q130283_imp.pdf
Q13-0292,system_impact,2015-06-21,B,data/studies/pdf/q130292_imp.pdf
Q14-0311,system_impact,2015-07-01,C,data/studies/pdf/q140311_imp.pdf
Q14-0319,system_impact,2015-07-03,C,data/studies/pdf/q140319_imp.pdf
Q13-0248,system_impact,2015-07-26,B,data/studies/pdf/q130248_imp.pdf
Q13-0270,system_impact,2015-07-21,C,data/studies/pdf/q130270_imp.pdf
Q13-0279,system_impact,2015-07-22,B,data/studies/pdf/q130279_imp.pdf
Q13-0285,system_impact,2015-07-22,B,data/studies/pdf/q130285_imp.pdf
Q13-0290,system_impact,2015-07-20,B,data/studies/pdf/q130290_imp.pdf
Q14-0325,system_impact,2015-07-16,B,data/studies/pdf/q140325_imp.pdf
Q14-0341,system_impact,2015-07-26,B,data/studies/pdf/q140341_imp.pdf
Q14-0356,system_impact,2015-08-02,C,data/studies/pdf/q140356_imp.pdf
Q14-0363,system_impact,2015-07-16,C,data/studies/pdf/q140363_imp.pdf
Q14-0369,system_impact,2015-07-16,C,data/studies/pdf/q140369_imp.pdf
Q14-0380,system_impact,2015-08-02,B,data/studies/pdf/q140380_imp.pdf
Q13-0247,system_impact,2015-08-25,B,data/studies/pdf/q130247_imp.pdf
Q13-0250,system_impact,2015-08-29,B,data/studies/pdf/q130250_imp.pdf
Q13-0252,system_impact,2015-08-25,B,data/studies/pdf/q130252_imp.pdf
Q13-0258,system_impact,2015-08-22,B,data/studies/pdf/q130258_imp.pdf
Q13-0294,system_impact,2015-08-21,B,data/studies/pdf/q130294_imp.pdf
Q14-0301,system_impact,2015-08-26,A,data/studies/pdf/q140301_imp.pdf
Q14-0305,system_impact,2015-08-26,C,data/studies/pdf/q140305_imp.pdf
Q14-0307,system_impact,2015-08-24,B,data/studies/pdf/q140307_imp.pdf
Q14-0313,system_impact,2015-08-28,B,data/studies/pdf/q140313_imp.pdf
Q14-0355,system_impact,2015-08-15,C,data/studies/pdf/q140355_imp.pdf
Q14-0379,system_impact,2015-08-27,C,data/studies/pdf/q140379_imp.pdf
Q14-0388,system_impact,2015-09-02,A,data/studies/pdf/q140388_imp.pdf
Q13-0281,system_impact,2015-09-27,B,data/studies/pdf/q130281_imp.pdf
Q14-0303,system_impact,2015-09-29,B,data/studies/pdf/q140303_imp.pdf
Q14-0314,system_impact,2015-09-27,A,data/studies/pdf/q140314_imp.pdf
Q14-0316,system_impact,2015-09-26,C,data/studies/pdf/q140316_imp.pdf
Q14-0340,system_impact,2015-09-21,C,data/studies/pdf/q140340_imp.pdf
Q14-0366,system_impact,2015-09-25,B,data/studies/pdf/q140366_imp.pdf
Q14-0370,system_impact,2015-10-01,C,data/studies/pdf/q140370_imp.pdf
Q14-0374,system_impact,2015-09-15,B,data/studies/pdf/q140374_imp.pdf
Q14-0375,system_impact,2015-09-25,B,data/studies/pdf/q140375_imp.pdf
Q14-0377,system_impact,2015-09-17,C,data/studies/pdf/q140377_imp.pdf
Q14-0384,system_impact,2015-09-25,B,data/studies/pdf/q140384_imp.pdf
Q13-0262,system_impact,2015-10-23,B,data/studies/pdf/q130262_imp.pdf
Q13-0289,system_impact,2015-10-20,B,data/studies/pdf/q130289_imp.pdf
Q13-0295,system_impact,2015-10-15,A,data/studies/pdf/q130295_imp.pdf
Q13-0296,system_impact,2015-11-02,C,data/studies/pdf/q130296_imp.pdf
Q14-0327,system_impact,2015-10-20,B,data/studies/pdf/q140327_imp.pdf
Q14-0330,system_impact,2015-10-16,C,data/studies/pdf/q140330_imp.pdf
Q14-0354,system_impact,2015-10-23,B,data/studies/pdf/q140354_imp.pdf
Q13-0291,system_impact,2015-11-30,B,data/studies/pdf/q130291_imp.pdf
Q14-0357,system_impact,2015-12-03,B,data/studies/pdf/q140357_imp.pdf
Q14-0391,system_impact,2015-11-30,B,data/studies/pdf/q140391_imp.pdf
Q14-0396,system_impact,2015-11-26,B,data/studies/pdf/q140396_imp.pdf
Q14-0404,system_impact,2015-11-30,A,data/studies/pdf/q140404_imp.pdf
Q15-0423,system_impact,2015-11-15,B,data/studies/pdf/q150423_imp.pdf
Q15-0430,system_impact,2015-11-24,C,data/studies/pdf/q150430_imp.pdf
Q13-0300,system_impact,2016-01-01,A,data/studies/pdf/q130300_imp.pdf
Q14-0331,system_impact,2015-12-30,B,data/studies/pdf/q140331_imp.pdf
Q14-0373,system_impact,2015-12-16,A,data/studies/pdf/q140373_imp.pdf
Q14-0382,system_impact,2015-12-25,B,data/studies/pdf/q140382_imp.pdf
Q14-0390,system_impact,2015-12-28,B,data/studies/pdf/q140390_imp.pdf
Q14-0302,system_impact,2016-01-31,C,data/studies/pdf/q140302_imp.pdf
Q14-0322,system_impact,2016-01-16,A,data/studies/pdf/q140322_imp.pdf
Q14-0335,system_impact,2016-01-31,A,data/studies/pdf/q140335_imp.pdf
Q14-0346,system_impact,2016-01-31,A,data/studies/pdf/q140346_imp.pdf
Q14-0347,system_impact,2016-01-23,B,data/studies/pdf/q140347_imp.pdf
Q14-0350,system_impact,2016-01-16,A,data/studies/pdf/q140350_imp.pdf
Q14-0395,system_impact,2016-01-27,A,data/studies/pdf/q140395_imp.pdf
Q14-0416,system_impact,2016-01-18,C,data/studies/pdf/q140416_imp.pdf
Q14-0304,system_impact,2016-02-25,C,data/studies/pdf/q140304_imp.pdf
Q14-0339,system_impact,2016-02-20,A,data/studies/pdf/q140339_imp.pdf
Q14-0352,system_impact,2016-02-24,A,data/studies/pdf/q140352_imp.pdf
Q14-0353,system_impact,2016-03-03,A,data/studies/pdf/q140353_imp.pdf
Q14-0367,system_impact,2016-02-26,A,data/studies/pdf/q140367_imp.pdf
Q14-0385,system_impact,2016-02-18,B,data/studies/pdf/q140385_imp.pdf
Q14-0405,system_impact,2016-02-20,C,data/studies/pdf/q140405_imp.pdf
Q14-0406,system_impact,2016-02-18,B,data/studies/pdf/q140406_imp.pdf
Q15-0426,system_impact,2016-02-27,C,data/studies/pdf/q150426_imp.pdf
Q15-0429,system_impact,2016-03-04,B,data/studies/pdf/q150429_imp.pdf
Q15-0440,system_impact,2016-03-03,C,data/studies/pdf/q150440_imp.pdf
Q15-0447,system_impact,2016-02-22,B,data/studies/pdf/q150447_imp.pdf
Q15-0452,system_impact,2016-02-22,B,data/studies/pdf/q150452_imp.pdf
Q14-0324,system_impact,2016-04-01,B,data/studies/pdf/q140324_imp.pdf
Q14-0351,system_impact,2016-04-03,A,data/studies/pdf/q140351_imp.pdf
