facility_name,start,end,reason
Southgate - Lsu 345 kV Cir. 1,2016-01-11 08:00:00,2016-01-24 08:00:00,planned
Queen City - Sunset Lae 138 kV Circuit 1,2016-01-14 08:00:00,2016-02-03 08:00:00,planned
Gordonsville - Gordonsville Energy Lp 138 kV Circuit 1,2016-01-11 08:00:00,2016-01-24 08:00:00,planned
Sollers Warf - Port Wing 138 kV Circuit 1,2016-01-17 08:00:00,2016-01-22 08:00:00,planned
Jerusalem - Willow Lawn 138 kV,2016-01-17 08:00:00,2016-02-06 08:00:00,planned
Pratt 2 Substation - Gibson 138 kV Circuit 1,2016-01-19 08:00:00,2016-01-23 08:00:00,planned
Tunnel - Mogan 138 kV Ckt 1,2016-01-13 08:00:00,2016-01-14 08:00:00,planned
John Sevier Substation - N Ublin 345 kV Cir. 1,2016-01-14 08:00:00,2016-01-31 08:00:00,planned
Hiawatha Ese - Tunica 100 kV Line 1,2016-01-14 08:00:00,2016-01-29 08:00:00,planned
Hilltop 230115Kv - Surry 138 kV line,2016-01-10 08:00:00,2016-01-21 08:00:00,planned
Santee - Morrison 138 kV,2016-01-15 08:00:00,2016-01-31 08:00:00,planned
Verdant - De Solar 1725 Drywall Dr 138 kV #1,2016-01-19 08:00:00,2016-01-22 08:00:00,planned
Rittenhouse Tap 2 - Factor 1 8011 100 kV #1,2016-01-18 08:00:00,2016-01-31 08:00:00,planned
J K Smith - Crabb Riv Road 138 kV Ckt 1,2016-01-19 08:00:00,2016-02-08 08:00:00,planned
Avena Tap 2 - Burleson 100 kV Circuit 1,2016-01-11 08:00:00,2016-01-24 08:00:00,planned
Hermanas Davila 1705 - Miners 138 kV Line 1,2016-01-11 08:00:00,2016-01-21 08:00:00,planned
Cypress-Manzanita - Brush 100 kV Ckt 1,2016-01-12 08:00:00,2016-01-29 08:00:00,planned
Jim Creek - Big Creek 1 138 kV Circuit 1,2016-01-19 08:00:00,2016-02-02 08:00:00,planned
Peosta - Mile-Hi 100 kV,2016-01-10 08:00:00,2016-01-24 08:00:00,planned
Trego - Angle Lake 138 kV Line 1,2016-01-18 08:00:00,2016-01-30 08:00:00,planned
Hard Rock - Reiner Road 138 kV #1,2016-01-16 08:00:00,2016-01-21 08:00:00,planned
Poplar Bluff Generating Sta - Evergreen Park 230 kV Line,2016-01-19 08:00:00,2016-02-04 08:00:00,planned
West Austintown - Thomaston 230 kV Cir. 1,2016-01-19 08:00:00,2016-01-22 08:00:00,planned
Derwood - Kenlworth 138 kV,2016-01-16 08:00:00,2016-01-29 08:00:00,planned
Woodville - Napoleonville 138 kV Circuit 1,2016-01-19 08:00:00,2016-01-21 08:00:00,planned
Jim Chrisal - Poplar Bluff Generating Station 230 kV Line,2016-01-15 08:00:00,2016-01-29 08:00:00,planned
Wall St - Firstenergy W H Sammis 100 kV #1,2016-01-18 08:00:00,2016-02-06 08:00:00,planned
Hartley - Raphael Road 138 kV Circuit 1,2016-01-10 08:00:00,2016-01-18 08:00:00,planned
Westmoreland N - Moorepark 138 kV Line,2016-01-12 08:00:00,2016-01-24 08:00:00,planned
Rosenberg Substation - Radfords Run Wind Farm 100 kV Cir. 1,2016-01-17 08:00:00,2016-01-25 08:00:00,planned
Carrcroft - Silver Side Road 138 kV,2016-01-12 08:00:00,2016-01-29 08:00:00,planned
Comox Substation - Orted 138 kV,2016-01-17 08:00:00,2016-01-18 08:00:00,planned
Calderwood - Bertram 100 kV #1,2016-01-12 08:00:00,2016-01-24 08:00:00,planned
Galloway Substation - Iron Bridge 138 kV Circuit 1,2016-01-11 08:00:00,2016-01-28 08:00:00,planned
Norway - Wintun 100 kV line,2016-02-04 19:00:00,2016-02-18 19:00:00,planned
Reenergy Ashland Substation - Mcclain Energy Facility 138 kV #1,2016-02-04 19:00:00,2016-02-23 19:00:00,planned
Waymart Wind - Klondike 138 kV,2016-02-11 19:00:00,2016-02-23 19:00:00,planned
Austrop - Killen 100 kV Circuit 1,2016-02-09 19:00:00,2016-02-17 19:00:00,planned
Bedford 2 - Saugus 100 kV #1,2016-02-09 19:00:00,2016-02-23 19:00:00,planned
Loma Vista - Cedar Hill 100 kV Cir. 1,2016-02-12 19:00:00,2016-02-29 19:00:00,planned
Hale - Everglades City 100 kV Circuit 2,2016-02-12 19:00:00,2016-02-14 19:00:00,planned
Parr Gt - St Croix Falls 100 kV line,2016-02-05 19:00:00,2016-02-19 19:00:00,planned
Newark - Jonesboro 100 kV Circuit 1,2016-02-08 19:00:00,2016-02-15 19:00:00,planned
Belleville - Cook Rd 138 kV Circuit 1,2016-02-12 19:00:00,2016-02-23 19:00:00,planned
Corners - Idalia 345 kV Line 1,2016-02-10 19:00:00,2016-02-17 19:00:00,planned
Portuguez - Sanford 138 kV line,2016-02-07 19:00:00,2016-02-17 19:00:00,planned
Blue Ridge - Desmet 138 kV,2016-02-10 19:00:00,2016-02-24 19:00:00,planned
Craggy - Hoytdale 138 kV Line 1,2016-02-04 19:00:00,2016-02-21 19:00:00,planned
Aes Columbia Power - Western Fher 230 kV L,2016-02-11 19:00:00,2016-02-20 19:00:00,planned
Mulberry Substation - Dixon Hydroelectric Dam 100 kV Circuit 1,2016-02-04 19:00:00,2016-02-24 19:00:00,planned
Paul Sweet - Allings Crossing 138 kV,2016-02-08 19:00:00,2016-02-16 19:00:00,planned
Avera - Tillman 100 kV Ckt 1,2016-02-12 19:00:00,2016-02-20 19:00:00,planned
Floral Park - New Madrid 100 kV Ckt 2,2016-02-05 19:00:00,2016-02-09 19:00:00,planned
Round Rock S - Johnsonburg Mill 138 kV Line,2016-02-12 19:00:00,2016-02-14 19:00:00,planned
Rotary Park - Cape Canaveral Substation 138 kV,2016-02-07 19:00:00,2016-02-23 19:00:00,planned
Round Rock - Kenzig 100 kV,2016-02-11 19:00:00,2016-02-14 19:00:00,planned
Thayer - Youngwood 500 kV Ckt 1,2016-02-10 19:00:00,2016-02-28 19:00:00,planned
Nelson - Norway 100 kV Circuit 1,2016-02-07 19:00:00,2016-02-08 19:00:00,planned
Alamogordo Solar Energy Ctr - Wites Crk 138 kV Circuit 1,2016-02-11 19:00:00,2016-02-17 19:00:00,planned
Amco - Covington 138 kV Line 1,2016-02-13 19:00:00,2016-02-20 19:00:00,planned
Bayard - Taftsville 138 kV Ckt 1,2016-02-08 19:00:00,2016-02-16 19:00:00,planned
Occoquan - Covanta Fairfax Energy 138 kV #1,2016-02-06 19:00:00,2016-02-18 19:00:00,planned
River Mill - Arbors 100 kV Cir. 2,2016-02-05 19:00:00,2016-02-22 19:00:00,planned
S Dakota Wind Energy Cente - Northadams 100 kV,2016-02-04 19:00:00,2016-02-20 19:00:00,planned
South Hall - Deep Springs 100 kV Circuit 1,2016-02-12 19:00:00,2016-02-23 19:00:00,planned
Huntersville Delivery No 2 - Mount Olive 138 kV Circuit 1,2016-02-08 19:00:00,2016-02-21 19:00:00,planned
Fruit Industries - Marks 100 kV Cir. 1,2016-02-09 19:00:00,2016-02-16 19:00:00,planned
Higgins - Bergen Generating Station 138 kV Line,2016-02-11 19:00:00,2016-02-22 19:00:00,planned
Uc Davis - Woodrng 138 kV,2016-02-12 19:00:00,2016-02-20 19:00:00,planned
Grand Ronde - Glenshire 138 kV Circuit 1,2016-02-13 19:00:00,2016-02-18 19:00:00,planned
Arden Hills - Cheyene 100 kV Cir. 1,2016-02-09 19:00:00,2016-02-14 19:00:00,planned
Warm Springs - Boyer 138 kV Line 1,2016-02-12 19:00:00,2016-02-17 19:00:00,planned
W Receiving Substation - Auld 138 kV Circuit 1,2016-02-12 19:00:00,2016-02-22 19:00:00,planned
Melones - Nine Mile Crk 138 kV #1,2016-02-07 19:00:00,2016-02-22 19:00:00,planned
Buxmot - Worthington 138 kV,2016-02-23 19:00:00,2016-03-06 19:00:00,planned
Trask - Loving S 138 kV Cir. 1,2016-02-29 19:00:00,2016-03-10 19:00:00,planned
Saylor - Lower Ollala 138 kV Line 1,2016-02-28 19:00:00,2016-03-10 19:00:00,planned
Cushman - Fowler 138 kV Ckt 1,2016-02-24 19:00:00,2016-03-12 19:00:00,planned
Running Springs - Lakeside 138 kV,2016-02-28 19:00:00,2016-03-05 19:00:00,planned
Ankeny - Boykins 100 kV Line 1,2016-02-27 19:00:00,2016-03-12 19:00:00,planned
Crystal Mountain Generation - Lodi Stig 100 kV Line 1,2016-03-02 19:00:00,2016-03-17 19:00:00,planned
Twin Lakes - Holt Switch 100 kV Circuit 1,2016-02-23 19:00:00,2016-03-01 19:00:00,planned
S Summitville Substation - Nash Substation 138 kV Cir. 1,2016-02-25 19:00:00,2016-03-05 19:00:00,planned
S Scottsvile - Mulberry 100 kV L,2016-03-02 19:00:00,2016-03-10 19:00:00,planned
Rec Newark - St. Lawrence 100 kV #1,2016-02-25 19:00:00,2016-03-01 19:00:00,planned
Korona - E Clearwater Subdivsion 100 kV Ckt 1,2016-03-01 19:00:00,2016-03-11 19:00:00,planned
Winton - Crestbrook 138 kV #1,2016-02-28 19:00:00,2016-03-19 19:00:00,planned
Watertown - Armstrong 138 kV #1,2016-02-27 19:00:00,2016-03-08 19:00:00,planned
Tewksbury - Avon Lake 100 kV Line,2016-03-03 19:00:00,2016-03-22 19:00:00,planned
Sidney - Wagley Robertson 100 kV,2016-02-25 19:00:00,2016-03-04 19:00:00,planned
Wadsworth Substation - Ebroad Street 100 kV Line 1,2016-02-29 19:00:00,2016-03-14 19:00:00,planned
Suter Substation - Ce Turbo 100 kV Cir. 1,2016-02-23 19:00:00,2016-02-26 19:00:00,planned
Green Bluff - Deep Springs 100 kV Circuit 2,2016-03-03 19:00:00,2016-03-07 19:00:00,planned
Medicine Lake - Hamilton Hydro 100 kV L,2016-02-25 19:00:00,2016-03-04 19:00:00,planned
North Canaan - Swinks Mill 138 kV Cir. 2,2016-02-27 19:00:00,2016-03-17 19:00:00,planned
Myrle - Suffolk 138 kV,2016-02-29 19:00:00,2016-03-06 19:00:00,planned
Shiloh - Lebanon 138 kV Line 1,2016-02-27 19:00:00,2016-02-29 19:00:00,planned
S Jefferson - East Proctorville 138 kV Cir. 1,2016-03-02 19:00:00,2016-03-22 19:00:00,planned
Eastlake Station - White 100 kV #1,2016-02-25 19:00:00,2016-03-15 19:00:00,planned
Rio Pecos - Lockheed 2 Tap 138 kV #1,2016-03-03 19:00:00,2016-03-15 19:00:00,planned
Camp Far West - Roy 500 kV,2016-02-24 19:00:00,2016-03-01 19:00:00,planned
Thomas Substation - Wps Power Niagaa 100 kV Line 1,2016-03-02 19:00:00,2016-03-11 19:00:00,planned
Artesin - Gill 138 kV,2016-03-01 19:00:00,2016-03-03 19:00:00,planned
Bridge - Riverview Substation 138 kV,2016-02-25 19:00:00,2016-03-08 19:00:00,planned
University Of Florida - Taftsville 138 kV #1,2016-02-25 19:00:00,2016-03-11 19:00:00,planned
Brigatano - Jm Manufacturing 100 kV L,2016-02-23 19:00:00,2016-03-11 19:00:00,planned
Sub 18936 - Arabi 100 kV Ckt 1,2016-02-25 19:00:00,2016-03-03 19:00:00,planned
Lake Platte - Indian 138 kV Circuit 1,2016-02-28 19:00:00,2016-03-09 19:00:00,planned
Powersville Road - Packard 138 kV Line 1,2016-02-26 19:00:00,2016-03-09 19:00:00,planned
Short Pump - Denny Terrace 138 kV,2016-02-24 19:00:00,2016-03-01 19:00:00,planned
Harrisburg Facility - Woodmont 138 kV line,2016-03-01 19:00:00,2016-03-12 19:00:00,planned
Universiity - Meadow Lake Wind Farm Llc 138 kV L,2016-02-28 19:00:00,2016-03-09 19:00:00,planned
Viscount - Bridgewater Substation 100 kV,2016-02-29 19:00:00,2016-03-04 19:00:00,planned
Northside - Njt Meadowlands Rail Substaion 138 kV Line 1,2016-03-03 19:00:00,2016-03-05 19:00:00,planned
Pearsall Power Plant - Hoosier Fairview 138 kV Circuit 1,2016-03-03 19:00:00,2016-03-12 19:00:00,planned
Grimley Rd - Adams St 100 kV #1,2016-02-28 19:00:00,2016-03-19 19:00:00,planned
Sta L Scattergood - Frederic Diesel 345 kV #1,2016-03-03 19:00:00,2016-03-05 19:00:00,planned
Beardsley St Substation - Alessandro 138 kV line,2016-02-26 19:00:00,2016-03-09 19:00:00,planned
Gibson - Pratt 2 138 kV Circuit 1,2016-02-29 19:00:00,2016-03-09 19:00:00,planned
Sugacreek Substation - Allatoona 100 kV Line 2,2016-02-25 19:00:00,2016-03-16 19:00:00,planned
S Milford - Wolverine Creek 230 kV Circuit 1,2016-03-02 19:00:00,2016-03-15 19:00:00,planned
Warrenville - Prager 100 kV Cir. 1,2016-02-24 19:00:00,2016-03-05 19:00:00,planned
Astoria Generating Station - M105 138 kV,2016-03-03 19:00:00,2016-03-10 19:00:00,planned
Springhill - Shell Chemical 138 kV Cir. 1,2016-04-06 08:00:00,2016-04-15 08:00:00,planned
Engle-Eastern Tap - Dranesville 345 kV,2016-03-30 08:00:00,2016-04-16 08:00:00,planned
Tipton - Shadow 138 kV Cir. 1,2016-04-06 08:00:00,2016-04-15 08:00:00,planned
Mouton - Palm 138 kV Circuit 1,2016-04-04 08:00:00,2016-04-20 08:00:00,planned
Sagola - Archibald 138 kV #1,2016-03-30 08:00:00,2016-04-17 08:00:00,planned
Lansing Bwl Reo Town Plant - Badoura 11534 Kv 138 kV line,2016-04-02 08:00:00,2016-04-05 08:00:00,planned
Ss3142 - Ralston Tap 138 kV #1,2016-04-02 08:00:00,2016-04-09 08:00:00,planned
Nssau - Railroad 138 kV Ckt 1,2016-04-02 08:00:00,2016-04-13 08:00:00,planned
E Liverpool - Portrero Substation 138 kV #1,2016-04-04 08:00:00,2016-04-24 08:00:00,planned
Southpac - Bridgehampton 100 kV Ckt 1,2016-04-05 08:00:00,2016-04-15 08:00:00,planned
Edward L. Addison Generating Plant Substation - Egle Mtn 138 kV Line 1,2016-03-31 08:00:00,2016-04-16 08:00:00,planned
Hollis - West Bellaire 230 kV #1,2016-04-04 08:00:00,2016-04-12 08:00:00,planned
F B Culley - Rockingham 100 kV Cir. 1,2016-04-03 08:00:00,2016-04-14 08:00:00,planned
Mccullough - Short Hills 138 kV #1,2016-03-30 08:00:00,2016-04-19 08:00:00,planned
Lewis River - Bandhead 138 kV line,2016-04-06 08:00:00,2016-04-17 08:00:00,planned
Trigen St. Louis - Lake Lure Substation 230 kV,2016-04-06 08:00:00,2016-04-17 08:00:00,planned
Darby - Jefferies Station 138 kV Circuit 1,2016-03-29 08:00:00,2016-04-05 08:00:00,planned
Treat - Chamberlin 230 kV #1,2016-04-04 08:00:00,2016-04-15 08:00:00,planned
Sjve Madera - Mammoth Pacific 2 138 kV,2016-03-28 08:00:00,2016-03-30 08:00:00,planned
Woodside - Centro Judicial 138 kV Cir. 1,2016-04-02 08:00:00,2016-04-10 08:00:00,planned
Elkhorn City - Multitrade Of Pittsylvania Lp 138 kV #1,2016-03-28 08:00:00,2016-04-17 08:00:00,planned
Huston - Pittsburg 100 kV Ckt 1,2016-03-30 08:00:00,2016-04-17 08:00:00,planned
Salinas - Leesburg Central 100 kV Ckt 1,2016-04-04 08:00:00,2016-04-11 08:00:00,planned
Jim Chrisal - Drummond 100 kV Ckt 2,2016-04-06 08:00:00,2016-04-09 08:00:00,planned
P.T.S - Northwood Cust 138 kV Line 1,2016-04-04 08:00:00,2016-04-06 08:00:00,planned
Wommack - Progress Energy Clermont 100 kV,2016-03-29 08:00:00,2016-03-30 08:00:00,planned
Fairlawn - American Crystal Sugar Drayton 138 kV Circuit 1,2016-04-06 08:00:00,2016-04-19 08:00:00,planned
Carbon Limestone - Fondo Del Seguro Del Estado 138 kV #1,2016-04-02 08:00:00,2016-04-07 08:00:00,planned
Frackville - Epsy 138 kV L,2016-03-28 08:00:00,2016-04-07 08:00:00,planned
Baja Tap - Oaklad D 100 kV Ckt 1,2016-04-04 08:00:00,2016-04-07 08:00:00,planned
Wards Hollow - Lansing Bwl Reo Town Plant Substation 138 kV Cir. 1,2016-04-06 08:00:00,2016-04-08 08:00:00,planned
Sunderland Substation - K St 138 kV Ckt 1,2016-04-02 08:00:00,2016-04-14 08:00:00,planned
Interchange - Complejo De Aguirre 230 138 kV #1,2016-03-30 08:00:00,2016-04-05 08:00:00,planned
Rochester Hydro - Limon Wind 1 100 kV Cir. 1,2016-04-01 08:00:00,2016-04-10 08:00:00,planned
Certainteed - Hanging Rock 230 kV Ckt 1,2016-04-02 08:00:00,2016-04-04 08:00:00,planned
Cogentrix - Clay Crk 138 kV Circuit 1,2016-04-03 08:00:00,2016-04-13 08:00:00,planned
N Marion - Limerick 2 138 kV #1,2016-04-05 08:00:00,2016-04-20 08:00:00,planned
Edgeley - S Randolph 138 kV Line 1,2016-03-29 08:00:00,2016-04-07 08:00:00,planned
Juniata - Cully 138 kV Cir. 1,2016-04-02 08:00:00,2016-04-11 08:00:00,planned
S Fifth St - Hanson 138 kV L,2016-04-04 08:00:00,2016-04-17 08:00:00,planned
Barton - Spillway 138 kV Ckt 1,2016-04-04 08:00:00,2016-04-13 08:00:00,planned
Lowndes - Rosholt 138 kV Circuit 1,2016-03-30 08:00:00,2016-04-01 08:00:00,planned
Mountlaurel - Coffee Port 345 kV,2016-04-04 08:00:00,2016-04-13 08:00:00,planned
Alleghany - Martha Lake 230 kV Line 1,2016-04-03 08:00:00,2016-04-13 08:00:00,planned
El Cerrito Sta G - Ucsd 138 kV L,2016-04-01 08:00:00,2016-04-19 08:00:00,planned
Moorcroft - Waterloo Hydroelectric Project 100 kV,2016-03-30 08:00:00,2016-04-14 08:00:00,planned
Killen - Great Lakes Substation 500 kV,2016-03-31 08:00:00,2016-04-01 08:00:00,planned
Eagle Valley In - Pine Luff 34Th & Main 138 kV Circuit 1,2016-03-30 08:00:00,2016-04-09 08:00:00,planned
Garrison - W Hamlin 161 kV Ckt 1,2016-04-03 08:00:00,2016-04-19 08:00:00,planned
Hoefsoa2 - Eaton Park 138 kV,2016-04-01 08:00:00,2016-04-21 08:00:00,planned
Danskammer - Snettisham Substation 138 kV,2016-04-03 08:00:00,2016-04-06 08:00:00,planned
Commonwealth Edison Des Plaines - San Andres 230 kV Line,2016-04-01 08:00:00,2016-04-08 08:00:00,planned
Corners - Fredericksburg 345 kV,2016-04-04 08:00:00,2016-04-23 08:00:00,planned
Elmhurst - Saxon Crk 100 kV Line 1,2016-03-30 08:00:00,2016-04-16 08:00:00,planned
Chewelah - Twin Branch 2 138 kV,2016-04-01 08:00:00,2016-04-02 08:00:00,planned
Millennium Power - Cobble Hill 138 kV Circuit 1,2016-04-01 08:00:00,2016-04-07 08:00:00,planned
Altamont - Waveland 138 kV Line 1,2016-04-04 08:00:00,2016-04-24 08:00:00,planned
Rock Tavern 2 - Arbors 100 kV Circuit 1,2016-03-28 08:00:00,2016-04-02 08:00:00,planned
North - Sugar Island 138 kV Line 1,2016-03-29 08:00:00,2016-04-13 08:00:00,planned
Metzerott Rd - Duval 138 kV #1,2016-04-05 08:00:00,2016-04-21 08:00:00,planned
Mullens - Sophia 138 kV Line 1,2016-05-24 18:00:00,2016-06-13 18:00:00,planned
Northwest Tap - Lcec N. 5 500 kV Line 1,2016-05-26 18:00:00,2016-06-12 18:00:00,planned
Pine Bluff 34Th & Main - Rosecrans 138 kV Ckt 1,2016-05-26 18:00:00,2016-06-03 18:00:00,planned
Molalla - Hambrick 100 kV Circuit 1,2016-05-23 18:00:00,2016-06-05 18:00:00,planned
Central Ferry - Aidlin Tap 100 kV Ckt 1,2016-05-29 18:00:00,2016-06-06 18:00:00,planned
Carlyss - Kammer 2 100 kV Cir. 1,2016-05-22 18:00:00,2016-06-02 18:00:00,planned
Lanexa - Ocoee 3 138 kV #1,2016-05-24 18:00:00,2016-06-06 18:00:00,planned
Lawndale - Potlatch 138 kV #1,2016-05-30 18:00:00,2016-06-17 18:00:00,planned
Congress - Gilchrist Substation 100 kV Line 1,2016-05-26 18:00:00,2016-06-12 18:00:00,planned
Himes - Fairlawn 138 kV Circuit 1,2016-05-28 18:00:00,2016-06-01 18:00:00,planned
Sandhill - Glory Rd 138 kV Circuit 1,2016-05-23 18:00:00,2016-06-08 18:00:00,planned
Chatom - Lawdale 138 kV,2016-05-23 18:00:00,2016-06-02 18:00:00,planned
Algoma - Waterside 345 kV Circuit 1,2016-05-25 18:00:00,2016-06-09 18:00:00,planned
Berkeley F - Portner 138 kV Ckt 1,2016-05-24 18:00:00,2016-06-08 18:00:00,planned
Frederick Rd - Hollofield 138 kV Line 1,2016-05-25 18:00:00,2016-06-02 18:00:00,planned
Phillippi - Mill 138 kV Ckt 1,2016-05-29 18:00:00,2016-06-08 18:00:00,planned
St Just 1203 - Bath 100 kV Line 1,2016-05-23 18:00:00,2016-05-27 18:00:00,planned
Hillcrst - Rose Hill 100 kV Circuit 1,2016-05-23 18:00:00,2016-06-02 18:00:00,planned
Horno - Tri-County 138 kV line,2016-05-25 18:00:00,2016-06-13 18:00:00,planned
Darien - Sycamore 138 kV Line 1,2016-05-22 18:00:00,2016-05-29 18:00:00,planned
Archer Daniels Midland Cedar Rapids - Atchelitz 138 kV Line 1,2016-05-27 18:00:00,2016-06-05 18:00:00,planned
J Woodruff - Mecklenburg Power Station Substation 138 kV Circuit 1,2016-05-25 18:00:00,2016-05-28 18:00:00,planned
Oranetree - Fostoria 100 kV Circuit 1,2016-05-30 18:00:00,2016-06-06 18:00:00,planned
Lenape - Hicross 138 kV Circuit 1,2016-05-29 18:00:00,2016-06-04 18:00:00,planned
Piney Rd - Mc Farlnd 138 kV,2016-05-31 18:00:00,2016-06-14 18:00:00,planned
Wauchula Substation - Lind 100 kV Line 1,2016-05-23 18:00:00,2016-06-05 18:00:00,planned
E Jackson 1&2 - Statesville Delivery No 3 100 kV,2016-05-29 18:00:00,2016-06-08 18:00:00,planned
Peaceable - Forest 138 kV,2016-05-22 18:00:00,2016-06-10 18:00:00,planned
Airport Rd - Big Timber Auto 100 kV Circuit 1,2016-05-22 18:00:00,2016-06-01 18:00:00,planned
Lucas Co - Colorado Green 100 kV #1,2016-05-24 18:00:00,2016-06-03 18:00:00,planned
Bow Lake - Juno Beach 100 kV Ckt 1,2016-05-27 18:00:00,2016-06-11 18:00:00,planned
Adobe - Lake City 138 kV Line 1,2016-05-28 18:00:00,2016-06-03 18:00:00,planned
Twin Bridges - Ferncliff 138 kV Cir. 1,2016-05-31 18:00:00,2016-06-07 18:00:00,planned
Marlette - Floresville 138 kV Cir. 1,2016-05-23 18:00:00,2016-06-09 18:00:00,planned
Jonesboro Spa - Mccain 138 kV,2016-05-22 18:00:00,2016-05-29 18:00:00,planned
Olinda - Bingen 100 kV,2016-05-29 18:00:00,2016-06-01 18:00:00,planned
Whitney - Glade 138 kV,2016-05-26 18:00:00,2016-06-14 18:00:00,planned
Caples - New Holstein Sw Sta 100 kV Cir. 1,2016-05-28 18:00:00,2016-06-11 18:00:00,planned
Sierra Pine - Germantown Sw Yd Substation 100 kV Cir. 1,2016-06-11 17:00:00,2016-06-28 17:00:00,planned
Bear Crk - Covanta Allingford Energy 100 kV Cir. 1,2016-06-14 17:00:00,2016-06-25 17:00:00,planned
Saddle Brook - Altamont 138 kV Cir. 1,2016-06-18 17:00:00,2016-06-26 17:00:00,planned
Douglaston - Shiprock Tap 100 kV,2016-06-15 17:00:00,2016-06-19 17:00:00,planned
Gould - Olympia 100 kV Ckt 2,2016-06-15 17:00:00,2016-07-04 17:00:00,planned
Meadow Bridge - Hofman 138 kV Line 1,2016-06-14 17:00:00,2016-06-29 17:00:00,planned
Weed Junction - National 138 kV Circuit 1,2016-06-18 17:00:00,2016-06-30 17:00:00,planned
Bear Creek - Elk Grove 100 kV #1,2016-06-11 17:00:00,2016-06-20 17:00:00,planned
Mesa Heights - Bristers 100 kV,2016-06-17 17:00:00,2016-06-20 17:00:00,planned
Picway - Norwich 100 kV Line,2016-06-20 17:00:00,2016-06-27 17:00:00,planned
